plane_id,battery_id,flight_id,event_datetime,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,score_missing,sigma_base_pct,rt_profile,condition_multiplier,measurement_sigma_pct_raw,measurement_sigma_pct,measurement_var_pct2,delta_days,kf_level_pred_pct,kf_slope_pred_pct_per_day,kf_level_filter_pct,kf_slope_filter_pct_per_day,kf_level_smooth_pct,kf_slope_smooth_pct_per_day,kf_pred_std_pct,kf_level_std_pct,kf_slope_std_pct_per_day,kf_smooth_std_pct,kf_innovation_pct,kf_innovation_std_pct,kf_innovation_z,kf_kalman_gain_level,kf_kalman_gain_slope,kf_residual_filter_pct,kf_residual_smooth_pct
166,1,4575,2023-05-16 11:00:00,charge,100.0,0.0,0.0,0,1,15745,3148.7737939999997,19.366211495712925,18.0,21.0,3.0,7.9284852334074305,23.9,24.7,399.97120355668466,404.0,92.91400444585582,77.0,100.0,23.0,-0.16042807240393755,2.5500000000000114,0.0,0.0,0.0,0.5004249859207565,0.5974999999999999,0.1332716050633177,0.0,1.0,0.0,1.3070856144807932,0.5,0.75,0.0,0.55,balanced,2.344184326369565,1.2893013795032608,1.2893013795032608,1.6622980471890114,0.0001,97.0,0.0,99.11928093845536,1.3245504664972117e-05,96.93010828256497,-0.008869927247905234,2.0000000906249977,1.0836476311420353,0.5000000098896207,0.2948871677776699,3.0,2.3795584484708527,1.2607381011917795,0.7064269794851188,4.4151682216573724e-06,0.8807190615446387,3.069891717435027
166,1,4576,2023-05-16 12:44:00,other,100.0,0.0,0.0,0,1,9638,1927.385601,21.98153143805769,0.0,25.0,25.0,39.18631458808882,54.1,70.2,362.91128864909734,401.9,68.76488898111641,29.0,100.0,71.0,-0.8754586013695791,1.7600000000000051,9611.0,9611.0,0.0,6.453239826291262,0.45083333333333336,0.6597582560023899,0.0,1.0,0.0,1.0550917202739183,0.5,0.25,0.0,0.55,balanced,2.3058474851497976,1.2682161168323889,1.2682161168323889,1.6083721189934235,0.07222222222222222,99.11928189507515,1.3245504664972117e-05,99.49123356903291,0.005726969845219099,96.92898297211046,-0.008869211076419373,1.0843695223501095,0.8241723961563995,0.49989003563838386,0.2933931996482021,0.8807181049248527,1.6686010248094743,0.5278182692147247,0.42232772538440067,0.006487574524247631,0.5087664309670856,3.071017027889539
166,1,4577,2023-05-16 13:00:00,charge,97.0,3.0,3.0,1,1,18774,3754.5833190000003,24.59475870885267,0.0,25.0,25.0,19.859816767870463,27.8,28.700000000000003,384.9566954298498,403.9,70.74986683711516,29.0,100.0,71.0,-1.070711622456589,0.8500000000000014,9519.0,9611.0,0.0,0.5006408202492283,0.6950000000000001,0.13331885005960264,0.0,1.0,3.0,0.6391423244913185,1.5,0.75,0.0,0.55,balanced,5.192570237371237,2.8559136305541806,2.8559136305541806,8.156242665185161,0.011111111111111112,99.49129720203119,0.005726969845219099,99.29969123474375,0.0020020686480910384,96.92873347959888,-0.008869054308005025,0.8243560308023037,0.7920212142629866,0.4998713896867468,0.29317135914232595,-2.491297202031191,2.9725082894258326,-0.8381127853851699,0.07691012021015867,0.0014951653275615184,-2.2996912347437473,0.07126652040112447
166,1,4578,2023-05-16 14:35:00,other,97.0,0.0,0.0,0,1,11409,2281.582631,23.50258567797353,23.0,25.0,2.0,31.840792356911212,37.3,70.4,365.0436760452274,400.5,66.6214392146551,29.0,100.0,71.0,-0.2382662810062233,1.0900000000000176,0.0,0.0,0.0,5.486243248166033,0.3108333333333333,0.6141138878094984,0.0,1.0,0.0,0.5926532562012534,0.5,0.25,0.0,0.55,balanced,2.078858198650842,1.1433720092579631,1.1433720092579631,1.3072995515545918,0.06597222222222222,99.2998233156615,0.0020020686480910384,98.5517468511101,-0.032040112954384845,96.92725005295817,-0.008866477277087993,0.7938713252869016,0.6520986717117561,0.4994531879850043,0.2918665917044554,-2.2998233156614987,1.3919523097676059,-1.6522285278907773,0.32527562419995165,0.014802085608339144,-1.5517468511100958,0.07274994704182802
166,1,4579,2023-05-16 15:00:00,charge,96.0,1.0,1.0,1,1,20922,4184.178628,25.281665232769335,24.0,26.0,2.0,17.670700697830032,27.6,28.7,388.0081588758245,404.5,74.65347481120352,29.0,100.0,71.0,-0.42291272344900105,0.3000000000000256,-16.0,16.0,0.0,0.5006909535160364,0.6900000000000001,0.13332982299483814,0.0,1.0,1.0,0.234582544689813,1.5,0.75,0.0,0.55,balanced,3.4687066926048793,1.9077886809326838,1.9077886809326838,3.6396576510948697,0.017361111111111112,98.55119059914908,-0.032040112954384845,98.28385285980977,-0.04690007505067743,96.92685624420238,-0.008865683429701711,0.6527191328237175,0.6175739240698851,0.4993168180482145,0.291538279506482,-2.5511905991490806,2.0163580826452963,-1.2652467937649885,0.10478940280999931,0.0058247165465602395,-2.2838528598097696,-0.9268562442023836
166,1,4580,2023-05-16 19:11:00,other,96.0,0.0,0.0,0,1,11247,2249.382045,26.68969502978572,25.0,29.0,4.0,33.295874455410335,45.5,71.1,368.05402329510093,401.6,69.46439050413444,27.0,100.0,73.0,0.010462345514359164,0.8500000000000085,0.0,0.0,0.0,6.0085998148342,0.37916666666666665,0.6395544719465969,0.0,1.0,0.0,0.42709246910287607,0.5,0.25,0.0,0.55,balanced,2.0735328628428342,1.140443074563559,1.140443074563559,1.3006104063199833,0.17430555555555555,98.27567791617247,-0.04690007505067743,97.74350192310146,-0.13357494279286566,96.92306233854524,-0.008846826039267147,0.6300717914352506,0.551500428713568,0.49686223290773485,0.2883178537456307,-2.2756779161724694,1.3029201313520369,-1.7465981693068202,0.23385382847415104,0.03808749345688132,-1.7435019231014621,-0.9230623385452361
166,1,4581,2023-05-16 20:00:00,charge,97.0,1.0,1.0,1,1,19540,3907.76897,26.80813715455476,24.0,29.0,5.0,19.09348004094166,27.9,29.1,386.4244472876152,403.9,72.17057318321392,27.0,100.0,73.0,0.3389477993858751,0.960000000000008,25.0,25.0,0.0,0.500748619185453,0.6975,0.1333424441338546,0.0,1.0,1.0,0.547789559877179,1.5,0.75,0.0,0.55,balanced,3.5664238456166957,1.9615331150891828,1.9615331150891828,3.8476121615914733,0.034027777777777775,97.73895666463143,-0.13357494279286566,97.68419882112264,-0.14387763613968718,96.92240927733536,-0.008842811977887083,0.5549165170515125,0.5339607413239934,0.49605211838582813,0.2877216420807749,-0.7389566646314307,2.0385152691329185,-0.3624974881575185,0.07410156255388742,0.013942215883471588,-0.6841988211226351,0.07759072266463818
166,1,4582,2023-05-16 21:19:00,other,97.0,0.0,97.0,0,1,13917,2783.582473,23.50901774807789,23.0,24.0,1.0,26.285118919307322,40.5,71.2,367.19669468994755,401.8,66.70122871308472,29.0,100.0,71.0,0.05089961917079833,0.8000000000000185,0.0,0.0,0.0,3.9934208398393087,0.3375,0.5282014656910586,0.0,1.0,0.0,0.4101799238341689,0.5,0.25,0.0,0.55,balanced,2.003084563426674,1.101696509884671,1.101696509884671,1.213735199892065,0.05486111111111111,97.67630553413997,-0.14387763613968718,97.54517524596766,-0.1740367108902097,96.92135262017406,-0.008835469361027831,0.5403130005977167,0.4851119922913677,0.4930304144598763,0.28677880470674305,-0.6763055341399706,1.2270588162378253,-0.5511598345493578,0.19389208213276482,0.04459386065630019,-0.5451752459676555,0.07864737982593795
166,1,4583,2023-05-16 22:00:00,charge,97.0,0.0,97.0,1,1,5727,1145.193014,23.261568011175136,0.0,24.0,24.0,19.64159245678366,27.8,28.9,359.9504277981491,372.7,37.24358302776323,29.0,51.0,22.0,-0.6607263837960539,0.4200000000000088,9528.0,9528.0,0.0,0.5004716946568575,0.6950000000000001,0.13328182993553608,0.0,0.0,0.0,0.3421452767592152,1.5,0.75,0.0,0.55,balanced,2.553456315001979,1.4044009732510885,1.4044009732510885,1.9723420936686045,0.02847222222222222,97.54022003406037,-0.1740367108902097,97.48189554145145,-0.18895190309944093,96.92079779576811,-0.008831418789809448,0.4885850255810911,0.46145702669449584,0.4913210609401413,0.28631544159991174,-0.5402200340603684,1.4869624813325586,-0.3633044147665676,0.10796432736962291,0.027609476266784484,-0.4818955414514505,0.0792022042318905
166,1,4584,2023-05-17 11:30:00,charge,96.0,1.0,1.0,0,0,17948,3589.3697740000002,19.024570982839315,18.0,21.0,3.0,14.088366391798528,24.6,25.4,395.1971751727212,403.9,83.54880766659238,51.0,100.0,49.0,-0.8120169378203699,1.8500000000000085,-28.0,28.0,0.0,0.5003652666451124,0.615,0.13325853162844958,0.0,1.0,1.0,1.0874033875640783,0.0,0.75,0.0,0.55,balanced,2.787024428920603,1.5328634359063318,1.5328634359063318,2.349670313138565,0.5625,97.37561009595801,-0.18895190309944093,97.19611248047164,-0.2857950186637037,96.9097575923637,-0.008656512023155039,0.5938090275131735,0.5537135221108213,0.4775559233214486,0.2777112625076088,-1.3756100959580095,1.643861148118875,-0.8368164777981194,0.1304858229914105,0.07040011980779977,-1.1961124804716405,-0.9097575923637038
