plane_id,battery_id,flight_id,event_datetime,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,score_missing,sigma_base_pct,condition_multiplier,measurement_sigma_pct_raw,measurement_sigma_pct,measurement_var_pct2,delta_days,process_var_pct2,latent_soh_filterpy_filter_pct,latent_soh_filterpy_smooth_pct,latent_soh_filterpy_smooth_var_pct2,latent_soh_filterpy_smooth_std_pct,latent_soh_filter_pct,latent_soh_smooth_pct,latent_soh_smooth_var_pct2,latent_soh_smooth_std_pct,_filterpy_pred_var_pct2,_filterpy_pred_state_pct,latent_soh_monotone_pct,residual_pct,standardized_residual,resid_abs_mean_last_5_events,resid_std_last_5_events,resid_max_pos_last_5_events,resid_max_neg_last_5_events,resid_outlier_count_last_5_events,resid_abs_mean_last_30d,resid_std_last_30d,resid_outlier_count_last_30d,condition_multiplier_last_5_events_mean,score_switch_last_5_events_sum,score_observation_instability_last_5_events_mean
166,1,4575,2023-05-16 11:00:00,charge,100.0,0.0,0.0,0,1,15745,3148.7737939999997,19.366211495712925,18.0,21.0,3.0,7.9284852334074305,23.9,24.7,399.97120355668466,404.0,92.91400444585582,77.0,100.0,23.0,-0.16042807240393755,2.5500000000000114,0.0,0.0,0.0,0.5004249859207565,0.5974999999999999,0.1332716050633177,0.0,1.0,0.0,1.3070856144807932,0.5,0.75,0.0,0.75,4.240267914658083,3.180200935993562,3.180200935993562,10.113677993294328,0.0001,2.5000000000000004e-07,99.72445717494928,94.41614626853945,0.13630410709981788,0.3691938611350653,99.72445717494928,94.41614626853945,0.13630410709981788,0.3691938611350653,100.00000025,97.0,94.41614626853945,5.58385373146055,1.755817900769228,5.58385373146055,0.0,5.58385373146055,5.58385373146055,1.0,5.58385373146055,0.0,1.0,4.240267914658083,0.5,0.0
166,1,4576,2023-05-16 12:44:00,other,100.0,0.0,0.0,0,1,9638,1927.385601,21.98153143805769,0.0,25.0,25.0,39.18631458808882,54.1,70.2,362.91128864909734,401.9,68.76488898111641,29.0,100.0,71.0,-0.8754586013695791,1.7600000000000051,9611.0,9611.0,0.0,6.453239826291262,0.45083333333333336,0.6597582560023899,0.0,1.0,0.0,1.0550917202739183,0.5,0.25,0.0,0.75,3.9244708155405648,2.9433531116554237,2.9433531116554237,8.663327539891664,0.07222222222222222,0.00018055555555555557,99.86625494321552,94.41604191688135,0.13612890702512903,0.3689565110214604,99.86625494321552,94.41604191688135,0.13612890702512903,0.3689565110214604,9.184941413541354,99.72445717494928,94.41604191688135,5.583958083118645,1.8971417533990924,5.583905907289598,5.217582904748497e-05,5.583958083118645,5.58385373146055,2.0,5.583905907289598,7.378776506701333e-05,2.0,4.082369365099324,1.0,0.0
166,1,4577,2023-05-16 13:00:00,charge,97.0,3.0,3.0,1,1,18774,3754.5833190000003,24.59475870885267,0.0,25.0,25.0,19.859816767870463,27.8,28.700000000000003,384.9566954298498,403.9,70.74986683711516,29.0,100.0,71.0,-1.070711622456589,0.8500000000000014,9519.0,9611.0,0.0,0.5006408202492283,0.6950000000000001,0.13331885005960264,0.0,1.0,3.0,0.6391423244913185,1.5,0.75,0.0,0.75,7.836845880913191,5.877634410684893,5.877634410684893,34.546586265667145,0.011111111111111112,2.7777777777777786e-05,99.53863999576633,94.41600795858037,0.13610282541927488,0.36892116423332894,99.53863999576633,94.41600795858037,0.13610282541927488,0.36892116423332894,4.458283987824355,99.86625494321552,94.41600795858037,2.5839920414196342,0.4396312973672233,4.583934618666277,1.4141729589964762,5.583958083118645,2.5839920414196342,3.0,4.583934618666277,1.732001078791602,3.0,5.333861537037279,2.5,1.0
166,1,4578,2023-05-16 14:35:00,other,97.0,0.0,0.0,0,1,11409,2281.582631,23.50258567797353,23.0,25.0,2.0,31.840792356911212,37.3,70.4,365.0436760452274,400.5,66.6214392146551,29.0,100.0,71.0,-0.2382662810062233,1.0900000000000176,0.0,0.0,0.0,5.486243248166033,0.3108333333333333,0.6141138878094984,0.0,1.0,0.0,0.5926532562012534,0.5,0.25,0.0,0.75,3.4034086913413972,2.552556518506048,2.552556518506048,6.515544780167716,0.06597222222222222,0.0001649305555555556,98.58065524976979,94.4157939948048,0.13594925778721922,0.36871297480183585,98.58065524976979,94.4157939948048,0.13594925778721922,0.36871297480183585,3.948863936122168,99.53863999576633,94.4157939948048,2.584206005195199,1.012399132579315,4.084002465298507,1.4999034443524828,5.583958083118645,2.5839920414196342,4.0,4.084002465298507,1.7319393147107058,4.0,4.851248325613309,3.0,0.75
166,1,4579,2023-05-16 15:00:00,charge,96.0,1.0,1.0,1,1,20922,4184.178628,25.281665232769335,24.0,26.0,2.0,17.670700697830032,27.6,28.7,388.0081588758245,404.5,74.65347481120352,29.0,100.0,71.0,-0.42291272344900105,0.3000000000000256,-16.0,16.0,0.0,0.5006909535160364,0.6900000000000001,0.13332982299483814,0.0,1.0,1.0,0.234582544689813,1.5,0.75,0.0,0.75,5.5284342757634874,4.146325706822616,4.146325706822616,17.19201686705806,0.017361111111111112,4.3402777777777786e-05,98.2577566395797,94.41572047406751,0.13591065400838653,0.3686606217219118,98.2577566395797,94.41572047406751,0.13591065400838653,0.3686606217219118,2.4587585107361614,98.58065524976979,94.41572047406751,1.5842795259324873,0.38209239648627163,3.584057877425303,1.6731845796800735,5.583958083118645,1.5842795259324873,4.0,3.584057877425303,1.8706772295345289,4.0,4.9866855156433445,4.5,0.8
166,1,4580,2023-05-16 19:11:00,other,96.0,0.0,0.0,0,1,11247,2249.382045,26.68969502978572,25.0,29.0,4.0,33.295874455410335,45.5,71.1,368.05402329510093,401.6,69.46439050413444,27.0,100.0,73.0,0.010462345514359164,0.8500000000000085,0.0,0.0,0.0,6.0085998148342,0.37916666666666665,0.6395544719465969,0.0,1.0,0.0,0.42709246910287607,0.5,0.25,0.0,0.75,3.3666518724537715,2.5249889043403284,2.5249889043403284,6.375568967041772,0.17430555555555555,0.00043576388888888896,97.68808328782684,94.41494216933127,0.1355298719243856,0.3681438196199762,97.68808328782684,94.41494216933127,0.1355298719243856,0.3681438196199762,2.151547716263336,98.2577566395797,94.41494216933127,1.585057830668731,0.627748434040283,2.7842986972669395,1.4694541290067031,5.583958083118645,1.5842795259324873,3.0,3.2508912029658745,1.8615979253053851,4.0,4.811962307202482,4.5,0.8
166,1,4581,2023-05-16 20:00:00,charge,97.0,1.0,1.0,1,1,19540,3907.76897,26.80813715455476,24.0,29.0,5.0,19.09348004094166,27.9,29.1,386.4244472876152,403.9,72.17057318321392,27.0,100.0,73.0,0.3389477993858751,0.960000000000008,25.0,25.0,0.0,0.500748619185453,0.6975,0.1333424441338546,0.0,1.0,1.0,0.547789559877179,1.5,0.75,0.0,0.75,5.770849003008275,4.328136752256206,4.328136752256206,18.732767746230902,0.034027777777777775,8.506944444444446e-05,97.63366458598414,94.41476907987959,0.1354591324757024,0.36804773124650886,97.63366458598414,94.41476907987959,0.1354591324757024,0.36804773124650886,1.6087578905604898,97.68808328782684,94.41476907987959,2.5852309201204093,0.5973080491906266,2.1845532646672923,0.4898039546112431,2.5852309201204093,1.5842795259324873,3.0,3.155796876845094,1.717922062339748,5.0,5.181237944696024,5.5,1.0
166,1,4582,2023-05-16 21:19:00,other,97.0,0.0,97.0,0,1,13917,2783.582473,23.50901774807789,23.0,24.0,1.0,26.285118919307322,40.5,71.2,367.19669468994755,401.8,66.70122871308472,29.0,100.0,71.0,0.05089961917079833,0.8000000000000185,0.0,0.0,0.0,3.9934208398393087,0.3375,0.5282014656910586,0.0,1.0,0.0,0.4101799238341689,0.5,0.25,0.0,0.75,3.2287860421439207,2.4215895316079408,2.4215895316079408,5.864095859593166,0.05486111111111111,0.00013715277777777782,97.50585244451597,94.41447108941306,0.13534704852250923,0.3678954315053521,97.50585244451597,94.41447108941306,0.13534704852250923,0.3678954315053521,1.4816626028294997,97.63366458598414,94.41447108941306,2.5855289105869446,1.0676990781629898,2.184860638500754,0.4900549417397954,2.5855289105869446,1.5842795259324873,3.0,3.084513381062825,1.6032151683777107,6.0,4.2596259769421705,4.5,0.4
166,1,4583,2023-05-16 22:00:00,charge,97.0,0.0,97.0,1,1,5727,1145.193014,23.261568011175136,0.0,24.0,24.0,19.64159245678366,27.8,28.9,359.9504277981491,372.7,37.24358302776323,29.0,51.0,22.0,-0.6607263837960539,0.4200000000000088,9528.0,9528.0,0.0,0.5004716946568575,0.6950000000000001,0.13328182993553608,0.0,0.0,0.0,0.3421452767592152,1.5,0.75,0.0,0.75,4.114070330021064,3.0855527475157976,3.0855527475157976,9.520635757702287,0.02847222222222222,7.118055555555557e-05,97.44994915526051,94.41428505203068,0.13529215437374265,0.36782081829845176,97.44994915526051,94.41428505203068,0.13529215437374265,0.36782081829845176,1.1828777728241717,97.50585244451597,94.41428505203068,2.585714947969322,0.8380070475382737,2.185162427055579,0.49030117881879787,2.585714947969322,1.5842795259324873,3.0,3.029091332941325,1.5088591542498797,7.0,4.401758304678103,5.5,0.4
166,1,4584,2023-05-17 11:30:00,charge,96.0,1.0,1.0,0,0,17948,3589.3697740000002,19.024570982839315,18.0,21.0,3.0,14.088366391798528,24.6,25.4,395.1971751727212,403.9,83.54880766659238,51.0,100.0,49.0,-0.8120169378203699,1.8500000000000085,-28.0,28.0,0.0,0.5003652666451124,0.615,0.13325853162844958,0.0,1.0,1.0,1.0874033875640783,0.0,0.75,0.0,0.75,4.592996439394396,3.444747329545797,3.444747329545797,11.8662841644129,0.5625,0.0014062500000000004,97.33171171957747,94.41022775510704,0.13424591421953425,0.3663958436166194,97.33171171957747,94.41022775510704,0.13424591421953425,0.3663958436166194,1.0535606092973004,97.44994915526051,94.41022775510704,1.5897722448929557,0.4615061985119742,2.1862609708476723,0.48895795400355985,2.585714947969322,1.585057830668731,3.0,2.885159424136488,1.4936057442164599,7.0,4.214670737404285,4.0,0.4
