feature,coef,abs_coef
duration_stress_index,-0.3573513268771826,0.3573513268771826
observed_soh_delta_1,-0.3075023323868651,0.3075023323868651
current_abs_mean_a,-0.27013549668737186,0.27013549668737186
p95_abs_current_a,0.2642553671210645,0.2642553671210645
rolling_observed_soh_std_3,0.21464934763428045,0.21464934763428045
observed_soh_pct,-0.21259708898116786,0.21259708898116786
observed_soh_slope_pct_per_day_1,-0.21216859690375522,0.21216859690375522
cumulative_event_count,-0.20898740508705596,0.20898740508705596
score_current,0.20887240712292132,0.20887240712292132
rolling_temp_mean_5,-0.1986801703974259,0.1986801703974259
cumulative_efc,-0.1978993517658268,0.1978993517658268
cumulative_flight_count,-0.19771367332053333,0.19771367332053333
cumulative_ah,-0.1948680517158561,0.1948680517158561
soc_mean_pct,0.19150042117052202,0.19150042117052202
score_soc_edge,-0.18648141880525823,0.18648141880525823
current_rms_proxy_a,0.17492479681873174,0.17492479681873174
prev_delta_days,-0.17399187637420271,0.17399187637420271
throughput_stress_proxy,0.17272663792847429,0.17272663792847429
rolling_observed_delta_mean_5,-0.16796692005126992,0.16796692005126992
score_gap,-0.16565009910615863,0.16565009910615863
rolling_observed_delta_std_5,0.16491003505488083,0.16491003505488083
n_rows,-0.16165136715624015,0.16165136715624015
event_ah,-0.15195463848202456,0.15195463848202456
rolling_latent_filter_delta_std_5,-0.14998727237360743,0.14998727237360743
voltage_max_v,0.1376616035299352,0.1376616035299352
prev_observed_soh_pct,-0.13633035041586503,0.13633035041586503
event_duration_s,-0.13588674542661613,0.13588674542661613
avg_cell_temp_mean_c,0.13303758318314832,0.13303758318314832
arrhenius_temp_proxy,-0.10836783375311064,0.10836783375311064
storage_stress_proxy,-0.10092358061925916,0.10092358061925916
voltage_mean_v,0.10071796804322748,0.10071796804322748
rolling_soc_span_mean_5,0.0984450440241573,0.0984450440241573
time_since_prev_event_days,-0.09559010459269619,0.09559010459269619
latent_soh_filterpy_filter_pct,-0.08915549213310485,0.08915549213310485
latent_soh_filter_pct,-0.08915549213310449,0.08915549213310449
observed_soh_delta_2,-0.08835525191956135,0.08835525191956135
delta_days,0.08676775808158937,0.08676775808158937
_filterpy_pred_state_pct,-0.08621539442751848,0.08621539442751848
