model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,774,0.8733850129198967,2.414426922551413,0.9409228520642944,0.8733850129198967,2.414426922551413,-0.0008356804605533785
naive_zero_delta,valid,166,0.3614457831325301,0.8359396992145376,0.7978245348788375,0.3614457831325301,0.8359396992145376,0.0
naive_zero_delta,test,164,1.3231707317073171,4.236168310067426,0.8326080231285402,1.3231707317073171,4.236168310067426,-0.0038456498815522266
naive_zero_delta,holdout,96,0.10416666666666667,0.3535533905932738,0.9288844990431508,0.10416666666666667,0.3535533905932738,-0.09505703422053235
ridge_raw_only,train,774,1.102200885534553,2.249544188237556,0.9487161705200525,1.102200885534553,2.249544188237556,0.13119220937940868
ridge_raw_only,valid,166,0.5795574640622096,0.9055021345828388,0.7627766106718719,0.5795574640622096,0.9055021345828388,-0.1733539932056627
ridge_raw_only,test,164,1.658646031642218,4.16332875011755,0.8383150355804148,1.658646031642218,4.16332875011755,0.03037916621004233
ridge_raw_only,holdout,96,0.33913766179810595,0.4701847053008555,0.8742258890164193,0.33913766179810595,0.4701847053008555,-0.9367061062956494
ridge_raw_plus_latent,train,774,1.1011595462949928,2.247301207295693,0.9488183879436778,1.1011595462949928,2.247301207295693,0.1329238915662373
ridge_raw_plus_latent,valid,166,0.5765554267208328,0.9019552798671503,0.7646313805015371,0.5765554267208328,0.9019552798671503,-0.1641799332941214
ridge_raw_plus_latent,test,164,1.612784955352861,4.12921377616578,0.8409539236863882,1.612784955352861,4.12921377616578,0.04620451456434127
ridge_raw_plus_latent,holdout,96,0.3402541585541961,0.46978159427576244,0.87444146045511,0.3402541585541961,0.46978159427576244,-0.9333866749882831
elastic_raw_plus_latent_plus_history,train,774,0.9145546287216925,2.4033915210210126,0.9414616550084831,0.9145546287216925,2.4033915210210126,0.008292268841741057
elastic_raw_plus_latent_plus_history,valid,166,0.39932380662389955,0.838883405370078,0.796398132845714,0.39932380662389955,0.838883405370078,-0.007055267721375547
elastic_raw_plus_latent_plus_history,test,164,1.3619352044111162,4.23640090062385,0.8325896410157256,1.3619352044111162,4.23640090062385,-0.003955886968952882
elastic_raw_plus_latent_plus_history,holdout,96,0.15609714804569666,0.33727269355714484,0.9352832614201745,0.15609714804569666,0.33727269355714484,0.003472957932896592
ridge_raw_plus_latent_plus_history,train,774,1.0926330315384596,2.1289518990656013,0.9540671821605311,1.0926330315384596,2.1289518990656013,0.22184457773983002
