epoch,train_loss,train_data_loss,train_step_loss,train_residual_loss,train_monotonic_loss,train_initial_loss,valid_mae,calendar_weight,cycle_weight,thermal_weight,resistance_weight,history_weight,health_gain,valid_mean_residual_abs
1,8.495831489562988,1.1391812562942505,7.050897121429443,0.3143174946308136,2.204609238221078e-11,0.5943747758865356,0.7159652250358858,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.04858734831213951,0.5609914660453796
2,6.554812431335449,0.2779897451400757,6.07324743270874,0.3140118420124054,2.466505888421011e-09,0.18627667427062988,0.7512311820524284,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.04853995144367218,0.5605320930480957
3,6.238460540771484,0.19644932448863983,5.885161876678467,0.3136984705924988,5.835585881186489e-08,0.0,0.9659107621893825,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.04849261790513992,0.5601090788841248
4,6.3994293212890625,0.3255562484264374,5.917243480682373,0.31325864791870117,1.9191088540537748e-07,0.0,0.8708533321518496,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.04844537749886513,0.5596645474433899
5,6.418644905090332,0.3828089237213135,5.87949275970459,0.3126867711544037,2.5404315806554223e-07,0.0,0.652179258415498,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.04839823767542839,0.5591580271720886
6,6.274987697601318,0.3603946566581726,5.758584022521973,0.31201809644699097,2.124274516290825e-07,0.0,0.543107320027179,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.04835119843482971,0.5585731863975525
7,6.055306911468506,0.30227726697921753,5.597384929656982,0.311289519071579,1.2229375556671584e-07,0.0,0.5507615790309677,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.0483042374253273,0.5579187273979187
8,5.843411445617676,0.24829712510108948,5.439848899841309,0.3105303943157196,4.509423234821952e-08,0.0,0.5753880236522261,0.018034491688013077,0.018034491688013077,0.018034491688013077,0.018034491688013077,0.018034491688013077,0.04825733229517937,0.5572181344032288
9,5.714514255523682,0.23366089165210724,5.325973033905029,0.3097609579563141,9.820828594797604e-09,0.0,0.5785537627806147,0.01801665499806404,0.01801665499806404,0.01801665499806404,0.01801665499806404,0.01801665499806404,0.048210468143224716,0.5565057992935181
10,5.714686870574951,0.2731471061706543,5.277182102203369,0.30900195240974426,1.8320687189543605e-09,0.03942747414112091,0.5820166806140578,0.017998844385147095,0.017998844385147095,0.017998844385147095,0.017998844385147095,0.017998844385147095,0.04816364124417305,0.5558284521102905
11,5.819314002990723,0.33710652589797974,5.277548789978027,0.30827370285987854,3.9511652283330534e-10,0.20208683609962463,0.6167046420545463,0.01798105426132679,0.01798105426132679,0.01798105426132679,0.01798105426132679,0.01798105426132679,0.048116836696863174,0.5552191734313965
12,5.866770267486572,0.3740519881248474,5.282223224639893,0.3075871467590332,1.1349518547199011e-10,0.22680403292179108,0.6740995200283556,0.017963286489248276,0.017963286489248276,0.017963286489248276,0.017963286489248276,0.017963286489248276,0.048070039600133896,0.5546736121177673
13,5.8268256187438965,0.37518125772476196,5.271444320678711,0.30694711208343506,6.5820973671471e-11,0.10690638422966003,0.7150390808840832,0.01794554479420185,0.01794554479420185,0.01794554479420185,0.01794554479420185,0.01794554479420185,0.04802326485514641,0.5541691780090332
14,5.757773399353027,0.355955570936203,5.245621681213379,0.30635371804237366,9.670691331065129e-11,0.0120772710070014,0.6979492371340832,0.017927831038832664,0.017927831038832664,0.017927831038832664,0.017927831038832664,0.017927831038832664,0.047976527363061905,0.5536778569221497
15,5.684045314788818,0.3265923261642456,5.204551696777344,0.3058018982410431,2.7998858787015024e-10,0.0,0.6292113338608339,0.017910141497850418,0.017910141497850418,0.017910141497850418,0.017910141497850418,0.017910141497850418,0.04792984202504158,0.5531812906265259
16,5.6128621101379395,0.2996576130390167,5.160567283630371,0.30527377128601074,9.532401534784185e-10,0.0,0.5506688772913921,0.01789247803390026,0.01789247803390026,0.01789247803390026,0.01789247803390026,0.01789247803390026,0.04788322374224663,0.5526732206344604
17,5.581247806549072,0.2917506992816925,5.137120723724365,0.3047522008419037,2.8695421594449044e-09,0.0,0.5157324090061417,0.017874842509627342,0.017874842509627342,0.017874842509627342,0.017874842509627342,0.017874842509627342,0.04783668369054794,0.5521506071090698
18,5.598420143127441,0.30316364765167236,5.143147945404053,0.30421751737594604,6.778199779233773e-09,0.0,0.5319888103439148,0.017857229337096214,0.017857229337096214,0.017857229337096214,0.017857229337096214,0.017857229337096214,0.04779024422168732,0.5516142249107361
19,5.63036584854126,0.3139713406562805,5.164566993713379,0.3036550283432007,1.099387070269131e-08,0.0,0.537388859024967,0.017839642241597176,0.017839642241597176,0.017839642241597176,0.017839642241597176,0.017839642241597176,0.047743912786245346,0.551067054271698
