,corr_with_next_observed_delta_pct,abs_corr
voltage_max_v,0.020665607619654643,0.020665607619654643
rolling_stress_index_mean_5,0.020118865541955116,0.020118865541955116
flight_event_flag,0.019683547527873536,0.019683547527873536
prev2_latent_filter_pct,-0.018343765374070238,0.018343765374070238
rolling_observed_delta_std_5,0.018252031015791276,0.018252031015791276
observed_soh_delta_2,0.018153361726659826,0.018153361726659826
avg_cell_temp_span_c,-0.01738417945540943,0.01738417945540943
degradation_stress_proxy,-0.01730689174122723,0.01730689174122723
score_gap,-0.016942882524675257,0.016942882524675257
rolling_soc_span_mean_5,0.016741538000407896,0.016741538000407896
rolling_observed_delta_mean_5,-0.016233233829632418,0.016233233829632418
rolling_duration_mean_5,0.015376375675789592,0.015376375675789592
rolling_flight_frac_5,0.013255072277728352,0.013255072277728352
cumulative_flight_count,-0.011355604644922076,0.011355604644922076
soc_stress_index,-0.010780400794817705,0.010780400794817705
voltage_mean_v,0.010699886478987458,0.010699886478987458
rolling_temp_span_mean_5,0.010280048171067752,0.010280048171067752
p95_abs_dtemp_c_per_min,-0.010096329575969386,0.010096329575969386
score_switch,-0.0099470584954864,0.0099470584954864
soc_edge_stress_proxy,0.009238293917376269,0.009238293917376269
cumulative_event_count,-0.008866403534549313,0.008866403534549313
score_dtemp,-0.00859104827161204,0.00859104827161204
rolling_current_abs_mean_5,0.007855443821435663,0.007855443821435663
cumulative_efc,-0.007645930279776658,0.007645930279776658
cumulative_ah,-0.007515456157887627,0.007515456157887627
p95_abs_dcurrent_a_per_s,0.006920388914126965,0.006920388914126965
time_since_prev_event_days,-0.006566901942602051,0.006566901942602051
rolling_temp_mean_5,-0.006173408058742263,0.006173408058742263
coulomb_gap_abs_pct,0.005498349586629736,0.005498349586629736
instant_stress_index,-0.0051447150672609,0.0051447150672609
kalman_coulomb_gap_mean_pct,-0.002870213427267042,0.002870213427267042
voltage_sag_proxy_v,0.0027460857991744693,0.0027460857991744693
kalman_coulomb_gap_span_pct,-0.0026843665786225202,0.0026843665786225202
estimation_reset_risk,-0.0022561538706929118,0.0022561538706929118
_filterpy_pred_var_pct2,0.0012325390862047898,0.0012325390862047898
battery_id,0.0009951384060786362,0.0009951384060786362
rolling_latent_filter_delta_std_5,-0.0008367472692533254,0.0008367472692533254
rolling_current_abs_max_5,-0.000578124537764967,0.000578124537764967
