flight_id,battery_id,event_datetime,soc_start,soc_end,soc_span,soc_window_used,delivered_ah,capacity_est_ah,cap_est_raw_median,v_max,v_p99,rows_used,monotonic_soc_frac
10857,1,2025-06-03 11:30:00,36.0,99.0,63.0,40-90,14.389246541972268,28.778493083944536,9611.0,404.3,404.2,20755,1.0
10857,2,2025-06-03 11:30:00,38.0,100.0,62.0,40-90,14.45710467319449,28.91420934638898,9611.0,403.9,403.7,20755,1.0
10859,1,2025-06-03 12:30:00,50.0,100.0,50.0,50-90,11.529246810277751,28.823117025694376,9597.0,404.2,404.1,14601,1.0
10859,2,2025-06-03 12:30:00,50.0,100.0,50.0,50-90,11.50209643422222,28.75524108555555,9598.0,403.7,403.7,14601,1.0
10959,1,2025-06-08 19:30:00,45.0,100.0,55.0,50-90,11.5392620795833,28.84815519895825,9582.0,404.2,404.1,14765,1.0
10959,2,2025-06-08 19:30:00,45.0,100.0,55.0,50-90,11.561331387194402,28.903328467986004,9584.0,403.7,403.7,14765,1.0
10998,1,2025-06-13 14:05:00,41.0,100.0,59.0,50-90,11.498218354555569,28.74554588638892,9522.0,404.2,404.1,16618,1.0
10998,2,2025-06-13 14:05:00,41.0,100.0,59.0,50-90,11.51298966605556,28.7824741651389,9527.0,403.7,403.7,16617,1.0
11128,1,2025-07-01 16:00:00,32.0,100.0,68.0,40-90,14.371490139916787,28.742980279833574,9497.0,404.2,404.1,17506,1.0
11128,2,2025-07-01 16:00:00,32.0,100.0,68.0,40-90,14.388810732194422,28.777621464388844,9502.0,403.8,403.7,17506,1.0
11134,1,2025-07-02 17:05:00,47.0,100.0,53.0,50-90,11.486920575249968,28.71730143812492,9497.0,404.2,404.2,14655,1.0
11134,2,2025-07-02 17:05:00,47.0,100.0,53.0,50-90,11.49742253172221,28.743556329305523,9499.0,403.8,403.7,14655,1.0
11140,1,2025-07-03 15:00:00,38.0,100.0,62.0,40-90,14.369248547555534,28.738497095111068,9491.0,404.2,403.3,25817,1.0
11140,2,2025-07-03 15:00:00,39.0,100.0,61.0,40-90,14.363249831888888,28.726499663777776,9493.0,403.7,402.8,25817,1.0
11152,1,2025-07-04 10:40:00,29.0,92.0,63.0,40-90,14.140518060944563,28.281036121889127,9435.0,401.1,400.8,12974,1.0
11152,2,2025-07-04 10:40:00,29.0,91.0,62.0,40-90,14.148360773388838,28.296721546777675,9449.0,400.6,400.3,12973,1.0
11150,1,2025-07-04 12:50:00,25.0,82.0,57.0,30-80,14.232933655055593,28.465867310111186,9444.0,397.8,397.4,14409,1.0
11150,2,2025-07-04 12:50:00,25.0,81.0,56.0,30-80,14.245708921999952,28.491417843999905,9448.0,397.2,396.8,14409,1.0
11154,1,2025-07-04 13:50:00,29.0,92.0,63.0,40-90,14.140518060944563,28.281036121889127,9435.0,401.1,400.8,12974,1.0
11154,2,2025-07-04 13:50:00,29.0,91.0,62.0,40-90,14.148360773388838,28.296721546777675,9449.0,400.6,400.3,12973,1.0
