,corr_with_next_latent_delta_flight_30_pct,abs_corr
latent_soh_filter_pct,-0.4449018762129379,0.4449018762129379
latent_soh_filterpy_filter_pct,-0.4449018762129379,0.4449018762129379
_filterpy_pred_state_pct,-0.4446465578863017,0.4446465578863017
prev_latent_filter_pct,-0.44452240960657985,0.44452240960657985
prev2_latent_filter_pct,-0.4432052117237431,0.4432052117237431
rolling_latent_filter_mean_3,-0.4429481629544656,0.4429481629544656
rolling_observed_soh_mean_3,-0.331822591917433,0.331822591917433
prev2_observed_soh_pct,-0.32945072909321094,0.32945072909321094
prev_observed_soh_pct,-0.31677370334169536,0.31677370334169536
observed_soh_pct,-0.30492625162068376,0.30492625162068376
rolling_latent_filter_delta_std_5,0.1912837632701666,0.1912837632701666
next_latent_soh_smooth_flight_30_pct,0.1827207300081895,0.1827207300081895
rolling_flight_frac_5,-0.15664072477396276,0.15664072477396276
cumulative_efc,0.1545631686564494,0.1545631686564494
cumulative_ah,0.15344860060753668,0.15344860060753668
cumulative_event_count,0.14150255301581038,0.14150255301581038
rolling_current_abs_max_5,-0.1246356389282282,0.1246356389282282
avg_cell_temp_mean_c,0.12013798416185936,0.12013798416185936
avg_cell_temp_max_c,0.10901305749582013,0.10901305749582013
rolling_temp_mean_5,0.10800729859903699,0.10800729859903699
rolling_gap_days_mean_5,0.10064865815479354,0.10064865815479354
rolling_observed_delta_mean_5,0.0964576910810926,0.0964576910810926
rolling_latent_filter_delta_mean_5,-0.08661452246685708,0.08661452246685708
rolling_stress_index_max_5,0.08435091883223667,0.08435091883223667
current_temp_stress_index,0.082717049710043,0.082717049710043
rolling_temp_span_mean_5,0.08240161657598362,0.08240161657598362
rolling_soc_mean_5,-0.07655349391818851,0.07655349391818851
flight_event_flag,-0.07562063831200917,0.07562063831200917
thermal_severity_proxy,0.07108439549727408,0.07108439549727408
avg_cell_temp_span_c,0.06361607995963832,0.06361607995963832
observed_soh_delta_2,0.062081069374954896,0.062081069374954896
soc_max_pct,-0.061221758752738685,0.061221758752738685
soc_edge_stress_proxy,0.059430111175735476,0.059430111175735476
observed_soh_delta_1,0.05928951794823115,0.05928951794823115
internal_resistance_proxy_ohm,-0.05790151036795862,0.05790151036795862
battery_id,0.0571559544898832,0.0571559544898832
cumulative_flight_count,0.054175265691789494,0.054175265691789494
score_event_type,0.0537401588286042,0.0537401588286042
rolling_duration_mean_5,-0.052859416376559276,0.052859416376559276
n_rows,-0.051999216524446404,0.051999216524446404
event_duration_s,-0.051954572103394554,0.051954572103394554
throughput_stress_proxy,-0.05189606432341834,0.05189606432341834
observed_soh_span_pct,-0.049604525465936654,0.049604525465936654
voltage_sag_proxy_v,-0.04787965618076448,0.04787965618076448
degradation_stress_proxy,0.04767519047376406,0.04767519047376406
current_span_a,-0.04737952670356452,0.04737952670356452
cap_est_delta_raw,0.04291370172637623,0.04291370172637623
soc_min_pct,-0.04262829765209803,0.04262829765209803
cap_est_span_raw,0.04128704647875564,0.04128704647875564
voltage_max_v,-0.03943615648999978,0.03943615648999978
charge_event_flag,0.039311915238926826,0.039311915238926826
score_current,0.037835632825364604,0.037835632825364604
score_soc_edge,0.035327144428369046,0.035327144428369046
current_abs_mean_a,0.03501242968043705,0.03501242968043705
event_ah,-0.03324207227327094,0.03324207227327094
rolling_stress_index_mean_5,0.0327071944679413,0.0327071944679413
instant_stress_index,0.03239025514722361,0.03239025514722361
duration_stress_index,-0.03216758427989202,0.03216758427989202
flag_rst_coulomb_any,-0.0301159456080556,0.0301159456080556
arrhenius_temp_proxy,0.028697953589303573,0.028697953589303573
rolling_condition_mean_5,-0.02860517714327787,0.02860517714327787
rolling_sigma_mean_5,-0.028605177143276674,0.028605177143276674
rolling_observed_delta_std_5,0.025023425573947586,0.025023425573947586
latent_filter_delta_2,-0.023298232686748743,0.023298232686748743
soc_mean_pct,-0.02228479603618817,0.02228479603618817
soc_stress_index,0.02194431595950346,0.02194431595950346
observed_soh_iqr_pct,-0.02124555698135662,0.02124555698135662
rolling_current_abs_mean_5,0.021051743041111022,0.021051743041111022
score_gap,0.019923019209161952,0.019923019209161952
latent_soh_smooth_std_pct,0.019901016828223372,0.019901016828223372
rolling_observed_soh_std_3,0.019357521128636326,0.019357521128636326
_filterpy_pred_var_pct2,-0.017406111234356914,0.017406111234356914
coulomb_gap_abs_pct,0.01648442587863849,0.01648442587863849
p95_abs_current_a,-0.015278328852236832,0.015278328852236832
voltage_mean_v,0.012754048146545858,0.012754048146545858
latent_filter_delta_1,0.010611212878172328,0.010611212878172328
estimation_reset_risk,-0.010445953401318809,0.010445953401318809
avg_cell_temp_min_c,-0.009680032836578468,0.009680032836578468
current_rms_proxy_a,-0.00919088363759563,0.00919088363759563
score_switch,-0.007057961207628975,0.007057961207628975
score_observation_instability,-0.006701087516355034,0.006701087516355034
score_dtemp,-0.006694467083536802,0.006694467083536802
prev_delta_days,0.006654158418633731,0.006654158418633731
measurement_sigma_pct,0.006131127767070697,0.006131127767070697
condition_multiplier,0.006131127767070609,0.006131127767070609
score_didt,-0.005972542176058893,0.005972542176058893
p95_abs_dtemp_c_per_min,-0.005776185246443673,0.005776185246443673
kalman_coulomb_gap_span_pct,0.005358990969121369,0.005358990969121369
time_since_prev_event_days,0.005322440231414587,0.005322440231414587
soc_span_pct,0.0021428127700962763,0.0021428127700962763
kalman_coulomb_gap_mean_pct,0.0019102459249273319,0.0019102459249273319
flag_new_est_batt_cap_any,0.0014394301956843364,0.0014394301956843364
observed_soh_slope_pct_per_day_1,-0.0014011987899138411,0.0014011987899138411
rolling_soc_span_mean_5,0.0011721221389472919,0.0011721221389472919
event_efc,-0.001149707523281832,0.001149707523281832
delta_days,-0.0010662419242769587,0.0010662419242769587
storage_stress_proxy,-0.0007781390337707675,0.0007781390337707675
p95_abs_dcurrent_a_per_s,0.0006567936625333041,0.0006567936625333041
