epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,91.3309067946214,68.3895407456618,65.54667018010066,0.001617117955062825,1.6572690810789936e-06,7.055430047813548,0.023223336786031723,0.021483872085809708,0.022251160815358162,0.01948240026831627,0.021108301356434822
2,77.59951840914212,58.29910630446214,55.14364213209886,0.006952441745222761,2.941281309176702e-05,6.9080336133764035,0.02847861498594284,0.030652929097414017,0.03099266067147255,0.023328466340899467,0.03275939077138901
3,57.79280706552359,43.734718616192154,40.160088759202225,0.10291891659681614,0.003940261900424957,6.640162750820179,0.06663579493761063,0.12044166028499603,0.07998540997505188,0.048016343265771866,0.15107575058937073
4,39.89878493088942,30.60408768287072,26.5083065032959,0.8394859158075773,0.0006907918723300099,5.626511452066036,0.05536091700196266,0.08228818327188492,0.07332214713096619,0.04324256628751755,0.10129224509000778
5,25.927712660569412,20.22193424518292,16.060056172884426,4.237936478394729,0.0008722340571694076,4.747996115689359,0.0664990022778511,0.1027832105755806,0.09916441887617111,0.05604502931237221,0.13194243609905243
6,19.038293838500977,15.141699057358961,10.472564697265625,11.55984720816979,0.0006415694952011108,4.770409919901953,0.05681700259447098,0.09316165000200272,0.09985306859016418,0.05669859051704407,0.11835245788097382
7,15.117925057044395,12.3465879880465,7.363101372352014,9.712582661555363,0.0006520752795040607,4.542559169677774,0.05276035889983177,0.10181687027215958,0.10535670071840286,0.061679672449827194,0.1297810822725296
8,12.365166297325722,10.165199463184063,5.835932694948637,7.869512447944055,0.0007009784458205104,4.721081367570985,0.049829162657260895,0.10018691420555115,0.1137804314494133,0.06186440959572792,0.1301652193069458
9,10.811670229985165,8.8960846387423,5.036453870626596,7.64133332325862,0.0008802490192465484,4.8080428350127065,0.04900454729795456,0.1055646613240242,0.12459499388933182,0.06438065320253372,0.14191175997257233
10,8.849826922783485,7.305397840646597,3.9114515964801493,8.771053827725924,0.0008658671868033707,4.867957123493977,0.046362973749637604,0.09725203365087509,0.1248139888048172,0.05853506177663803,0.13268616795539856
11,8.010770357572115,6.614573808816763,3.5316300575549784,8.006309729356031,0.0011192249367013574,4.9341554174124385,0.04522271826863289,0.102297842502594,0.13072416186332703,0.060427017509937286,0.14517641067504883
12,7.039256756122295,5.870563433720515,2.9001720387202043,7.68165999192458,0.0008456833893433213,4.858762020971121,0.04318446293473244,0.09768649190664291,0.12242899090051651,0.05762810260057449,0.13770826160907745
13,6.118239787908701,5.089224696159363,2.492092930353605,7.8391277606670675,0.0009812387870624661,4.816204146275609,0.043156322091817856,0.09900268912315369,0.12780770659446716,0.058617137372493744,0.14283503592014313
14,5.491103722498967,4.598179968503805,2.068633345457224,8.445100747621977,0.0008999358396977186,4.807987425622289,0.04259944707155228,0.09573590755462646,0.127309650182724,0.057396452873945236,0.13874876499176025
15,5.251313943129319,4.426741123199463,1.8475148402727568,8.897131589742807,0.0008936956874094903,4.855261362918909,0.0417228601872921,0.09588318318128586,0.12791883945465088,0.05730624496936798,0.14146943390369415
16,4.815591537035429,4.052779958798335,1.6594528968517597,9.100155060107891,0.0008260286413133144,4.828197304196461,0.04124286770820618,0.09471713751554489,0.12680219113826752,0.05619267001748085,0.1402834951877594
17,4.5106759163049555,3.8325055700082045,1.460562724333543,8.348671656388502,0.0008188375504687428,4.871070012255742,0.04045882076025009,0.09572110325098038,0.12196175754070282,0.05624578520655632,0.14514155685901642
