epoch,train_loss,valid_mae
1,7139.695861816406,72.48286437988281
2,6943.822123209636,69.74348449707031
3,6161.026550292969,62.906333923339844
4,4798.567708333333,52.41756820678711
5,3474.467051188151,41.57219314575195
6,2286.661834716797,30.166677474975586
7,1351.4771397908528,19.070627212524414
8,699.9662068684896,9.14283275604248
9,324.30487569173175,1.6383304595947266
10,148.34711424509683,4.4204511642456055
11,82.10936625798543,7.796812534332275
12,64.25259653727214,9.663392066955566
13,60.123446782430015,10.459247589111328
14,59.38475306828817,10.753602981567383
15,59.26240905125936,10.801041603088379
16,58.81826893488566,10.792644500732422
17,76.77810049057007,10.840859413146973
