epoch,train_loss,valid_mae
1,7141.234476725261,72.7082290649414
2,6924.0669352213545,70.50227355957031
3,6170.29638671875,63.42487716674805
4,5033.9453531901045,55.00951385498047
5,3843.5005900065103,45.319576263427734
6,2705.499715169271,34.84325408935547
7,1730.8222096761067,24.247432708740234
8,991.9702835083008,14.242515563964844
9,505.39564514160156,5.679758071899414
10,242.42522430419922,1.497490406036377
11,121.51349067687988,5.470278263092041
12,76.79623444875081,8.208030700683594
13,63.80531247456869,9.733566284179688
14,60.330115954081215,10.400957107543945
15,60.187190214792885,10.812776565551758
16,59.746514638264976,10.983713150024414
17,59.093207677205406,10.775583267211914
18,53.02864726384481,8.719493865966797
