epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,8.86004139826848,7.365415206322303,4.270254428570087,0.001853306249428827,1.6327110188285587e-06,1.266715712949813,0.019239557906985283,0.020480724051594734,0.01950492523610592,0.02379072643816471,0.01963386870920658
2,7.388407762234028,6.16999180500324,3.480777767988352,0.007187456823885441,1.2288113794056699e-05,1.2128487865037945,0.020170578733086586,0.026019198819994926,0.025016475468873978,0.03222968056797981,0.022003596648573875
3,7.035792570847732,5.853434672722449,3.3747135309072642,0.06040188025396604,9.624454833101481e-05,0.9471141714076677,0.022637654095888138,0.0372195839881897,0.03651128336787224,0.05290791019797325,0.0279767457395792
4,5.77715277671814,4.984362033697275,2.253679238832914,0.2001533227471205,5.416006752057001e-05,0.4706889517664411,0.022286031395196915,0.0357288122177124,0.031113436445593834,0.042452868074178696,0.029087763279676437
5,4.489167598577646,4.050240223224346,1.232113792346074,0.38437941326544833,7.887696847319603e-05,0.5199187348112773,0.022901354357600212,0.04375353083014488,0.03210695832967758,0.043420590460300446,0.03620213270187378
6,3.6555798603938174,3.278440434199113,1.0514304729608388,0.4569368362426758,6.564720388269052e-05,0.5230781486748196,0.02318848855793476,0.03918471187353134,0.028936896473169327,0.039352551102638245,0.03415260836482048
7,3.806053345020001,3.477115245965811,0.9013836292120126,0.6726924295608814,6.952249532332644e-05,0.4917865344397031,0.024263478815555573,0.035564832389354706,0.027742760255932808,0.038605425506830215,0.03186480700969696
8,3.1857597461113563,2.867041899607732,0.8777358119304364,0.5755160886507767,8.733321010367945e-05,0.7893839547366058,0.02602129615843296,0.03647880628705025,0.027692558243870735,0.03898494318127632,0.034472886472940445
9,3.4136301279067993,3.156970060788668,0.6988492287122287,0.6031407484641442,7.329657819354907e-05,0.6189131765620126,0.025400647893548012,0.03271649777889252,0.025945449247956276,0.0366375558078289,0.031120557337999344
10,3.0011099852048435,2.7470651131409864,0.6839292095257685,0.7334819183899806,9.062924073077738e-05,0.8152070292635917,0.024961410090327263,0.033870309591293335,0.02599310502409935,0.036797236651182175,0.03311004862189293
11,2.6887474610255313,2.4638502964606652,0.5769195281542264,1.1487662012760456,7.18132869224064e-05,0.6601258793943153,0.02309258282184601,0.031836219131946564,0.02526124380528927,0.03506534546613693,0.030839720740914345
12,3.1415118987743673,2.9364428978699904,0.5205961517416514,1.1430169756595905,6.689012661809102e-05,0.7749150785484151,0.023090600967407227,0.03245232626795769,0.025807667523622513,0.03537539392709732,0.03163138031959534
13,2.624726176261902,2.411705521436838,0.5590674762542431,0.8673525154590607,6.135369767434895e-05,0.760504575672079,0.023147372528910637,0.03144530951976776,0.025766531005501747,0.03513272479176521,0.030619896948337555
14,2.725560628450834,2.5504105457892785,0.4469468593597412,0.9359332896195925,6.322565604932606e-05,0.7722037788211866,0.022961655631661415,0.030912477523088455,0.025780560448765755,0.03521086648106575,0.030351752415299416
