epoch,train_loss,valid_mae
1,7134.635986328125,72.63658905029297
2,6917.9344482421875,71.28766632080078
3,6396.264139811198,67.32942962646484
4,5267.357116699219,56.230045318603516
5,3827.0811360677085,44.34250259399414
6,2502.9372049967446,31.887731552124023
7,1433.0616251627605,19.676761627197266
8,707.8282877604166,8.90468978881836
9,306.5370839436849,1.4282658100128174
10,132.73330624898276,5.206413745880127
11,76.83248964945476,8.554705619812012
12,62.10456911722819,9.940479278564453
13,60.19612058003744,10.571049690246582
14,59.3995410601298,10.753763198852539
15,59.13827975591024,10.880477905273438
16,58.460346698760986,10.853729248046875
17,57.72801876068115,10.84011459350586
