epoch,train_loss,valid_mae
1,7207.958740234375,71.29588317871094
2,6938.893249511719,68.4794921875
3,6150.984883626302,62.02417755126953
4,5105.0321858723955,54.234256744384766
5,3977.3221435546875,45.053741455078125
6,2860.5586547851562,34.91786193847656
7,1879.702631632487,24.437265396118164
8,1116.0714721679688,14.444286346435547
9,606.5926081339518,5.694797992706299
10,308.2093817392985,1.8202433586120605
11,172.1158822377523,6.12495756149292
12,118.75594679514568,9.227273941040039
13,102.89748446146648,10.72635555267334
14,98.41024494171143,11.721884727478027
15,93.69621817270915,11.328570365905762
16,77.86586173375447,6.907622814178467
17,50.49838399887085,2.427593231201172
18,33.43530241648356,1.6720634698867798
19,22.066575209299724,1.8318477869033813
20,16.097211440404255,1.8625521659851074
21,12.519704699516296,1.9916833639144897
22,10.227678954601288,2.5186338424682617
23,8.321204165617624,3.366806983947754
24,6.909005969762802,3.7997450828552246
25,5.980916311343511,3.051408529281616
26,5.172909468412399,4.546537399291992
