epoch,train_loss,train_data_loss,train_step_loss,train_residual_loss,train_monotonic_loss,train_initial_loss,valid_mae,calendar_weight,cycle_weight,thermal_weight,resistance_weight,history_weight,health_gain,valid_mean_residual_abs
1,7.503387451171875,0.7112091183662415,6.62589693069458,0.3144972622394562,7.1522542555158e-08,0.036130793392658234,0.6202995576054217,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.04858734831213951,0.5602478981018066
2,6.508935928344727,0.29383283853530884,6.058161735534668,0.31388235092163086,1.0585370091575896e-07,0.0,0.6946000708154885,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.04853995144367218,0.5596322417259216
3,6.224334239959717,0.2427983582019806,5.824911594390869,0.3132490813732147,1.2091106782463612e-07,0.0,0.7009343526449549,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.04849261790513992,0.5590487718582153
4,6.163200378417969,0.29061490297317505,5.716291427612305,0.31258806586265564,1.0403754657772879e-07,0.0,0.6400552772613893,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.04844535514712334,0.5584895014762878
5,6.061121940612793,0.29490652680397034,5.610252857208252,0.31192445755004883,7.918628597280986e-08,0.0,0.57430322486234,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.04839815944433212,0.5579394698143005
6,5.923407554626465,0.26410478353500366,5.50366735458374,0.31127098202705383,5.886684206757309e-08,0.0,0.5439433362110552,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.04835101589560509,0.5573856234550476
7,5.823151588439941,0.24125953018665314,5.426579475402832,0.3106246590614319,4.353837468329402e-08,0.0,0.5398991596267884,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.04830392077565193,0.5568250417709351
8,5.794454097747803,0.24626277387142181,5.393200874328613,0.3099816143512726,3.217599342519861e-08,0.0,0.5549341224762331,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.04825688153505325,0.5562591552734375
9,5.811339855194092,0.26888883113861084,5.387783527374268,0.3093346953392029,2.3178213126584524e-08,0.0,0.5733849399061088,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.04820987209677696,0.5556918382644653
10,5.826968669891357,0.28865906596183777,5.383966445922852,0.3086863160133362,1.6645026690298437e-08,0.0,0.5889714712119964,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.04816291481256485,0.5551258325576782
11,5.818044185638428,0.2965317368507385,5.367380619049072,0.3080434203147888,1.2732506604606897e-08,0.00043971557170152664,0.5974643201713102,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.048116009682416916,0.5545641779899597
12,5.787936687469482,0.29539766907691956,5.338676452636719,0.3074114918708801,1.0876552103411541e-08,0.0006273131584748626,0.5948985455984093,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.04806915670633316,0.5540077686309814
13,5.751200199127197,0.2923465669155121,5.305356025695801,0.30679529905319214,1.0850502718540156e-08,0.0004010066040791571,0.5824692967426346,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.04802237078547478,0.5534572005271912
14,5.719849586486816,0.2914382219314575,5.275245666503906,0.306195467710495,1.2670835047856599e-08,0.00027302178204990923,0.5683328559599727,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.047975655645132065,0.5529134273529053
15,5.696704864501953,0.29114988446235657,5.252722263336182,0.3056080937385559,1.6379912537445307e-08,0.00011423908290453255,0.5530509029526308,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.04792901873588562,0.5523759722709656
16,5.676725387573242,0.2863616645336151,5.237850666046143,0.30502650141716003,2.149498179448983e-08,0.0,0.5393602302275509,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.04788246750831604,0.5518428683280945
17,5.654761791229248,0.2735075056552887,5.229031085968018,0.3044460117816925,2.7108798761332764e-08,0.0,0.5310309536485787,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.04783600568771362,0.5513107180595398
18,5.6317458152771,0.2538484036922455,5.225965976715088,0.30386242270469666,3.185979480235801e-08,0.0,0.5319085178605045,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.04778963327407837,0.5507762432098389
19,5.613239288330078,0.23241153359413147,5.229190826416016,0.30327463150024414,3.491403433031337e-08,0.0,0.5396057956189995,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.047743361443281174,0.55023592710495
20,5.603208065032959,0.21419455111026764,5.237671852111816,0.30268245935440063,3.6076095000225905e-08,0.0,0.5477289866252117,0.017822090536355972,0.017822090536355972,0.017822090536355972,0.017822090536355972,0.017822090536355972,0.04769717529416084,0.5496885180473328
21,5.600101470947266,0.201396182179451,5.24766206741333,0.30208641290664673,3.5472233150812826e-08,0.0,0.5542671479374529,0.01780456304550171,0.01780456304550171,0.01780456304550171,0.01780456304550171,0.01780456304550171,0.047651078552007675,0.5491339564323425
22,5.598108768463135,0.19320188462734222,5.25416374206543,0.30148592591285706,3.33268168617451e-08,0.0,0.558854482260095,0.017787063494324684,0.017787063494324684,0.017787063494324684,0.017787063494324684,0.017787063494324684,0.04760506749153137,0.5485740303993225
23,5.591595649719238,0.18751737475395203,5.25363826751709,0.30088070034980774,3.001519388590168e-08,0.0,0.56140600916851,0.01776958629488945,0.01776958629488945,0.01776958629488945,0.01776958629488945,0.01776958629488945,0.04755913466215134,0.5480114817619324
24,5.578866481781006,0.18301425874233246,5.245716094970703,0.30027157068252563,2.6109940876040127e-08,0.0,0.5627151397337397,0.01775214448571205,0.017752137035131454,0.017752137035131454,0.017752137035131454,0.017752137035131454,0.047513287514448166,0.5474481582641602
