plane_id,battery_id,flight_id,event_datetime,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,score_missing,sigma_base_pct,rt_profile,condition_multiplier,measurement_sigma_pct_raw,measurement_sigma_pct,measurement_var_pct2,delta_days,process_var_pct2,latent_soh_filterpy_filter_pct,latent_soh_filterpy_smooth_pct,latent_soh_filterpy_smooth_var_pct2,latent_soh_filterpy_smooth_std_pct,latent_soh_filter_pct,latent_soh_smooth_pct,latent_soh_smooth_var_pct2,latent_soh_smooth_std_pct,_filterpy_pred_var_pct2,_filterpy_pred_state_pct,latent_soh_monotone_pct,residual_pct,standardized_residual,resid_abs_mean_last_5_events,resid_std_last_5_events,resid_max_pos_last_5_events,resid_max_neg_last_5_events,resid_outlier_count_last_5_events,resid_abs_mean_last_30d,resid_std_last_30d,resid_outlier_count_last_30d,condition_multiplier_last_5_events_mean,score_switch_last_5_events_sum,score_observation_instability_last_5_events_mean
166,1,4575,2023-05-16 11:00:00,charge,100.0,0.0,0.0,0,1,15745,3148.7737939999997,19.366211495712925,18.0,21.0,3.0,7.9284852334074305,23.9,24.7,399.97120355668466,404.0,92.91400444585582,77.0,100.0,23.0,-0.16042807240393755,2.5500000000000114,0.0,0.0,0.0,0.5004249859207565,0.5974999999999999,0.1332716050633177,0.0,1.0,0.0,1.3070856144807932,0.5,0.75,0.0,0.45,light,1.928860024161988,0.8679870108728946,0.8679870108728946,0.7534014510440625,0.0001,2.5000000000000004e-07,99.9775669673185,96.80302041036353,0.028244772198929402,0.1680618106499195,99.9775669673185,96.80302041036353,0.028244772198929402,0.1680618106499195,100.00000025,97.0,96.80302041036353,3.19697958963647,3.683211326424591,3.19697958963647,0.0,3.19697958963647,3.19697958963647,1.0,3.19697958963647,0.0,1.0,1.928860024161988,0.5,0.0
166,1,4576,2023-05-16 12:44:00,other,100.0,0.0,0.0,0,1,9638,1927.385601,21.98153143805769,0.0,25.0,25.0,39.18631458808882,54.1,70.2,362.91128864909734,401.9,68.76488898111641,29.0,100.0,71.0,-0.8754586013695791,1.7600000000000051,9611.0,9611.0,0.0,6.453239826291262,0.45083333333333336,0.6597582560023899,0.0,1.0,0.0,1.0550917202739183,0.5,0.25,0.0,0.45,light,1.908749574722048,0.8589373086249216,0.8589373086249216,0.7377733001478237,0.07222222222222222,0.00018055555555555557,99.98886030034025,96.80225388625072,0.028077814624883735,0.16756435964990807,99.98886030034025,96.80225388625072,0.028077814624883735,0.16756435964990807,0.7479483134750969,99.9775669673185,96.80225388625072,3.1977461137492753,3.722909788222575,3.1973628516928727,0.00038326205640260014,3.1977461137492753,3.19697958963647,2.0,3.1973628516928727,0.0005420143981075592,2.0,1.918804799442018,1.0,0.0
166,1,4577,2023-05-16 13:00:00,charge,97.0,3.0,3.0,1,1,18774,3754.5833190000003,24.59475870885267,0.0,25.0,25.0,19.859816767870463,27.8,28.700000000000003,384.9566954298498,403.9,70.74986683711516,29.0,100.0,71.0,-1.070711622456589,0.8500000000000014,9519.0,9611.0,0.0,0.5006408202492283,0.6950000000000001,0.13331885005960264,0.0,1.0,3.0,0.6391423244913185,1.5,0.75,0.0,0.45,light,4.129408177413164,1.8582336798359238,1.8582336798359238,3.4530324088765587,0.011111111111111112,2.7777777777777786e-05,99.69857599371196,96.8020155616659,0.02805423477607011,0.16749398429815354,99.69857599371196,96.8020155616659,0.02805423477607011,0.16749398429815354,0.3714407602051664,99.98886030034025,96.8020155616659,0.19798443833410317,0.1065444246773014,2.1975700472399495,1.4139205782497892,3.1977461137492753,0.19798443833410317,2.0,2.1975700472399495,1.7316919767664591,2.0,2.6556725920990667,2.5,1.0
166,1,4578,2023-05-16 14:35:00,other,97.0,0.0,0.0,0,1,11409,2281.582631,23.50258567797353,23.0,25.0,2.0,31.840792356911212,37.3,70.4,365.0436760452274,400.5,66.6214392146551,29.0,100.0,71.0,-0.2382662810062233,1.0900000000000176,0.0,0.0,0.0,5.486243248166033,0.3108333333333333,0.6141138878094984,0.0,1.0,0.0,0.5926532562012534,0.5,0.25,0.0,0.45,light,1.7558507898592919,0.7901328554366813,0.7901328554366813,0.6243099292405235,0.06597222222222222,0.0001649305555555556,98.7552371944079,96.80059105291963,0.027916823658222678,0.16708328359899646,98.7552371944079,96.80059105291963,0.027916823658222678,0.16708328359899646,0.3355305943377239,99.69857599371196,96.80059105291963,0.1994089470803715,0.252373946619603,1.698029772200055,1.4993331885739953,3.1977461137492753,0.19798443833410317,2.0,1.698029772200055,1.7312808400562723,2.0,2.430717141539123,3.0,0.75
166,1,4579,2023-05-16 15:00:00,charge,96.0,1.0,1.0,1,1,20922,4184.178628,25.281665232769335,24.0,26.0,2.0,17.670700697830032,27.6,28.7,388.0081588758245,404.5,74.65347481120352,29.0,100.0,71.0,-0.42291272344900105,0.3000000000000256,-16.0,16.0,0.0,0.5006909535160364,0.6900000000000001,0.13332982299483814,0.0,1.0,1.0,0.234582544689813,1.5,0.75,0.0,0.45,light,2.846748964686672,1.2810370341090025,1.2810370341090025,1.6410558827587896,0.017361111111111112,4.3402777777777786e-05,98.43177753750037,96.80020231904689,0.027884517372855716,0.1669865784213082,98.43177753750037,96.80020231904689,0.027884517372855716,0.1669865784213082,0.21828286700471042,98.7552371944079,96.80020231904689,-0.800202319046889,-0.62465197940468,1.5184642815694218,1.6724192600437677,3.1977461137492753,-0.800202319046889,2.0,1.5184642815694218,1.8698215761688814,2.0,2.513923506168633,4.5,0.8
166,1,4580,2023-05-16 19:11:00,other,96.0,0.0,0.0,0,1,11247,2249.382045,26.68969502978572,25.0,29.0,4.0,33.295874455410335,45.5,71.1,368.05402329510093,401.6,69.46439050413444,27.0,100.0,73.0,0.010462345514359164,0.8500000000000085,0.0,0.0,0.0,6.0085998148342,0.37916666666666665,0.6395544719465969,0.0,1.0,0.0,0.42709246910287607,0.5,0.25,0.0,0.45,light,1.753015445140558,0.7888569503132511,0.7888569503132511,0.6222952880575231,0.17430555555555555,0.00043576388888888896,97.85590645048113,96.79651191566917,0.027574052547639533,0.16605436624081746,97.85590645048113,96.79651191566917,0.027574052547639533,0.16605436624081746,0.19309263346098696,98.43177753750037,96.79651191566917,-0.7965119156691713,-1.0097038700779406,1.038370746775962,1.4683702700403054,3.1977461137492753,-0.800202319046889,1.0,1.3981388872527134,1.8601758082209894,2.0,2.478754590364347,4.5,0.8
166,1,4581,2023-05-16 20:00:00,charge,97.0,1.0,1.0,1,1,19540,3907.76897,26.80813715455476,24.0,29.0,5.0,19.09348004094166,27.9,29.1,386.4244472876152,403.9,72.17057318321392,27.0,100.0,73.0,0.3389477993858751,0.960000000000008,25.0,25.0,0.0,0.500748619185453,0.6975,0.1333424441338546,0.0,1.0,1.0,0.547789559877179,1.5,0.75,0.0,0.45,light,2.9120185230088995,1.3104083353540048,1.3104083353540048,1.7171700053652539,0.034027777777777775,8.506944444444446e-05,97.78822272818982,96.79590036368376,0.027520778286272057,0.1658938765785888,97.78822272818982,96.79590036368376,0.027520778286272057,0.1658938765785888,0.14745128960823287,97.85590645048113,96.79590036368376,0.2040996363162435,0.1557526999865323,0.4396414512893557,0.4893424891011171,0.2040996363162435,-0.800202319046889,0.0,1.2275618514046462,1.716424689824728,2.0,2.679408380021717,5.5,1.0
166,1,4582,2023-05-16 21:19:00,other,97.0,0.0,97.0,0,1,13917,2783.582473,23.50901774807789,23.0,24.0,1.0,26.285118919307322,40.5,71.2,367.19669468994755,401.8,66.70122871308472,29.0,100.0,71.0,0.05089961917079833,0.8000000000000185,0.0,0.0,0.0,3.9934208398393087,0.3375,0.5282014656910586,0.0,1.0,0.0,0.4101799238341689,0.5,0.25,0.0,0.45,light,1.7072113511895983,0.7682451080353193,0.7682451080353193,0.5902005460201994,0.05486111111111111,0.00013715277777777782,97.64067077463567,96.7948980903911,0.02743910856469302,0.16564754318942682,97.64067077463567,96.7948980903911,0.02743910856469302,0.16564754318942682,0.13592822866554036,97.78822272818982,96.7948980903911,0.2051019096088993,0.26697457291126664,0.4410649455443149,0.49050434562394213,0.2051019096088993,-0.800202319046889,0.0,1.099754358680178,1.6016619625631467,2.0,2.194969014777004,4.5,0.4
166,1,4583,2023-05-16 22:00:00,charge,97.0,0.0,97.0,1,1,5727,1145.193014,23.261568011175136,0.0,24.0,24.0,19.64159245678366,27.8,28.9,359.9504277981491,372.7,37.24358302776323,29.0,51.0,22.0,-0.6607263837960539,0.4200000000000088,9528.0,9528.0,0.0,0.5004716946568575,0.6950000000000001,0.13328182993553608,0.0,0.0,0.0,0.3421452767592152,1.5,0.75,0.0,0.45,light,2.1699995128357275,0.9764997807760774,0.9764997807760774,0.9535518218557272,0.02847222222222222,7.118055555555557e-05,97.57410893253349,96.79435318712542,0.027403249752941908,0.16553926951917453,97.57410893253349,96.79435318712542,0.027403249752941908,0.16553926951917453,0.1105542209951537,97.64067077463567,96.79435318712542,0.2056468128745763,0.21059586179439552,0.4423125187031559,0.4915194665663427,0.2056468128745763,-0.800202319046889,0.0,1.0004090758128887,1.5072733996112537,2.0,2.277798759372291,5.5,0.4
166,1,4584,2023-05-17 11:30:00,charge,96.0,1.0,1.0,0,0,17948,3589.3697740000002,19.024570982839315,18.0,21.0,3.0,14.088366391798528,24.6,25.4,395.1971751727212,403.9,83.54880766659238,51.0,100.0,49.0,-0.8120169378203699,1.8500000000000085,-28.0,28.0,0.0,0.5003652666451124,0.615,0.13325853162844958,0.0,1.0,1.0,1.0874033875640783,0.0,0.75,0.0,0.45,light,2.241045310419928,1.0084703896889677,1.0084703896889677,1.0170125268794183,0.5625,0.0014062500000000004,97.43257898303709,96.78328474752846,0.02676052457101781,0.16358644372629969,97.43257898303709,96.78328474752846,0.02676052457101781,0.16358644372629969,0.1004745520287504,97.57410893253349,96.78328474752846,-0.7832847475284552,-0.7767057471762119,0.43892900439946914,0.4873920902100732,0.2056468128745763,-0.7965119156691713,0.0,0.9786966429844455,1.4911771383268533,2.0,2.1566580285189425,4.0,0.4
