group,feature,selected
multiscale_history,observed_soh_pct_ewmstd_13,False
multiscale_history,latent_soh_filter_pct_lag1,False
multiscale_history,latent_soh_filter_pct_lag2,False
multiscale_history,latent_soh_filter_pct_lag3,False
multiscale_history,latent_soh_filter_pct_lag5,False
multiscale_history,latent_soh_filter_pct_lag8,False
multiscale_history,latent_soh_filter_pct_lag13,False
multiscale_history,latent_soh_filter_pct_diff1,False
multiscale_history,latent_soh_filter_pct_pct_change1,False
multiscale_history,latent_soh_filter_pct_rate_per_day1,False
multiscale_history,latent_soh_filter_pct_diff3,False
multiscale_history,latent_soh_filter_pct_pct_change3,False
multiscale_history,latent_soh_filter_pct_rate_per_day3,False
multiscale_history,latent_soh_filter_pct_diff5,False
multiscale_history,latent_soh_filter_pct_pct_change5,False
multiscale_history,latent_soh_filter_pct_rate_per_day5,False
multiscale_history,latent_soh_filter_pct_rollmean_2,False
multiscale_history,latent_soh_filter_pct_rollstd_2,False
multiscale_history,latent_soh_filter_pct_rollmin_2,False
multiscale_history,latent_soh_filter_pct_rollmax_2,False
multiscale_history,latent_soh_filter_pct_rollslope_2,False
multiscale_history,latent_soh_filter_pct_rollmean_3,False
multiscale_history,latent_soh_filter_pct_rollstd_3,False
multiscale_history,latent_soh_filter_pct_rollmin_3,False
multiscale_history,latent_soh_filter_pct_rollmax_3,False
multiscale_history,latent_soh_filter_pct_rollslope_3,False
multiscale_history,latent_soh_filter_pct_rollmean_5,False
multiscale_history,latent_soh_filter_pct_rollstd_5,False
multiscale_history,latent_soh_filter_pct_rollmin_5,False
multiscale_history,latent_soh_filter_pct_rollmax_5,False
multiscale_history,latent_soh_filter_pct_rollslope_5,False
multiscale_history,latent_soh_filter_pct_rollmean_8,False
multiscale_history,latent_soh_filter_pct_rollstd_8,False
multiscale_history,latent_soh_filter_pct_rollmin_8,False
multiscale_history,latent_soh_filter_pct_rollmax_8,False
multiscale_history,latent_soh_filter_pct_rollslope_8,False
multiscale_history,latent_soh_filter_pct_rollmean_13,False
multiscale_history,latent_soh_filter_pct_rollstd_13,False
multiscale_history,latent_soh_filter_pct_rollmin_13,False
multiscale_history,latent_soh_filter_pct_rollmax_13,False
multiscale_history,latent_soh_filter_pct_rollslope_13,False
multiscale_history,latent_soh_filter_pct_rollmean_21,False
multiscale_history,latent_soh_filter_pct_rollstd_21,False
multiscale_history,latent_soh_filter_pct_rollmin_21,False
multiscale_history,latent_soh_filter_pct_rollmax_21,False
multiscale_history,latent_soh_filter_pct_rollslope_21,False
multiscale_history,latent_soh_filter_pct_ewmmean_3,False
multiscale_history,latent_soh_filter_pct_ewmstd_3,False
multiscale_history,latent_soh_filter_pct_ewmmean_5,False
multiscale_history,latent_soh_filter_pct_ewmstd_5,False
multiscale_history,latent_soh_filter_pct_ewmmean_8,False
multiscale_history,latent_soh_filter_pct_ewmstd_8,False
multiscale_history,latent_soh_filter_pct_ewmmean_13,False
multiscale_history,latent_soh_filter_pct_ewmstd_13,False
multiscale_history,measurement_sigma_pct_lag1,False
multiscale_history,measurement_sigma_pct_lag2,False
multiscale_history,measurement_sigma_pct_lag3,False
multiscale_history,measurement_sigma_pct_lag5,False
multiscale_history,measurement_sigma_pct_lag8,False
multiscale_history,measurement_sigma_pct_lag13,False
multiscale_history,measurement_sigma_pct_diff1,False
multiscale_history,measurement_sigma_pct_pct_change1,False
multiscale_history,measurement_sigma_pct_rate_per_day1,False
