family,n_selected,mean_score,max_score
physics,14,0.13337862856814003,0.1477440341499027
operating,12,0.11826320518938133,0.3423038761663115
latent,5,0.15473223289791463,0.23560286756871107
static_categorical,3,0.03888812929917244,0.042930602881163155
history,2,0.29967650022345615,0.3016315728307438
