file_id,protocol,current_soh_pct,latent_soh_filter_pct,target_next_soh_pct,target_delta_soh_pct,duration_h,dod_frac,temp_mean_c,temp_max_c,temp_span_c,cumulative_equiv_cycles,gap_h,current_abs_mean_a,p95_abs_current_a,current_span_a,avg_cell_temp_mean_c,avg_cell_temp_max_c,avg_cell_temp_span_c,soc_span_pct,event_duration_s,delta_days,event_efc,event_ah,cumulative_efc,cumulative_ah,cumulative_flight_count,time_since_prev_event_days,capacity_test_start_cycle_id,capacity_test_end_cycle_id,capacity_test_start_cycle_index,capacity_test_end_cycle_index,interval_cycle_count,split
VAH13,Short cruise length (600 sec),95.41016630084319,95.41016630084319,94.15015724358581,-1.260009057257387,79.98797296681535,24.26981794743565,29.13393099080692,44.340172,22.129893000000003,76.05776844371702,80.40741745892194,3.058234019720461,14.8867366,17.106904,29.13393099080692,44.340172,20.43041806,2426.981794743565,287956.70268053527,3.350309060788414,24.26981794743565,73.90922694190415,76.05776844371702,231.61982017238134,150,3.350309060788414,153,204,153,204,50,train
VAH13,Short cruise length (600 sec),94.15015724358581,94.15015724358581,91.47733191728177,-2.672825326304037,81.70686085130832,24.35549785992857,29.241833658292126,44.497066,21.839639,101.26908796358853,82.12630534575554,3.017854235751937,14.930644749999999,17.183748,29.241833658292126,44.497066,20.77056454,2435.549785992857,294144.69906470994,3.421929389406481,24.35549785992857,74.17014921624988,101.26908796358853,308.3962154438555,200,3.421929389406481,204,255,204,255,50,train
VAH13,Short cruise length (600 sec),91.47733191728177,91.47733191728177,90.81880764985911,-0.6585242674226626,82.56254882630847,24.459585342547545,28.956917425300748,44.528446,22.326011,126.53935914268995,82.97365997061114,3.0082799135720153,15.010147899999998,17.304921999999998,28.956917425300748,44.528446,21.211122279999998,2445.9585342547543,297225.1757747105,3.4572358321087977,24.459585342547545,74.48712832962268,126.53935914268995,385.35213705417834,250,3.4572358321087977,255,306,255,306,50,train
VAH13,Short cruise length (600 sec),90.81880764985911,90.81880764985911,90.81880764985911,0.0,83.54190426965548,24.578925427872058,28.23282070867939,43.689064,21.949467000000002,151.90713256173606,83.96134875784996,2.99540041243097,15.08593705,17.439102,28.23282070867939,43.689064,20.70812046,2457.892542787206,300750.85537075973,3.498389531577082,24.578925427872058,74.85055641419336,151.90713256173606,462.6049836432972,300,3.498389531577082,306,357,306,357,50,train
VAH13,Short cruise length (600 sec),90.81880764985911,90.81880764985911,89.96488663511558,-0.8539210147435409,85.95570118809235,24.614231787106842,28.816166571959826,44.716721,22.529976,177.39424606610663,86.37514567629447,2.931446471055617,15.1252338,17.464518,28.816166571959826,44.716721,20.73385128,2461.423178710684,309440.52427713247,3.5989644031789365,24.614231787106842,74.95807537963545,177.39424606610663,540.2212583169865,350,3.5989644031789365,357,408,357,408,50,train
VAH13,Short cruise length (600 sec),89.96488663511558,89.96488663511558,89.23253106532158,-0.7323555697939843,87.67803852056916,24.68350511960375,28.978697222154732,44.520599,22.082821999999997,202.90812671956465,88.09748301365839,2.894276158842735,15.19129005,17.571113,28.978697222154732,44.520599,21.0892165,2468.350511960375,315640.938674049,3.6707284589024334,24.68350511960375,75.1690344590824,202.90812671956465,617.919047376188,400,3.6707284589024334,408,459,408,459,50,train
VAH13,Short cruise length (600 sec),89.23253106532158,89.23253106532158,88.35044917419702,-0.8820818911245583,89.5615928987777,24.752358974984727,29.18277854087406,45.454121,23.596854,228.48395714982158,89.98103739322228,2.8546384559059192,15.319705,17.760264,29.18277854087406,45.454121,21.51345718,2475.2358974984727,322421.73443559976,3.7492098913842615,24.752358974984727,75.37871609881283,228.48395714982158,695.8054929849507,450,3.7492098913842615,459,510,459,510,50,train
VAH13,Short cruise length (600 sec),88.35044917419702,88.35044917419702,86.50854902004768,-1.841900154149355,89.99244182352855,25.747095933760857,28.501712537037275,45.352139,24.036156000000002,254.11982061654828,90.41745463594717,2.8295104382303906,15.345635,17.751201000000002,28.501712537037275,45.352139,21.904397352941178,2574.709593376086,323972.7905647028,3.7673939431644654,25.747095933760857,78.40800291888364,254.11982061654828,773.8747580662802,500,3.7673939431644654,510,562,510,562,51,train
VAH13,Short cruise length (600 sec),86.50854902004768,86.50854902004768,86.50854902004768,0.0,91.66759456166871,24.968731431829347,28.628834906153834,45.775753,24.004778,280.73200204050954,92.09259460600559,2.8263210331286164,15.422949599999999,17.874740000000003,28.628834906153834,45.775753,22.884553580000002,2496.8731431829347,330003.34042200726,3.8371914419168993,24.968731431829347,76.03763826508298,280.73200204050954,854.9172183163992,550,3.8371914419168993,562,613,562,613,50,train
VAH13,Short cruise length (600 sec),86.50854902004768,86.50854902004768,86.40449613831213,-0.10405288173554292,93.43278141246176,25.039595833480984,28.888235595288148,46.481777,24.467617,306.5658189625394,93.85778145679441,2.7910463581302514,15.495024399999998,18.002021,28.888235595288148,46.481777,23.276788999999997,2503.9595833480985,336358.0130848624,3.9107408940331005,25.039595833480984,76.25344265039467,306.5658189625394,933.5893139127173,600,3.9107408940331005,613,664,613,664,50,train
