model,split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2,training_source,feature_space
transfer_physics_hybrid_tuned,val,56,0.17531175682650943,0.1804567816207365,0.9856928427227831,0.17531175682650943,0.1804567816207365,-4.882503679458391,eVTOL+plane_weighted_physics,pipeline_overlap
transfer_physics_hybrid_tuned,test,56,0.5225668240181811,0.8041846721330915,0.9769215390769641,0.5225668240181811,0.8041846721330915,-0.09474849817023179,eVTOL+plane_weighted_physics,pipeline_overlap
transfer_physics_pinn_tuned,val,56,0.18882051059462487,0.24164564886018977,0.9743454208232429,0.18882051059462487,0.24164564886018977,-9.548088168608306,eVTOL+plane_weighted_physics,pipeline_overlap
transfer_physics_pinn_tuned,test,56,0.6245145808668536,0.8677518913357773,0.9731288410188949,0.6245145808668536,0.8677518913357773,-0.27465869742186766,eVTOL+plane_weighted_physics,pipeline_overlap
