epoch,train_loss,valid_mae
1,7171.1186930338545,71.64312744140625
2,6917.825276692708,69.52989959716797
3,6097.697489420573,61.27425003051758
4,4769.442525227864,51.11347961425781
5,3478.554677327474,40.47324752807617
6,2322.869903564453,29.28506851196289
7,1403.939676920573,18.362506866455078
8,755.1801122029623,8.489163398742676
9,373.9276536305745,1.5918593406677246
10,194.38709449768066,4.99083137512207
11,124.27718385060628,8.646994590759277
12,103.70209534962972,10.500492095947266
13,97.87341944376628,11.2759370803833
14,95.81298955281575,11.662407875061035
15,94.86103947957356,11.849629402160645
16,90.58699576059978,11.890528678894043
17,88.29592100779216,12.030159950256348
