feature,coef,abs_coef
cumulative_ah,-21.703375884501682,21.703375884501682
cumulative_efc,18.101570806931576,18.101570806931576
cumulative_event_count,-6.724879792454963,6.724879792454963
prev_latent_filter_pct,-6.394396470704949,6.394396470704949
prev_observed_soh_pct,-4.418236857202555,4.418236857202555
rolling_latent_filter_mean_3,-2.898426953265141,2.898426953265141
observed_soh_pct,2.5260177144034044,2.5260177144034044
cumulative_flight_count,2.007499229918633,2.007499229918633
rolling_stress_index_mean_5,-1.5995226372828115,1.5995226372828115
event_duration_s,1.5795030573965703,1.5795030573965703
prev2_observed_soh_pct,1.509994833928811,1.509994833928811
n_rows,-1.3159113423327826,1.3159113423327826
rolling_soc_span_mean_5,1.1499474528576408,1.1499474528576408
_filterpy_pred_state_pct,-1.0499533904419927,1.0499533904419927
event_efc,0.9581486387622902,0.9581486387622902
_filterpy_pred_var_pct2,-0.9158522659978756,0.9158522659978756
delta_days,-0.810801034388888,0.810801034388888
latent_soh_filterpy_filter_pct,0.7809290251085335,0.7809290251085335
latent_soh_filter_pct,0.7809290251078407,0.7809290251078407
observed_soh_delta_1,-0.6674587522364583,0.6674587522364583
soc_span_pct,-0.6326712229728959,0.6326712229728959
p95_abs_current_a,-0.6012942561666921,0.6012942561666921
latent_soh_smooth_std_pct,0.5748080782617896,0.5748080782617896
soc_min_pct,0.5535699085596504,0.5535699085596504
avg_cell_temp_mean_c,0.5324991500946414,0.5324991500946414
rolling_temp_mean_5,0.49539617330870833,0.49539617330870833
cap_est_delta_raw,-0.4616271511971951,0.4616271511971951
soc_max_pct,-0.4552109904285199,0.4552109904285199
rolling_observed_soh_mean_3,0.449151495746191,0.449151495746191
soc_edge_stress_proxy,-0.4437596375944428,0.4437596375944428
soc_stress_index,0.4426041401104488,0.4426041401104488
current_rms_proxy_a,0.43700146857760974,0.43700146857760974
observed_soh_delta_2,0.4139172545638874,0.4139172545638874
current_temp_stress_index,-0.41087441525872676,0.41087441525872676
thermal_severity_proxy,-0.3886967671011421,0.3886967671011421
cap_est_span_raw,0.374998869977376,0.374998869977376
instant_stress_index,0.354553397340688,0.354553397340688
time_since_prev_event_days,0.33648009098448806,0.33648009098448806
prev2_latent_filter_pct,-0.3267711879211146,0.3267711879211146
storage_stress_proxy,0.3243142292825394,0.3243142292825394
score_observation_instability,0.31832811341924994,0.31832811341924994
degradation_stress_proxy,0.26605121561173833,0.26605121561173833
duration_stress_index,-0.26379378245271395,0.26379378245271395
rolling_temp_span_mean_5,-0.26118595401276584,0.26118595401276584
avg_cell_temp_max_c,-0.2599571685335337,0.2599571685335337
current_abs_mean_a,0.25515488582426077,0.25515488582426077
battery_1,-0.254628795390046,0.254628795390046
battery_2,0.2546287953786772,0.2546287953786772
battery_id,0.2546287949943091,0.2546287949943091
rolling_flight_frac_5,0.24252975408422967,0.24252975408422967
rolling_duration_mean_5,0.22840491520359923,0.22840491520359923
