epoch,train_loss,valid_mae
1,6521.999491373698,66.6705551147461
2,6267.0141194661455,65.00397491455078
3,5694.9542236328125,62.526283264160156
4,4901.486185709636,59.22877502441406
5,3995.6343688964844,55.19190216064453
6,3099.0523986816406,50.32467269897461
7,2275.1422831217446,44.969539642333984
8,1595.8767751057942,39.42341613769531
9,1051.7303288777669,33.106014251708984
10,660.7710164388021,26.728097915649414
11,400.5103066762288,20.600139617919922
12,233.65283266703287,14.98604679107666
13,140.6777426401774,9.836653709411621
14,84.93396631876628,5.697722434997559
15,53.7129180431366,2.1869916915893555
16,35.08285474777222,1.4990010261535645
17,27.8307048479716,1.748117446899414
18,24.79819444815318,2.7876617908477783
19,22.711623390515644,3.356279134750366
20,20.77657151222229,3.8119959831237793
21,17.954657793045044,4.175614833831787
22,16.056307792663574,4.348384857177734
23,15.151009559631348,4.179309368133545
24,13.357784946759542,3.5234220027923584
