epoch,train_loss,train_data_loss,train_step_loss,train_residual_loss,train_monotonic_loss,train_initial_loss,valid_mae,calendar_weight,cycle_weight,thermal_weight,resistance_weight,history_weight,health_gain,valid_mean_residual_abs
1,51.88907241821289,3.68892502784729,45.44811248779297,0.3144344091415405,1.674444405352915e-08,10.379257202148438,8.749874746667093,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.04858734831213951,0.5598196387290955
2,44.05302047729492,2.0449631214141846,40.65179443359375,0.3136410117149353,1.064201948786092e-09,4.797762870788574,7.381495544433354,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.04853995144367218,0.559471607208252
3,38.59226608276367,1.4732334613800049,36.59406661987305,0.31290361285209656,1.1526365278902162e-10,1.4740601778030396,6.141165250479215,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.04849257320165634,0.5591090321540833
4,35.32179260253906,1.7903945446014404,33.33168411254883,0.31217867136001587,5.9586099075692456e-12,0.1745067536830902,5.148637553019454,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.0484451949596405,0.5587034821510315
5,33.48722839355469,2.627656936645508,30.70323371887207,0.31146225333213806,0.0,0.0024302848614752293,4.4258268307603,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.048397816717624664,0.5582504272460938
6,32.26616287231445,3.6285593509674072,28.48161506652832,0.3107570707798004,0.0,0.0024302848614752293,3.934399420680528,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.04835041984915733,0.5577523708343506
7,31.26974105834961,4.5954508781433105,26.518648147583008,0.3100675344467163,0.0,0.0024302848614752293,3.626951090984792,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.04830299690365791,0.5572140216827393
8,30.353361129760742,5.458329677581787,24.73972511291504,0.30939432978630066,0.0,0.0024302848614752293,3.461203965520043,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.048255544155836105,0.5566413402557373
9,29.510976791381836,6.213634967803955,23.12840461730957,0.3087335526943207,0.0,0.058284297585487366,3.400457761097862,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.04820805415511131,0.556044340133667
10,28.848281860351562,6.874279022216797,21.712726593017578,0.30809348821640015,0.0,0.4289146661758423,3.411704775522749,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.04816053435206413,0.555435061454773
11,28.38668441772461,7.434812545776367,20.51833724975586,0.3074694275856018,0.0,1.1191997528076172,3.465719418077342,0.017981071025133133,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.04811299219727516,0.5548272728919983
12,28.05243682861328,7.872100830078125,19.545310974121094,0.3068600594997406,0.0,1.926375389099121,3.537462015910079,0.01796330325305462,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.0480654276907444,0.5542322993278503
13,27.736106872558594,8.16550350189209,18.77354621887207,0.3062629699707031,0.0,2.5757038593292236,3.6078310469659436,0.017945563420653343,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.04801785573363304,0.5536578297615051
14,27.35225486755371,8.310515403747559,18.173974990844727,0.30567577481269836,0.0,2.8597092628479004,3.6646541339917813,0.017927847802639008,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.04797028377652168,0.5531073212623596
15,26.87029266357422,8.320101737976074,17.71982192993164,0.3050970137119293,0.0,2.7112839221954346,3.7021537571180754,0.01791016012430191,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.04792272672057152,0.5525802969932556
16,26.313928604125977,8.219632148742676,17.39154624938965,0.30452561378479004,0.0,2.20194411277771,3.7197587688397666,0.017892496660351753,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.04787519946694374,0.5520743727684021
17,25.742918014526367,8.040733337402344,17.17525291442871,0.30396154522895813,0.0,1.4997997283935547,3.7207798667813377,0.017874859273433685,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.04782773181796074,0.5515854358673096
18,25.227476119995117,7.816009998321533,17.0574951171875,0.303404837846756,0.0,0.8090771436691284,3.710908763103933,0.017857246100902557,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.04778033122420311,0.5511086583137512
19,24.820619583129883,7.574973106384277,17.019302368164062,0.30285581946372986,4.6389558454361726e-14,0.2996564507484436,3.6966769089294225,0.017839660868048668,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.047733012586832047,0.5506390333175659
20,24.535539627075195,7.340945720672607,17.03202247619629,0.3023141026496887,3.633398269753396e-12,0.045651331543922424,3.684180190488275,0.01782209798693657,0.017822090536355972,0.017822090536355972,0.017822090536355972,0.017822090536355972,0.04768579453229904,0.5501720309257507
21,24.33884620666504,7.129693984985352,17.057809829711914,0.3017808496952057,1.3212937688411586e-11,0.0018069504294544458,3.6765637107754783,0.01780456304550171,0.017804555594921112,0.017804555594921112,0.017804555594921112,0.017804555594921112,0.04763868451118469,0.54970383644104
