epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,45.101575998159554,33.96192946800819,31.82746857863206,0.0016060566099790426,1.6534079350094544e-06,6.5344550233401915,0.01750279776751995,0.022971056401729584,0.02000003680586815,0.0179218091070652,0.026949746534228325
2,41.997350252591644,31.7752685546875,29.205595456636868,0.006145933231052298,2.9917715437477455e-05,5.188985008515266,0.02210238017141819,0.031277287751436234,0.03015049919486046,0.02373773790895939,0.049711164087057114
3,25.5231079688439,19.667931703420784,16.725669567401592,0.05962249364417333,0.0010146339191123843,2.1581985291052783,0.041253019124269485,0.060698576271533966,0.07287270575761795,0.04682501032948494,0.17018169164657593
4,15.261505860548754,12.074989062089186,9.079379595243013,0.43669233872340274,0.0010561718372628093,1.506055889398273,0.055787090212106705,0.07092498242855072,0.07193431258201599,0.05211875960230827,0.1678566187620163
5,10.386767827547514,8.470677632551928,5.379423673336323,1.6645939946174622,0.0007434810977429152,1.2315792977988305,0.05637833848595619,0.06676077842712402,0.06784618645906448,0.049735214561223984,0.15306441485881805
6,7.998656272888184,6.6633743322812595,3.6213263548337498,3.390887498855591,0.000640485028270632,1.9741411064408416,0.056755948811769485,0.06595730036497116,0.0693003386259079,0.05030014365911484,0.15887777507305145
7,6.529390958639292,5.501565456390381,2.733232800777142,3.559697994819054,0.0006061306921765208,2.0634333379243013,0.057046711444854736,0.06429478526115417,0.07046300172805786,0.04987603425979614,0.16276156902313232
8,5.758729347815881,4.915634723810049,2.1784408619770637,4.032017359366784,0.000523897004313767,1.7046403950904134,0.05535215511918068,0.06173022836446762,0.0696367546916008,0.048658356070518494,0.16070304811000824
9,5.3224570751190186,4.565007998393132,1.909715542426476,4.452433934578528,0.000529955723322928,2.4567620988894188,0.05548873916268349,0.06167539581656456,0.07225805521011353,0.049405429512262344,0.17029811441898346
10,4.577909708023071,3.892372699884268,1.6583970051545363,5.254905407245342,0.0005376331973820925,2.680233698898465,0.05468648299574852,0.060953907668590546,0.07175219058990479,0.049160152673721313,0.17028197646141052
11,4.5333251953125,3.8922847601083608,1.5174745000325716,5.496223559746375,0.00046128869871608913,2.6845868659612475,0.05228297412395477,0.05931149423122406,0.06984429806470871,0.04797878488898277,0.16705940663814545
12,3.799542647141677,3.245095051251925,1.2829754994465754,5.27031212586623,0.0005313673755154014,2.6093937555715376,0.05200378596782684,0.06014625355601311,0.06836149096488953,0.04857292026281357,0.16498427093029022
13,3.5575604622180643,3.0958532094955444,1.0033594369888306,5.526573162812453,0.0004409014363773167,2.1873422224125347,0.05123552307486534,0.05828090012073517,0.06621421873569489,0.04723462462425232,0.1591191589832306
14,3.2370110475100002,2.791358709335327,0.9556042551994324,5.55954254590548,0.00040585771785117686,2.0886889496605763,0.05235699191689491,0.058484725654125214,0.06672265380620956,0.047756683081388474,0.16080118715763092
15,3.2675644709513736,2.8722506119654727,0.791973237807934,5.906163325676551,0.0004463556397240609,2.5882257476634405,0.05420847609639168,0.05920994281768799,0.06778136640787125,0.04835497960448265,0.1644095629453659
