epoch,train_loss,valid_mae
1,6585.900797526042,67.12349700927734
2,6339.680114746094,64.03387451171875
3,5414.67041015625,54.879329681396484
4,4078.282948811849,44.58320617675781
5,2823.447926839193,33.443687438964844
6,1763.1835174560547,22.022369384765625
7,967.3478558858236,11.1435546875
8,464.74197006225586,2.1269729137420654
9,211.38600826263428,4.698745250701904
10,109.24197642008464,8.99252700805664
11,79.18169689178467,11.278882026672363
12,72.21261278788249,12.355658531188965
13,71.40115467707317,12.672881126403809
14,70.1501506169637,13.521410942077637
15,78.94287570317586,12.774698257446289
16,70.26358286539714,12.739409446716309
