feature,importance_mean,importance_std
latent_soh_filter_pct,0.019393155334123956,0.002240062489077617
prev2_latent_filter_pct,0.012132941436324351,0.002596945583537655
observed_soh_pct,0.010828204884829074,0.0006389722877133365
avg_cell_temp_mean_c,0.00536952292451609,0.0019439864475746507
prev_delta_days,0.004627956483098039,0.0012964714079344993
rolling_latent_filter_mean_3,0.003618045064954156,0.0023521310903927453
kalman_coulomb_gap_mean_pct,0.003469074175494846,0.0011152600826489824
rolling_duration_mean_5,0.003460580261414137,0.0021016299845877354
latent_soh_filter_std_pct,0.0030629537368838554,0.0010611474098768906
voltage_max_v,0.0029902892326835405,0.002457490462979319
duration_stress_index,0.0028459984549607854,0.00047211954936418593
rolling_observed_soh_std_3,0.0024087681023187814,0.0011839978872951603
latent_filter_delta_1,0.002048299136616283,0.0010799144922255487
instant_stress_index,0.0020421359919553517,0.00021259448460319075
current_abs_mean_a,0.001929422254479185,0.0007000249107594096
thermal_severity_proxy,0.0017506995135661008,0.0006796022737106757
current_temp_stress_index,0.001715339773257707,0.00041595589225149634
_filterpy_pred_state_pct,0.0014673325250710966,0.00045269321614738444
soc_stress_index,0.001253033270882753,0.0004773876475781446
soc_edge_stress_proxy,0.0011963085047714372,0.0017335191318263083
degradation_stress_proxy,0.0010965414925920847,0.00049817198098392
rolling_sigma_mean_5,0.0009571967664872005,0.0006240673892011599
measurement_sigma_pct,0.0008679086890799326,0.0003702996426953649
internal_resistance_proxy_ohm,0.0008477685104206322,0.0005669574462738754
throughput_stress_proxy,0.0007791020044141562,0.00029233467860114186
current_span_a,0.0006950933713676833,0.0006930404637817024
rolling_gap_days_mean_5,0.000665881210968422,0.002466770648231987
score_current,0.0006011744013657783,0.00021351438886203485
rolling_observed_delta_std_5,0.0005872773580124502,0.0014136933882384433
rolling_soc_mean_5,0.0004975025300328895,0.0006063950481402561
current_rms_proxy_a,0.00048688995019610106,0.00023204887434258984
voltage_sag_proxy_v,0.00043485543987298314,7.365025796733008e-05
rolling_stress_index_mean_5,0.0003794707363109495,0.0006788184892892967
arrhenius_temp_proxy,0.0002110613871549205,0.0004258770282564144
soc_mean_pct,0.00018463025986363845,0.00032369001409935326
avg_cell_temp_max_c,0.00016460332871064408,0.0002705942988227501
soc_span_pct,7.444209819471582e-05,0.00017402451063484533
avg_cell_temp_min_c,5.0983334051846185e-05,3.7158104918366725e-05
charge_event_flag,0.0,0.0
rolling_condition_mean_5,0.0,0.0
rolling_flight_frac_5,0.0,0.0
event_type_charge,0.0,0.0
prev_latent_filter_pct,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
