,corr_with_next_observed_delta_flight_10_pct,abs_corr
next_observed_soh_flight_10_pct,0.5043074306522977,0.5043074306522977
observed_soh_pct,-0.26371408735626944,0.26371408735626944
prev_observed_soh_pct,-0.24115759237021867,0.24115759237021867
rolling_observed_soh_mean_3,-0.23442150997518715,0.23442150997518715
prev2_observed_soh_pct,-0.23329807675117556,0.23329807675117556
rolling_latent_filter_delta_mean_5,-0.18297455078273064,0.18297455078273064
latent_filter_delta_1,-0.17850506022121412,0.17850506022121412
rolling_soc_mean_5,-0.17818027184175197,0.17818027184175197
rolling_stress_index_mean_5,0.16198034592299876,0.16198034592299876
latent_filter_delta_2,-0.15806245626780752,0.15806245626780752
rolling_observed_delta_std_5,-0.1564912184949128,0.1564912184949128
latent_soh_filter_pct,-0.146599850685891,0.146599850685891
latent_soh_filterpy_filter_pct,-0.146599850685891,0.146599850685891
rolling_soc_span_mean_5,0.14400894743544412,0.14400894743544412
prev_latent_filter_pct,-0.14226046415297042,0.14226046415297042
_filterpy_pred_state_pct,-0.1421627572905764,0.1421627572905764
prev2_latent_filter_pct,-0.13839701708147856,0.13839701708147856
rolling_latent_filter_mean_3,-0.13829815031403297,0.13829815031403297
rolling_current_abs_max_5,-0.1314124740305975,0.1314124740305975
cumulative_flight_count,-0.1242207628127431,0.1242207628127431
rolling_observed_delta_mean_5,-0.11771508707576035,0.11771508707576035
latent_soh_smooth_std_pct,-0.10743533348978496,0.10743533348978496
observed_soh_delta_1,-0.10087480560561984,0.10087480560561984
instant_stress_index,0.09544221569724474,0.09544221569724474
soc_min_pct,-0.0940997169149586,0.0940997169149586
soc_edge_stress_proxy,0.09289834331267886,0.09289834331267886
rolling_gap_days_mean_5,-0.09040433247262944,0.09040433247262944
soc_stress_index,0.09004450609480744,0.09004450609480744
rolling_duration_mean_5,0.08931475679897667,0.08931475679897667
rolling_flight_frac_5,-0.0878713725226158,0.0878713725226158
cumulative_event_count,-0.08362719400520852,0.08362719400520852
rolling_observed_soh_std_3,-0.08070931571208527,0.08070931571208527
soc_span_pct,0.08024354625817806,0.08024354625817806
rolling_sigma_mean_5,0.07800238483533767,0.07800238483533767
rolling_condition_mean_5,0.07800238483533743,0.07800238483533743
cumulative_efc,-0.07186367631400657,0.07186367631400657
cumulative_ah,-0.07155088670938871,0.07155088670938871
event_efc,0.07054296050047609,0.07054296050047609
rolling_current_abs_mean_5,0.07037758407550586,0.07037758407550586
current_abs_mean_a,0.07006638334003425,0.07006638334003425
soc_mean_pct,-0.06653374541160256,0.06653374541160256
current_temp_stress_index,0.06549884196100558,0.06549884196100558
rolling_stress_index_max_5,0.06548714465523316,0.06548714465523316
rolling_temp_span_mean_5,0.06507646094972237,0.06507646094972237
storage_stress_proxy,-0.06401955382446801,0.06401955382446801
score_gap,0.06350042561104965,0.06350042561104965
event_ah,0.06261645000246463,0.06261645000246463
score_current,0.06165113167706212,0.06165113167706212
internal_resistance_proxy_ohm,-0.060356002789803506,0.060356002789803506
time_since_prev_event_days,-0.056040625543945115,0.056040625543945115
rolling_latent_filter_delta_std_5,-0.046902468541313594,0.046902468541313594
voltage_sag_proxy_v,0.04477942176681805,0.04477942176681805
throughput_stress_proxy,0.04194612561941656,0.04194612561941656
voltage_mean_v,-0.04105479032596807,0.04105479032596807
delta_days,-0.03935729052175715,0.03935729052175715
avg_cell_temp_max_c,0.03870562907992189,0.03870562907992189
observed_soh_delta_2,-0.03713232804648424,0.03713232804648424
measurement_sigma_pct,0.03697894507385633,0.03697894507385633
condition_multiplier,0.036978945073856066,0.036978945073856066
prev_delta_days,-0.036656779348467755,0.036656779348467755
avg_cell_temp_mean_c,0.03561227512795489,0.03561227512795489
current_rms_proxy_a,0.035019225210597874,0.035019225210597874
degradation_stress_proxy,0.03330447065011446,0.03330447065011446
avg_cell_temp_span_c,0.029602317040192977,0.029602317040192977
thermal_severity_proxy,0.02947138926150641,0.02947138926150641
flag_rst_coulomb_any,0.028021387697327083,0.028021387697327083
estimation_reset_risk,0.02627982130214668,0.02627982130214668
p95_abs_current_a,0.02577365468781102,0.02577365468781102
score_soc_edge,0.025660409002268094,0.025660409002268094
rolling_temp_mean_5,0.025165354281786144,0.025165354281786144
score_switch,0.02437970872614511,0.02437970872614511
flag_new_est_batt_cap_any,0.01837781704177706,0.01837781704177706
observed_soh_slope_pct_per_day_1,0.016917968105953567,0.016917968105953567
flight_event_flag,-0.015407475185539102,0.015407475185539102
coulomb_gap_abs_pct,0.015302169366086613,0.015302169366086613
arrhenius_temp_proxy,0.01492487257079879,0.01492487257079879
battery_id,0.012700970073635597,0.012700970073635597
observed_soh_iqr_pct,0.011314623606364533,0.011314623606364533
avg_cell_temp_min_c,-0.011271432252867197,0.011271432252867197
duration_stress_index,0.010458798874236562,0.010458798874236562
soc_max_pct,-0.01031860166120502,0.01031860166120502
kalman_coulomb_gap_span_pct,0.009894890837852182,0.009894890837852182
score_didt,-0.00948982881823684,0.00948982881823684
cap_est_delta_raw,0.009257910436564345,0.009257910436564345
n_rows,-0.009081409461936675,0.009081409461936675
score_observation_instability,0.008694605309634843,0.008694605309634843
cap_est_span_raw,0.008189713785950391,0.008189713785950391
voltage_max_v,-0.008028254914180648,0.008028254914180648
p95_abs_dtemp_c_per_min,0.006058316515841639,0.006058316515841639
current_span_a,-0.0058120617132976435,0.0058120617132976435
_filterpy_pred_var_pct2,-0.004959660282498294,0.004959660282498294
charge_event_flag,-0.004336955113083135,0.004336955113083135
score_dtemp,0.0030984376937359674,0.0030984376937359674
score_event_type,0.0021365275730314067,0.0021365275730314067
event_duration_s,-0.0019518461907358324,0.0019518461907358324
observed_soh_span_pct,0.0007779889357382548,0.0007779889357382548
kalman_coulomb_gap_mean_pct,0.0006146978322212406,0.0006146978322212406
p95_abs_dcurrent_a_per_s,0.0005489824542139576,0.0005489824542139576
