epoch,train_loss,valid_mae
1,6868.38134765625,70.1083755493164
2,6627.958516438802,67.32100677490234
3,6095.3615315755205,62.80575180053711
4,5337.000651041667,55.73576354980469
5,4017.1055603027344,44.8279914855957
6,2591.1136271158853,32.12984848022461
7,1495.8713480631511,19.955808639526367
8,764.8702011108398,9.215121269226074
9,360.43875885009766,1.6916327476501465
10,180.86781628926596,4.9466166496276855
11,120.36656920115153,8.246382713317871
12,102.48214499155681,9.889209747314453
13,100.34346199035645,10.619215965270996
14,99.4354060490926,10.759618759155273
15,97.87887191772461,9.431268692016602
16,90.74181763331096,8.045123100280762
17,84.34207026163737,7.229224681854248
