epoch,train_loss,valid_mae
1,6989.5690511067705,71.6249771118164
2,6767.850524902344,68.91096496582031
3,5942.2372639973955,61.1124267578125
4,4732.051055908203,52.33808898925781
5,3565.677042643229,42.80249786376953
6,2514.673828125,32.72389602661133
7,1615.511947631836,22.620647430419922
8,951.3247807820638,13.216259002685547
9,515.1624857584635,5.165757656097412
10,273.5949281056722,1.8564386367797852
11,158.11364269256592,5.459418773651123
12,116.91883087158203,8.038915634155273
13,103.6781489054362,9.679356575012207
14,100.60046259562175,10.393552780151367
15,99.43025207519531,10.780037879943848
16,99.13115056355794,10.942704200744629
17,99.37815411885579,10.916485786437988
18,99.4594217936198,11.00800895690918
