event_datetime,plane_id,battery_id,flight_id,event_type,observed_soh_pct,observed_soh_iqr_pct,observed_soh_span_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,n_rows,event_duration_s,avg_cell_temp_mean_c,avg_cell_temp_min_c,avg_cell_temp_max_c,avg_cell_temp_span_c,current_abs_mean_a,p95_abs_current_a,current_span_a,voltage_mean_v,voltage_max_v,soc_mean_pct,soc_min_pct,soc_max_pct,soc_span_pct,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,cap_est_delta_raw,cap_est_span_raw,p95_abs_dtemp_c_per_min,p95_abs_dcurrent_a_per_s,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,score_missing,sigma_base_pct,rt_profile,condition_multiplier,measurement_sigma_pct_raw,measurement_sigma_pct,measurement_var_pct2,delta_days,process_var_pct2,latent_soh_filterpy_filter_pct,latent_soh_filterpy_smooth_pct,latent_soh_filterpy_smooth_var_pct2,latent_soh_filterpy_smooth_std_pct,latent_soh_filter_pct,latent_soh_smooth_pct,latent_soh_smooth_var_pct2,latent_soh_smooth_std_pct,_filterpy_pred_var_pct2,_filterpy_pred_state_pct,latent_soh_pykalman_smooth_pct,latent_soh_pykalman_smooth_var_pct2,latent_soh_backend_delta_pct,latent_soh_backend_abs_delta_pct,latent_soh_monotone_pct,residual_pct,standardized_residual,resid_abs_mean_last_5_events,resid_std_last_5_events,resid_max_pos_last_5_events,resid_max_neg_last_5_events,resid_outlier_count_last_5_events,resid_abs_mean_last_30d,resid_std_last_30d,resid_outlier_count_last_30d,condition_multiplier_last_5_events_mean,score_switch_last_5_events_sum,score_observation_instability_last_5_events_mean,flight_cycle_increment,cumulative_cycles,event_ah,cumulative_ah,efc_increment,cumulative_efc,next_event_datetime,next_soh,next_cumulative_ah,delta_ah,next_cumulative_efc,delta_efc,delta_soh,delta_soh_per_day,delta_soh_per_ah,delta_soh_per_efc,next_flight_datetime,next_flight_soh,next_cycle_count,delta_cycles,delta_days_flight,delta_soh_flight,delta_soh_per_cycle,has_next_flight,is_charge_event,is_flight_event,is_hot_event,charge_duration_s,flight_duration_s,hot_duration_s,idle_time_7d_hours,charge_to_flight_ratio_7d,thermal_soak_40c_min_7d,events_count_7d,flight_duration_7d_hours,charge_duration_7d_hours,time_since_last_event_hours,gap_gt_max,has_next
2023-05-16 11:00:00,166,1,4575,charge,100.0,0.0,0.0,0,1,15745,3148.7737939999997,19.366211495712925,18.0,21.0,3.0,7.9284852334074305,23.9,24.7,399.97120355668466,404.0,92.91400444585582,77.0,100.0,23.0,-0.1604280724039375,2.5500000000000114,0.0,0.0,0.0,0.5004249859207565,0.5974999999999999,0.1332716050633177,0.0,1.0,0.0,1.3070856144807932,0.5,0.75,0.0,0.55,balanced,2.344184326369565,1.2893013795032608,1.2893013795032608,1.6622980471890114,0.07222222222222222,2.5000000000000004e-07,99.95094647450335,96.54535914917038,0.0481362103138669,0.2193996588736339,99.95094647450335,96.54535914917038,0.0481362103138669,0.2193996588736339,100.00000025,97.0,96.54535914917092,0.0481362103138085,-5.542233338928781e-13,5.542233338928781e-13,96.54535914917038,3.4546408508296196,2.6794672725477233,3.4546408508296196,0.0,3.4546408508296196,3.4546408508296196,1.0,3.4546408508296196,0.0,1.0,2.344184326369565,0.5,0.0,0,0,6.93472403585258,6.93472403585258,0.23,0.23,2023-05-16 12:44:00,96.54498309197342,27.91448472844664,20.979760692594063,0.94,0.71,-0.00037605719695932294,-0.005206945804052164,-1.7924761033717253e-05,-0.0005296580238863703,,,,,,,,False,True,False,False,3148.7737939999997,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True
2023-05-16 12:44:00,166,1,4576,other,100.0,0.0,0.0,0,1,9638,1927.385601,21.98153143805769,0.0,25.0,25.0,39.18631458808882,54.1,70.2,362.91128864909734,401.9,68.76488898111641,29.0,100.0,71.0,-0.8754586013695791,1.7600000000000051,9611.0,9611.0,0.0,6.453239826291262,0.4508333333333333,0.6597582560023899,0.0,1.0,0.0,1.0550917202739185,0.5,0.25,0.0,0.55,balanced,2.3058474851497976,1.2682161168323889,1.2682161168323889,1.6083721189934237,0.011111111111111112,0.0001805555555555,99.97567683580652,96.54498309197342,0.0479662661544855,0.2190120228537363,99.97567683580652,96.54498309197342,0.0479662661544855,0.2190120228537363,1.6352980761976397,99.95094647450335,96.54498309197398,0.0479662661544275,-5.542233338928781e-13,5.542233338928781e-13,96.54498309197342,3.455016908026579,2.724312411875147,3.4548288794280992,0.0001880285984796,3.455016908026579,3.4546408508296196,2.0,3.4548288794280992,0.0002659125940839,2.0,2.325015905759681,1.0,0.0,0,0,20.979760692594063,27.91448472844664,0.71,0.94,2023-05-16 13:00:00,96.544865566319,48.62707827151412,20.71259354306748,1.65,0.71,-0.00011752565441724983,-0.002820615706013996,-5.674115806544455e-06,-0.0001655290907285209,,,,,,,,False,False,False,False,0.0,0.0,0.0,167.12534061277776,3148.7737939999997,0.0,1.0,0.0,0.8746593872222221,1.7333333333333334,False,True
2023-05-16 13:00:00,166,1,4577,charge,97.0,3.0,3.0,1,1,18774,3754.583319,24.59475870885267,0.0,25.0,25.0,19.859816767870463,27.8,28.700000000000003,384.9566954298498,403.9,70.74986683711516,29.0,100.0,71.0,-1.070711622456589,0.8500000000000014,9519.0,9611.0,0.0,0.5006408202492283,0.6950000000000001,0.1333188500596026,0.0,1.0,3.0,0.6391423244913185,1.5,0.75,0.0,0.55,balanced,5.192570237371237,2.855913630554181,2.855913630554181,8.156242665185161,0.06597222222222222,2.7777777777777782e-05,99.70658913683496,96.544865566319,0.0479417738527649,0.2189561002867127,99.70658913683496,96.544865566319,0.0479417738527649,0.2189561002867127,0.8108894479621415,99.97567683580652,96.54486556631954,0.0479417738527072,-5.542233338928781e-13,5.542233338928781e-13,96.544865566319,0.4551344336810103,0.1593656155465363,2.4549307308457364,1.41406953105097,3.455016908026579,0.4551344336810103,2.0,2.4549307308457364,1.731874405945785,2.0,3.2808673496301997,2.5,1.0,0,0,20.71259354306748,48.62707827151412,0.71,1.65,2023-05-16 14:35:00,96.5441585542954,68.80691127118251,20.179832999668392,2.36,0.71,-0.0007070120236107869,-0.010716813831574032,-3.5035573566064936e-05,-0.0009957915825504042,,,,,,,,False,True,False,False,3754.583319,0.0,0.0,166.58995572361113,3148.7737939999997,0.0,2.0,0.0,0.8746593872222221,0.26666666666666666,False,True
2023-05-16 14:35:00,166,1,4578,other,97.0,0.0,0.0,0,1,11409,2281.582631,23.50258567797353,23.0,25.0,2.0,31.840792356911212,37.3,70.4,365.0436760452274,400.5,66.6214392146551,29.0,100.0,71.0,-0.2382662810062233,1.0900000000000176,0.0,0.0,0.0,5.486243248166033,0.3108333333333333,0.6141138878094984,0.0,1.0,0.0,0.5926532562012534,0.5,0.25,0.0,0.55,balanced,2.078858198650842,1.1433720092579631,1.1433720092579631,1.3072995515545918,0.017361111111111112,0.0001649305555555,98.7302092265022,96.5441585542954,0.0477982499101703,0.2186281086918385,98.7302092265022,96.5441585542954,0.0477982499101703,0.2186281086918385,0.7377263971163434,99.70658913683496,96.54415855429596,0.0477982499101131,-5.542233338928781e-13,5.542233338928781e-13,96.5441585542954,0.4558414457046069,0.3986816556760414,1.955158409560454,1.4996704965937255,3.455016908026579,0.4551344336810103,2.0,1.955158409560454,1.7316703298082543,2.0,2.9803650618853603,3.0,0.75,0,0,20.179832999668385,68.80691127118251,0.71,2.36,2023-05-16 15:00:00,96.54395736441283,89.34506910497282,20.538157833790308,3.07,0.71,-0.00020118988256001558,-0.004828557181440374,-9.79590692545019e-06,-0.0002833660317746698,,,,,,,,False,False,False,False,0.0,0.0,0.0,165.54701591277777,6903.357113,0.0,3.0,0.0,1.9175991980555556,1.5833333333333333,False,True
2023-05-16 15:00:00,166,1,4579,charge,96.0,1.0,1.0,1,1,20922,4184.178628,25.281665232769335,24.0,26.0,2.0,17.670700697830032,27.6,28.7,388.0081588758245,404.5,74.65347481120352,29.0,100.0,71.0,-0.422912723449001,0.3000000000000256,-16.0,16.0,0.0,0.5006909535160364,0.6900000000000001,0.1333298229948381,0.0,1.0,1.0,0.234582544689813,1.5,0.75,0.0,0.55,balanced,3.4687066926048793,1.907788680932684,1.907788680932684,3.6396576510948697,0.17430555555555555,4.3402777777777786e-05,98.4170043743929,96.54395736441283,0.0477636416226839,0.2185489455995704,98.4170043743929,96.54395736441283,0.0477636416226839,0.2185489455995704,0.4716410315252097,98.7302092265022,96.5439573644134,0.0477636416226268,-5.542233338928781e-13,5.542233338928781e-13,96.54395736441283,-0.5439573644128473,-0.2851245370356827,1.6729182005309329,1.6728723869316766,3.455016908026579,-0.5439573644128473,2.0,1.6729182005309329,1.87032818743078,2.0,3.0780333880292643,4.5,0.8,0,0,20.538157833790308,89.34506910497282,0.71,3.07,2023-05-16 19:11:00,96.5420025441658,110.14927526402118,20.804206159048363,3.8,0.73,-0.001954820247036082,-0.011214905002916168,-9.396274157694179e-05,-0.002677835954843948,,,,,,,,False,True,False,False,4184.178628,0.0,0.0,164.91324295972223,6903.357113,0.0,4.0,0.0,1.9175991980555556,0.4166666666666667,False,True
2023-05-16 19:11:00,166,1,4580,other,96.0,0.0,0.0,0,1,11247,2249.382045,26.68969502978572,25.0,29.0,4.0,33.295874455410335,45.5,71.1,368.05402329510093,401.6,69.46439050413444,27.0,100.0,73.0,0.0104623455143591,0.8500000000000085,0.0,0.0,0.0,6.0085998148342,0.3791666666666666,0.6395544719465969,0.0,1.0,0.0,0.427092469102876,0.5,0.25,0.0,0.55,balanced,2.0735328628428342,1.140443074563559,1.140443074563559,1.3006104063199833,0.034027777777777775,0.0004357638888888,97.82917207688804,96.5420025441658,0.0474271727712435,0.2177778059657218,97.82917207688804,96.5420025441658,0.0474271727712435,0.2177778059657218,0.4179709568968147,98.4170043743929,96.54200254416637,0.0474271727711874,-5.542233338928781e-13,5.542233338928781e-13,96.5420025441658,-0.5420025441658112,-0.4752561142722818,1.090390539198171,1.469014216815421,3.455016908026579,-0.5439573644128473,1.0,1.4844322578034124,1.861019900520136,2.0,3.023903095323918,4.5,0.8,0,0,20.804206159048377,110.14927526402118,0.73,3.8,2023-05-16 20:00:00,96.54165637680585,130.8750832732729,20.725808009251722,4.529999999999999,0.7299999999999995,-0.0003461673599503001,-0.008308016638807203,-1.670223712367574e-05,-0.0004742018629456169,,,,,,,,False,False,False,False,0.0,0.0,0.0,163.75097111861112,11087.535741,0.0,5.0,0.0,3.0798710391666666,4.183333333333334,False,True
2023-05-16 20:00:00,166,1,4581,charge,97.0,1.0,1.0,1,1,19540,3907.76897,26.80813715455476,24.0,29.0,5.0,19.09348004094166,27.9,29.1,386.4244472876152,403.9,72.17057318321392,27.0,100.0,73.0,0.3389477993858751,0.960000000000008,25.0,25.0,0.0,0.500748619185453,0.6975,0.1333424441338546,0.0,1.0,1.0,0.547789559877179,1.5,0.75,0.0,0.55,balanced,3.5664238456166957,1.9615331150891828,1.9615331150891828,3.847612161591474,0.05486111111111111,8.506944444444446e-05,97.76616745284292,96.54165637680585,0.0473675937106333,0.217640974337631,97.76616745284292,96.54165637680585,0.0473675937106333,0.217640974337631,0.3164025785916335,97.82917207688804,96.5416563768064,0.0473675937105774,-5.542233338928781e-13,5.542233338928781e-13,96.54165637680585,0.4583436231941675,0.2336660134199817,0.4910558822316886,0.4896152557969669,0.4583436231941675,-0.5439573644128473,0.0,1.337848167144949,1.7173139064665492,2.0,3.276018367417298,5.5,1.0,0,0,20.725808009251708,130.8750832732729,0.73,4.529999999999999,2023-05-16 21:19:00,96.54108193203442,151.19919336341306,20.324110090140152,5.24,0.7100000000000009,-0.0005744447714306489,-0.010470892036204233,-2.8264202903984937e-05,-0.0008090771428600679,,,,,,,,False,True,False,False,3907.76897,0.0,0.0,163.1261427727778,11087.535741,0.0,6.0,0.0,3.0798710391666666,0.8166666666666667,False,True
2023-05-16 21:19:00,166,1,4582,other,97.0,0.0,97.0,0,1,13917,2783.582473,23.50901774807789,23.0,24.0,1.0,26.28511891930732,40.5,71.2,367.1966946899475,401.8,66.70122871308472,29.0,100.0,71.0,0.0508996191707983,0.8000000000000185,0.0,0.0,0.0,3.9934208398393087,0.3375,0.5282014656910586,0.0,1.0,0.0,0.4101799238341689,0.5,0.25,0.0,0.55,balanced,2.003084563426674,1.101696509884671,1.101696509884671,1.213735199892065,0.02847222222222222,0.0001371527777777,97.61738413146996,96.54108193203442,0.0472748293522699,0.2174277566279658,97.61738413146996,96.54108193203442,0.0472748293522699,0.2174277566279658,0.2924978876234325,97.76616745284292,96.54108193203496,0.0472748293522143,-5.542233338928781e-13,5.542233338928781e-13,96.54108193203442,0.458918067965584,0.4165557972164448,0.4918126090886033,0.4902330505221383,0.458918067965584,-0.5439573644128473,0.0,1.2279819047475282,1.6025849922176276,2.0,2.638121232628385,4.5,0.4,0,0,20.324110090140152,151.19919336341306,0.71,5.24,2023-05-16 22:00:00,96.5407568888206,157.44736404823075,6.248170684817694,5.46,0.21999999999999975,-0.0003250432138202086,-0.007801037131685007,-5.202214059389009e-05,-0.0014774691537282228,,,,,,,,False,False,False,False,0.0,0.0,0.0,162.0406513922222,14995.304711,0.0,7.0,0.0,4.165362419722222,1.3166666666666667,False,True
2023-05-16 22:00:00,166,1,4583,charge,97.0,0.0,97.0,1,1,5727,1145.193014,23.261568011175136,0.0,24.0,24.0,19.64159245678366,27.8,28.9,359.9504277981491,372.7,37.24358302776323,29.0,51.0,22.0,-0.6607263837960539,0.4200000000000088,9528.0,9528.0,0.0,0.5004716946568575,0.6950000000000001,0.133281829935536,0.0,0.0,0.0,0.3421452767592152,1.5,0.75,0.0,0.55,balanced,2.553456315001979,1.4044009732510885,1.4044009732510885,1.9723420936686045,0.5625,7.118055555555557e-05,97.55146366198852,96.5407568888206,0.047232185604342,0.2173296703267688,97.55146366198852,96.5407568888206,0.047232185604342,0.2173296703267688,0.235768420939661,97.61738413146996,96.54075688882116,0.0472321856042865,-5.542233338928781e-13,5.542233338928781e-13,96.5407568888206,0.4592431111794042,0.327002843152614,0.4924929421835628,0.4907875325060502,0.4592431111794042,-0.5439573644128473,0.0,1.142566483239959,1.5082164157825542,2.0,2.7330408558986123,5.5,0.4,0,0,6.2481706848177065,157.44736404823075,0.22,5.46,2023-05-17 11:30:00,96.53400787000362,171.49412974038606,14.046765692155304,5.949999999999999,0.4899999999999993,-0.006749018816975649,-0.011998255674623377,-0.0004804678147899038,-0.013773507789746241,,,,,,,,False,True,False,False,1145.193014,0.0,0.0,161.26743403861113,14995.304711,0.0,8.0,0.0,4.165362419722222,0.6833333333333333,False,True
2023-05-17 11:30:00,166,1,4584,charge,96.0,1.0,1.0,0,0,17948,3589.369774,19.024570982839315,18.0,21.0,3.0,14.088366391798528,24.6,25.4,395.1971751727212,403.9,83.54880766659238,51.0,100.0,49.0,-0.8120169378203699,1.8500000000000083,-28.0,28.0,0.0,0.5003652666451124,0.615,0.1332585316284495,0.0,1.0,1.0,1.0874033875640785,0.0,0.75,0.0,0.55,balanced,2.787024428920603,1.5328634359063318,1.5328634359063318,2.349670313138565,0.0763888888888889,0.00140625,97.42306642251674,96.53400787000362,0.0464494395010836,0.2155213202935701,97.42306642251674,96.53400787000362,0.0464494395010836,0.2155213202935701,0.2120007731910501,97.55146366198852,96.53400787000416,0.0464494395010307,-5.400124791776761e-13,5.400124791776761e-13,96.53400787000362,-0.5340078700036202,-0.3483727626968144,0.4905030433017174,0.4883565690840001,0.4592431111794042,-0.5420025441658112,0.0,1.081710621916325,1.4926368233509866,2.0,2.596704403161757,4.0,0.4,0,0,14.046765692155299,171.49412974038606,0.49,5.949999999999999,2023-05-17 13:20:00,96.53313473870264,191.50643334464596,20.0123036042599,6.66,0.7100000000000009,-0.0008731313009775477,-0.011430082485524259,-4.362972490541716e-05,-0.0012297623957430233,,,,,,,,False,True,False,False,3589.369774,0.0,0.0,160.94932486805558,16140.497725,0.0,9.0,0.0,4.4834715902777775,13.5,False,True
