epoch,train_loss,valid_mae
1,6454.537414550781,65.96248626708984
2,6227.9583740234375,63.42135238647461
3,5382.982849121094,55.40894317626953
4,4206.84614054362,46.03414535522461
5,3075.0260213216147,36.15898895263672
6,2066.1302439371743,25.87194061279297
7,1256.4304428100586,16.135597229003906
8,680.716926574707,9.024801254272461
9,339.49062093098956,6.26624059677124
10,165.1677214304606,6.812201023101807
11,97.61574983596802,9.717105865478516
12,76.41735728581746,11.718871116638184
13,70.08538166681926,12.714615821838379
14,68.22437985738118,13.191655158996582
15,68.6970632870992,13.21069049835205
16,68.93622366587321,13.248079299926758
17,68.75758091608684,13.143495559692383
