epoch,train_loss,valid_mae
1,6461.956888834636,66.42233276367188
2,6341.754496256511,66.08489227294922
3,6047.042297363281,65.51427459716797
4,5637.24169921875,64.60603332519531
5,4962.857320149739,56.719390869140625
6,3848.2894999186196,44.281124114990234
7,2948.2811584472656,36.154685974121094
8,2129.809112548828,27.839252471923828
9,1453.546854654948,19.93357276916504
10,922.524543762207,12.853231430053711
11,552.5313504536947,8.567387580871582
12,319.0035648345947,6.541055679321289
13,184.40506426493326,6.106892108917236
14,116.3182102839152,7.95443868637085
15,86.58443848292033,9.992096900939941
16,74.60565376281738,11.377816200256348
17,70.64105574289958,12.06440544128418
18,69.59898646672566,12.57758903503418
19,69.24969991048177,12.816492080688477
20,68.64269479115804,12.792357444763184
21,67.21024545033772,11.613300323486328
