epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,133.04818138709436,102.49732443002554,87.28807801466722,0.0015309967655831804,3.3798389722505817e-06,5.54781230579723,0.02132144756615162,0.021867217496037483,0.02412402257323265,0.023808730766177177,0.02496022917330265
2,121.46786146897536,93.87196056659405,78.8451678936298,0.004620901971625594,6.196695903781801e-05,5.428799993341619,0.025876851752400398,0.035795051604509354,0.03520907461643219,0.03282727301120758,0.03648720309138298
3,90.46773352989784,71.39098915686974,54.50236731309157,0.04577069357037544,0.004593617748469114,5.50228017171224,0.04525776579976082,0.14825691282749176,0.1217266172170639,0.09445728361606598,0.12279116362333298
4,67.9711066025954,55.53047972459059,35.53386468153734,0.1887431053014902,0.001074148458428681,5.262165046460701,0.04000683128833771,0.1047489121556282,0.08780684322118759,0.07692933082580566,0.09902117401361465
5,57.15798231271597,46.47998707111065,30.473196029663086,0.6187962201925424,0.0020662792958319187,5.307546164772727,0.04891258478164673,0.13951857388019562,0.1120411679148674,0.10230554640293121,0.13816498219966888
6,46.41862773895264,38.917359168712906,21.3560360119893,1.3327725392121534,0.002019974635913968,5.347005115855824,0.046807292848825455,0.12943291664123535,0.10107619315385818,0.09748568385839462,0.12935687601566315
7,51.58600323016827,43.8213010934683,22.070281909062313,2.0052272906670203,0.0025578083004802465,5.433954920913234,0.047481466084718704,0.13343675434589386,0.10031049698591232,0.10077609121799469,0.1342153400182724
8,41.70207273043119,35.45582169752855,17.640103835325974,3.610749941605788,0.002703015925362706,5.441684884736032,0.048353999853134155,0.12954969704151154,0.093204066157341,0.09634890407323837,0.12903305888175964
9,40.08013607905461,33.98564074589656,17.193926591139572,3.8310722571152906,0.0032705566845834255,5.492047026663116,0.04641329497098923,0.1363995522260666,0.09508625417947769,0.10146506130695343,0.1356784850358963
10,38.943062415489784,33.33293166527381,15.799457733447735,4.016050962301401,0.003333556465804577,5.493770483768348,0.04265868663787842,0.12644624710083008,0.08716777712106705,0.09658638387918472,0.12570999562740326
11,36.43933288867657,31.095962817852314,14.965096400334286,5.2792938489180345,0.003529909998178482,5.529620962431936,0.042522139847278595,0.1312466859817505,0.08803324401378632,0.10110471397638321,0.13143877685070038
12,38.590207466712364,33.10928858243502,15.31434389261099,6.044932933954092,0.002841880079358816,5.571240789240057,0.0422457717359066,0.1157524362206459,0.07836977392435074,0.09317436814308167,0.11848568916320801
13,37.82171997657189,32.80485901465783,13.930295247298021,7.0629116755265455,0.003125978633761406,5.6336083614464965,0.04186324030160904,0.12405010312795639,0.08151356875896454,0.09951753914356232,0.1263834834098816
14,32.755659947028526,28.224971991318924,12.484012071902935,8.064202932211069,0.0025625964626669884,5.6340741706616955,0.03860662505030632,0.11244167387485504,0.07434260100126266,0.09167547523975372,0.11471386253833771
