epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,11.65121892782358,9.44188404083252,6.312303139613225,0.0014410292317804236,1.070219809662376e-06,1.4596001213596992,0.016232095658779144,0.017944155260920525,0.020855026319622993,0.01856106147170067,0.019407320767641068
2,10.167308825712938,8.268990773421068,5.423488332675054,0.0048647912111706455,8.310395969601814e-06,1.4300392049646267,0.018466150388121605,0.022146105766296387,0.026244934648275375,0.024217689409852028,0.025186387822031975
3,8.529684910407433,7.044859702770527,4.239033790735098,0.0581696077894706,8.733352296985686e-05,1.2220768011501502,0.025319809094071388,0.034646064043045044,0.04157081991434097,0.041765518486499786,0.04459945857524872
4,6.497020964439098,5.534019690293532,2.7382838542644796,0.2301001067344959,6.397745164576918e-05,0.38066047166806255,0.02571231871843338,0.032961536198854446,0.0422869510948658,0.03583614155650139,0.0422714427113533
5,5.790525271342351,5.164124122032752,1.7619590008488069,0.4857786802145151,0.0001265893952222541,0.5691450826928818,0.028167983517050743,0.03566025197505951,0.05057244747877121,0.03647280111908913,0.04970241338014603
6,5.32558353130634,4.561476248961228,2.143776774406433,0.6892697375554305,0.00010818997543537989,0.8520294827601677,0.027025355026125908,0.03307448327541351,0.04860864207148552,0.03338519483804703,0.04629569500684738
7,4.463777101956881,3.9940832945016713,1.2892743715873132,0.9223886774136469,0.00011605099280131981,0.7160567185434872,0.027518445625901222,0.0327695868909359,0.04550205543637276,0.03511485457420349,0.04324949160218239
8,3.8423497401751003,3.4229870392726016,1.1452404444034283,0.9264278549414414,9.982928895624354e-05,0.6484778125760875,0.026175005361437798,0.03145046532154083,0.044056933373212814,0.032782766968011856,0.04082559049129486
9,3.8871368903380175,3.5352127735431376,0.946903027020968,1.0254057599948003,0.00012640618660952896,1.0801080320898782,0.02684594690799713,0.03374435752630234,0.04681020602583885,0.03496900573372841,0.04273611679673195
10,3.534876511647151,3.233612289795509,0.7973525676016624,1.1095422552182124,0.00014488690067082644,0.9838817344901107,0.026102598756551743,0.03289150446653366,0.044066254049539566,0.03458036109805107,0.039968740195035934
11,3.1514112536723795,2.8790786312176633,0.7092667542971097,1.2044620972413282,0.0001812074042391032,0.8539030327431036,0.02613825723528862,0.0345260314643383,0.04425753653049469,0.03598031401634216,0.040205638855695724
12,3.117082513295687,2.8932175177794237,0.5736178904771805,1.1549374140225923,0.00025359157007187605,1.0644718241115017,0.025738026946783066,0.036376409232616425,0.04545167461037636,0.03778280317783356,0.04135879874229431
13,3.0123377855007467,2.795284335429852,0.5559277053062732,1.1239390694178069,0.0002664452185854316,0.8474643420567595,0.024829775094985962,0.03608645498752594,0.04546563699841499,0.036624666303396225,0.04119975492358208
14,3.0566426057081957,2.839683037537795,0.5593799604819372,1.0588300732465892,0.0003898401919286698,0.8527727769614997,0.025141121819615364,0.037906207144260406,0.04439166188240051,0.03980399668216705,0.041440751403570175
