epoch,train_loss,train_data_loss,train_step_loss,train_residual_loss,train_monotonic_loss,train_initial_loss,valid_mae,calendar_weight,cycle_weight,thermal_weight,resistance_weight,history_weight,health_gain,valid_mean_residual_abs
1,14.423579216003418,2.625866174697876,11.051530838012695,0.3144617974758148,2.8047594802238507e-10,2.3558030128479004,1.436881571693992,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.04858734831213951,0.5602118968963623
2,12.479987144470215,1.6327002048492432,10.65353775024414,0.31386637687683105,6.673748775831712e-10,0.1472647488117218,1.0125904272108748,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.04853995144367218,0.5598791837692261
3,11.657610893249512,1.2267508506774902,10.274195671081543,0.31331807374954224,2.485166294974306e-09,2.1449552150443196e-05,1.0328342370092969,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.04849260672926903,0.559412956237793
4,11.076756477355957,1.0942436456680298,9.82316780090332,0.31278419494628906,8.839779574998374e-09,0.011811369098722935,1.2674276357232706,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.048445332795381546,0.5588608980178833
5,10.801460266113281,1.1983931064605713,9.40045166015625,0.31223616003990173,2.2385385989309725e-08,0.18598787486553192,1.4921973936978274,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.04839812219142914,0.5582726001739502
6,10.75197696685791,1.4359767436981201,9.045196533203125,0.3116548955440521,3.4733272258336e-08,0.4599032700061798,1.5607702538640784,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.04835100471973419,0.5576845407485962
7,10.632737159729004,1.6363569498062134,8.714415550231934,0.3110326826572418,3.4642866353351565e-08,0.5057904124259949,1.4673207598555418,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.04830396547913551,0.557112455368042
8,10.38135051727295,1.7469580173492432,8.398971557617188,0.31038179993629456,2.5670326309068514e-08,0.3209241032600403,1.2808974069808805,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.04825699329376221,0.5565553307533264
9,10.115925788879395,1.8093689680099487,8.122878074645996,0.3097172677516937,1.6175349060176814e-08,0.11527912318706512,1.0888035208692441,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.048210084438323975,0.5560046434402466
10,9.914531707763672,1.8648438453674316,7.890468597412109,0.30905282497406006,9.953210700075488e-09,0.018772637471556664,0.9541717252906473,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.04816323518753052,0.5554514527320862
11,9.74245548248291,1.916291356086731,7.67146110534668,0.3083992004394531,6.770085825280603e-09,0.0020158537663519382,0.884726956439137,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.04811643064022064,0.554893970489502
12,9.548535346984863,1.9509718418121338,7.44169282913208,0.307763934135437,5.5492144213076244e-09,0.007952051237225533,0.861094159877732,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.04806967079639435,0.554336667060852
13,9.349745750427246,1.9668081998825073,7.215590476989746,0.3071475923061371,5.543527858975494e-09,0.055092133581638336,0.8654502076213424,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.048022955656051636,0.5537868142127991
14,9.193778038024902,1.9680016040802002,7.030179500579834,0.3065459132194519,6.468932500780511e-09,0.16929543018341064,0.8698406299404591,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.0479762889444828,0.5532518029212952
15,9.089887619018555,1.9515570402145386,6.9120192527771,0.3059524893760681,8.263676853914603e-09,0.2933427691459656,0.8520251212986447,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.047929685562849045,0.5527336597442627
16,9.005952835083008,1.9110547304153442,6.860859394073486,0.3053603172302246,1.0773150371790052e-08,0.32543155550956726,0.8084745201529573,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.017892487347126007,0.04788314551115036,0.5522279143333435
17,8.922667503356934,1.8529800176620483,6.8575592041015625,0.30476468801498413,1.3592925895977714e-08,0.23898819088935852,0.7653104934678286,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.01787484996020794,0.04783668369054794,0.5517247915267944
18,8.85490608215332,1.8008043766021729,6.874359130859375,0.3041638433933258,1.6192469587394953e-08,0.1106446236371994,0.7442264908498248,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.01785723678767681,0.04779031127691269,0.5512136220932007
19,8.814071655273438,1.7814102172851562,6.873955249786377,0.3035591244697571,1.8168623938663586e-08,0.027709096670150757,0.7409521598922488,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.017839651554822922,0.047744039446115494,0.5506851673126221
