epoch,train_loss,valid_mae
1,7117.2099202473955,72.64033508300781
2,6897.739176432292,69.52462768554688
3,6105.946126302083,62.58834457397461
4,4754.613189697266,52.58869171142578
5,3472.0054321289062,42.28904342651367
6,2362.917765299479,31.694623947143555
7,1459.981424967448,21.347986221313477
8,818.4734903971354,11.888965606689453
9,415.2730305989583,4.046904563903809
10,202.23108673095703,1.9986284971237183
11,107.82654730478923,5.907148838043213
12,75.11954577763875,8.282735824584961
13,65.33854532241821,9.462326049804688
14,62.673758029937744,10.077947616577148
15,62.34003369013468,10.391807556152344
16,61.95375108718872,10.261225700378418
17,74.9288109143575,10.487215995788574
18,61.36488962173462,10.439117431640625
