epoch,train_loss,valid_mae
1,7108.021504720052,74.13211822509766
2,6895.4946695963545,72.1749496459961
3,6192.740661621094,65.97323608398438
4,5068.634928385417,57.31943130493164
5,3946.1683044433594,48.280555725097656
6,2879.7939249674478,38.61258316040039
7,1939.1964263916016,28.777088165283203
8,1194.3968607584636,19.307205200195312
9,675.641497294108,10.845256805419922
10,360.99166170756024,3.9864704608917236
11,198.31960010528564,1.609426498413086
12,124.73409271240234,4.628539085388184
13,98.14782524108887,6.751059055328369
14,89.72587776184082,7.948201656341553
15,87.42648283640544,8.566805839538574
16,86.94188944498698,8.821451187133789
17,86.40268198649089,8.884757041931152
18,86.31049728393555,8.881943702697754
19,85.30585034688313,8.795495986938477
