epoch,train_loss,valid_mae
1,7124.221659342448,74.44856262207031
2,7004.475687662761,73.0843734741211
3,6719.865336100261,70.91759490966797
4,6299.2341715494795,67.73681640625
5,5746.9812418619795,63.39201354980469
6,5097.260498046875,58.08877182006836
7,4422.345153808594,51.791038513183594
8,3720.579803466797,45.29457473754883
9,3042.3363240559897,38.23576736450195
10,2413.990727742513,31.112186431884766
11,1865.0389455159504,24.38731575012207
12,1411.2287851969402,18.246273040771484
13,1023.5135739644369,13.107880592346191
14,741.4043833414713,8.881805419921875
15,518.2076772054037,5.615550994873047
16,359.7915916442871,3.3683419227600098
17,243.14858436584473,2.0214672088623047
18,162.473845799764,1.5850414037704468
19,111.19086265563965,1.4476568698883057
20,78.35273726781209,1.4568003416061401
21,57.804083665212,1.4866763353347778
22,45.751823822657265,1.514052391052246
23,39.02124126752218,1.5203843116760254
24,35.86519320805868,1.5614267587661743
25,33.80072772502899,1.5818427801132202
26,32.47309843699137,1.6154154539108276
27,31.260095357894897,1.7216905355453491
