plane_id,battery_id,group_type,n_events,charge_fraction,flight_fraction,other_fraction,new_est_flag_fraction,rst_coulomb_flag_fraction,score_current_mean,score_current_median,score_didt_mean,score_didt_median,score_dtemp_mean,score_dtemp_median,score_soc_edge_mean,score_soc_edge_median,score_observation_instability_mean,score_observation_instability_median,score_gap_mean,score_gap_median,score_switch_mean,score_switch_median,score_event_type_mean,score_event_type_median,condition_multiplier_mean,condition_multiplier_median,measurement_sigma_pct_mean,measurement_sigma_pct_median,p95_abs_current_a_mean,p95_abs_current_a_median,p95_abs_dcurrent_a_per_s_mean,p95_abs_dcurrent_a_per_s_median,kalman_coulomb_gap_mean_pct_mean,kalman_coulomb_gap_mean_pct_median,kalman_coulomb_gap_span_pct_mean,kalman_coulomb_gap_span_pct_median
192,1,spike,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,non_spike,49,0.5918367346938775,0.40816326530612246,0.0,0.3469387755102041,0.7959183673469388,0.5670450680272108,0.61,0.32995357453774804,0.13388244645093017,0.0,0.0,0.7346938775510204,1.0,0.10204081632653061,0.0,0.6009149320953914,0.517673835125452,0.7448979591836735,0.5,0.44387755102040816,0.75,2.3233294638654853,2.205716452474908,1.277831205126017,1.2131440488611995,40.42908163265305,27.4,2.7744542669302947,0.503217953005256,-0.3994993633556857,-0.32672187715665896,0.9644897959183779,0.8300000000000125
192,2,spike,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2,non_spike,49,0.5918367346938775,0.40816326530612246,0.0,0.3469387755102041,0.7959183673469388,0.5561683673469388,0.6033333333333334,0.331107955955765,0.13360843883888163,0.0,0.0,0.8306122448979593,1.0,0.12244897959183673,0.0,0.5811501893385496,0.5082301971569095,0.7448979591836735,0.5,0.44387755102040816,0.75,2.343137728979789,2.252340666358605,1.288725750938884,1.2387873664972329,39.63408163265305,26.7,2.7965631471079786,0.5019644579520142,-0.41634058467680674,-0.3631063829787234,0.9436734693877634,0.8900000000000148
