epoch,train_loss,valid_mae
1,6800.629333496094,71.14148712158203
2,6545.598042805989,68.53950500488281
3,6025.713765462239,64.34471130371094
4,5070.303873697917,57.494388580322266
5,3525.5202433268228,41.42137908935547
6,1959.6053822835286,25.392440795898438
7,877.9329198201498,11.31530475616455
8,316.07553164164227,1.4152271747589111
9,115.87516689300537,5.823399543762207
10,71.16010856628418,8.719461441040039
11,65.54893366495769,9.562101364135742
12,64.89049530029297,9.748719215393066
13,64.97814019521077,9.790968894958496
14,64.86859369277954,9.736105918884277
15,64.34348932902019,9.165234565734863
16,56.683721701304115,7.619734764099121
