epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,62.825488750751205,54.17371940612793,24.719259408804085,0.0014360912430744905,1.357777136945515e-06,1.1907499382294804,0.017818091437220573,0.015816720202565193,0.0188442450016737,0.021198991686105728,0.01893598958849907
2,60.91579642662635,53.00523933997521,22.601455560097328,0.0023897377809939477,4.199420800432563e-06,1.1993115896201996,0.018768711015582085,0.017296483740210533,0.02007872611284256,0.024096323177218437,0.02252522110939026
3,72.32153701782227,64.24790220994215,23.067050567040077,0.008343461148727398,5.062706986791454e-05,1.202437067606363,0.02064664103090763,0.020586209371685982,0.022997872903943062,0.032980840653181076,0.034312352538108826
4,59.751719841590294,53.662628613985504,17.394404044518105,0.05253048226810419,0.001175832119770348,1.2370289262518825,0.026157010346651077,0.029971692711114883,0.03311590850353241,0.07029984146356583,0.08702880144119263
5,47.406775107750526,43.13828571026142,12.1893415084252,0.11096627207902762,0.002009432762861252,1.2487924414944935,0.027784554287791252,0.030818158760666847,0.033867403864860535,0.07646099478006363,0.09923925250768661
6,43.717781213613655,40.13189888000488,10.236518236306997,0.15505487013321656,0.0015769285382702947,1.2886884298669286,0.025272730737924576,0.029501821845769882,0.03199915960431099,0.0723048597574234,0.09493189305067062
7,50.25173568725586,47.76120611337515,7.099459428053636,0.28592607378959656,0.0008735377341508865,1.404820591570383,0.023550694808363914,0.028294244781136513,0.03078768029808998,0.06288512051105499,0.08372548967599869
8,37.99221068162184,35.71131328436044,6.493330882145808,0.4115951256110118,0.0014870549784973264,1.5247365193194653,0.02584792859852314,0.03276393562555313,0.036250095814466476,0.07274260371923447,0.10317138582468033
9,43.01460464184101,41.0071617273184,5.692222265096811,0.7582328331011993,0.0010231519117951393,1.7520972562123494,0.0247504785656929,0.030617592856287956,0.03371550515294075,0.0649508386850357,0.09376204758882523
10,34.6887611242441,33.14183862392719,4.35888330753033,1.065667225764348,0.0009452169178985059,1.5448504987969456,0.02239438146352768,0.029318368062376976,0.032168857753276825,0.059963855892419815,0.08923028409481049
11,34.33129141880916,33.06376515902006,3.5637726050156813,1.010293158201071,0.001170167699456215,1.8829730390066124,0.024996964260935783,0.029638024047017097,0.032133229076862335,0.060668304562568665,0.0980486199259758
