source,file_id,progress,health_pct,weight,life_scale
plane,plane_batt_1,0.0,96.79056452285823,3.0,1295.059
plane,plane_batt_1,0.0007721655924556333,96.80155931103552,3.0,1295.059
plane,plane_batt_1,0.0015443311849112666,96.80796142539351,3.0,1295.059
plane,plane_batt_1,0.0023164967773669,96.82680287656414,3.0,1295.059
plane,plane_batt_1,0.003088662369822533,96.8485303005568,3.0,1295.059
plane,plane_batt_1,0.0038608279622781667,96.60040196256284,3.0,1295.059
plane,plane_batt_1,0.0046329935547338,96.53627816098472,3.0,1295.059
plane,plane_batt_1,0.005405159147189433,96.52640054823384,3.0,1295.059
plane,plane_batt_1,0.006177324739645066,96.50806171414196,3.0,1295.059
plane,plane_batt_1,0.0069494903321007,96.54048831646227,3.0,1295.059
plane,plane_batt_1,0.007721655924556333,96.61005022979002,3.0,1295.059
plane,plane_batt_1,0.008493821517011967,96.69666347812976,3.0,1295.059
plane,plane_batt_1,0.0092659871094676,96.71635158466876,3.0,1295.059
plane,plane_batt_1,0.010038152701923233,96.73829173870227,3.0,1295.059
plane,plane_batt_1,0.010810318294378866,96.75133520338682,3.0,1295.059
plane,plane_batt_1,0.0115824838868345,96.7695508297,3.0,1295.059
plane,plane_batt_1,0.012354649479290132,96.78779773680397,3.0,1295.059
plane,plane_batt_1,0.013126815071745766,96.72319669101768,3.0,1295.059
plane,plane_batt_1,0.0138989806642014,96.30042156293082,3.0,1295.059
plane,plane_batt_1,0.014671146256657034,96.06757324082172,3.0,1295.059
plane,plane_batt_1,0.015443311849112667,95.89671962749378,3.0,1295.059
plane,plane_batt_1,0.016215477441568298,95.76406294212146,3.0,1295.059
plane,plane_batt_1,0.016987643034023933,95.72430208371004,3.0,1295.059
plane,plane_batt_1,0.017759808626479565,95.68023531839836,3.0,1295.059
plane,plane_batt_1,0.0185319742189352,95.65725147726268,3.0,1295.059
plane,plane_batt_1,0.019304139811390834,95.47035569647184,3.0,1295.059
plane,plane_batt_1,0.020076305403846466,95.32317373691752,3.0,1295.059
plane,plane_batt_1,0.0208484709963021,95.05577487517408,3.0,1295.059
plane,plane_batt_1,0.021620636588757732,94.78323504052686,3.0,1295.059
plane,plane_batt_1,0.022392802181213367,94.47905387971196,3.0,1295.059
plane,plane_batt_1,0.023164967773669,94.18255434462564,3.0,1295.059
plane,plane_batt_1,0.023937133366124633,93.927314520149,3.0,1295.059
plane,plane_batt_1,0.024709298958580265,93.73146460886927,3.0,1295.059
plane,plane_batt_1,0.0254814645510359,93.53575323647772,3.0,1295.059
plane,plane_batt_1,0.02625363014349153,93.32308554373336,3.0,1295.059
plane,plane_batt_1,0.027025795735947166,93.16602955373644,3.0,1295.059
plane,plane_batt_1,0.0277979613284028,93.06033523684955,3.0,1295.059
plane,plane_batt_1,0.028570126920858432,92.96869289177086,3.0,1295.059
plane,plane_batt_1,0.029342292513314067,92.7878426382729,3.0,1295.059
plane,plane_batt_1,0.0301144581057697,92.48767065313,3.0,1295.059
plane,plane_batt_1,0.030886623698225334,92.1617788497711,3.0,1295.059
plane,plane_batt_1,0.031658789290680965,91.9722485962546,3.0,1295.059
plane,plane_batt_1,0.032430954883136597,91.7081699280807,3.0,1295.059
plane,plane_batt_1,0.033203120475592235,91.006851756949,3.0,1295.059
plane,plane_batt_1,0.033975286068047866,90.83366651628462,3.0,1295.059
plane,plane_batt_1,0.0347474516605035,90.6044606482841,3.0,1295.059
plane,plane_batt_1,0.03551961725295913,90.33643916756937,3.0,1295.059
plane,plane_batt_1,0.03629178284541477,89.71326178244173,3.0,1295.059
plane,plane_batt_1,0.0370639484378704,89.29562036689435,3.0,1295.059
plane,plane_batt_1,0.03783611403032603,89.05706828283624,3.0,1295.059
plane,plane_batt_1,0.03860827962278167,88.8934265229185,3.0,1295.059
plane,plane_batt_1,0.0393804452152373,88.72109582729755,3.0,1295.059
plane,plane_batt_1,0.04015261080769293,89.04983194887393,3.0,1295.059
plane,plane_batt_1,0.04092477640014856,89.1441317695984,3.0,1295.059
plane,plane_batt_1,0.0416969419926042,89.31071156077807,3.0,1295.059
plane,plane_batt_1,0.04246910758505983,89.39887487342884,3.0,1295.059
plane,plane_batt_1,0.043241273177515464,89.47930135478478,3.0,1295.059
plane,plane_batt_1,0.044013438769971096,89.56300100390361,3.0,1295.059
plane,plane_batt_1,0.044785604362426734,89.67664223856507,3.0,1295.059
plane,plane_batt_1,0.045557769954882366,89.69685786454649,3.0,1295.059
plane,plane_batt_1,0.046329935547338,89.59911271167955,3.0,1295.059
plane,plane_batt_1,0.047102101139793635,89.46709856727435,3.0,1295.059
plane,plane_batt_1,0.04787426673224927,89.1763315326906,3.0,1295.059
plane,plane_batt_1,0.0486464323247049,89.10206329891085,3.0,1295.059
plane,plane_batt_1,0.04941859791716053,89.09891436447536,3.0,1295.059
plane,plane_batt_1,0.05019076350961617,89.09644587156278,3.0,1295.059
plane,plane_batt_1,0.0509629291020718,89.09280195080538,3.0,1295.059
plane,plane_batt_1,0.05173509469452743,89.087317343758,3.0,1295.059
plane,plane_batt_1,0.05250726028698306,89.06659453440327,3.0,1295.059
plane,plane_batt_1,0.0532794258794387,88.40147869316746,3.0,1295.059
plane,plane_batt_1,0.05405159147189433,88.27087751755008,3.0,1295.059
plane,plane_batt_1,0.054823757064349964,88.06826523756168,3.0,1295.059
plane,plane_batt_1,0.0555959226568056,86.99991251477688,3.0,1295.059
plane,plane_batt_1,0.05636808824926123,82.98214683997602,3.0,1295.059
plane,plane_batt_1,0.057140253841716865,82.86980207084204,3.0,1295.059
plane,plane_batt_1,0.057912419434172496,73.43213334983366,3.0,1295.059
plane,plane_batt_1,0.058684585026628135,73.24240072156196,3.0,1295.059
plane,plane_batt_1,0.059456750619083766,73.02002898177449,3.0,1295.059
plane,plane_batt_1,0.0602289162115394,71.88754250059256,3.0,1295.059
plane,plane_batt_1,0.06100108180399503,71.85035581743567,3.0,1295.059
plane,plane_batt_1,0.06177324739645067,71.76050653666987,3.0,1295.059
plane,plane_batt_1,0.0625454129889063,71.6826611603813,3.0,1295.059
plane,plane_batt_1,0.06331757858136193,71.59870307105514,3.0,1295.059
plane,plane_batt_1,0.06408974417381756,71.57134780998022,3.0,1295.059
plane,plane_batt_1,0.06486190976627319,71.66879789130876,3.0,1295.059
plane,plane_batt_1,0.06563407535872884,71.91243621854507,3.0,1295.059
plane,plane_batt_1,0.06640624095118447,71.52445156896567,3.0,1295.059
plane,plane_batt_1,0.0671784065436401,71.44228085410496,3.0,1295.059
plane,plane_batt_1,0.06795057213609573,71.35922898168847,3.0,1295.059
plane,plane_batt_1,0.06872273772855136,71.27065577185942,3.0,1295.059
plane,plane_batt_1,0.069494903321007,71.26367613703033,3.0,1295.059
plane,plane_batt_1,0.07026706891346263,73.62781079939757,3.0,1295.059
plane,plane_batt_1,0.07103923450591826,74.28291402887646,3.0,1295.059
plane,plane_batt_1,0.0718114000983739,75.11152979147846,3.0,1295.059
plane,plane_batt_1,0.07258356569082954,76.78699664101744,3.0,1295.059
plane,plane_batt_1,0.07335573128328517,77.40890327414758,3.0,1295.059
plane,plane_batt_1,0.0741278968757408,77.74291966441156,3.0,1295.059
plane,plane_batt_1,0.07490006246819643,77.98812469848015,3.0,1295.059
plane,plane_batt_1,0.07567222806065206,78.40286238777244,3.0,1295.059
plane,plane_batt_1,0.07644439365310769,78.5845520586606,3.0,1295.059
plane,plane_batt_1,0.07721655924556334,79.22067788396271,3.0,1295.059
plane,plane_batt_1,0.07798872483801897,79.29946660162258,3.0,1295.059
