source,file_id,progress,health_pct,weight,life_scale
evtol,VAH01,0.0,100.0,1.0,922.2503791221565
evtol,VAH01,0.0,100.0,1.0,922.2503791221565
evtol,VAH01,0.05421521219388652,85.50964214340844,1.0,922.2503791221565
evtol,VAH01,0.10843042438777303,75.13722821609356,1.0,922.2503791221565
evtol,VAH01,0.16264563658165956,68.21506318749243,1.0,922.2503791221565
evtol,VAH01,0.21686084877554607,56.53185178665382,1.0,922.2503791221565
evtol,VAH01,0.2710760609694326,52.11319274993066,1.0,922.2503791221565
evtol,VAH01,0.32529127316331913,52.11319274993066,1.0,922.2503791221565
evtol,VAH01,0.3795064853572056,47.18124499397078,1.0,922.2503791221565
evtol,VAH01,0.43372169755109213,40.29077973038973,1.0,922.2503791221565
evtol,VAH01,0.48793690974497866,39.0493021185992,1.0,922.2503791221565
evtol,VAH01,0.5421521219388652,31.136237486343106,1.0,922.2503791221565
evtol,VAH01,0.5963673341327517,31.136237486343106,1.0,922.2503791221565
evtol,VAH01,0.6505825463266383,27.860675472816894,1.0,922.2503791221565
evtol,VAH01,0.7047977585205247,24.062978050363526,1.0,922.2503791221565
evtol,VAH01,0.7590129707144112,19.153398062175526,1.0,922.2503791221565
evtol,VAH01,0.8132281829082978,12.257719373882523,1.0,922.2503791221565
evtol,VAH01,0.8674433951021843,12.257719373882523,1.0,922.2503791221565
evtol,VAH02,0.0,100.0,1.0,767.2551428001677
evtol,VAH02,0.0,100.0,1.0,767.2551428001677
evtol,VAH02,0.06516737029291252,83.77660987649087,1.0,767.2551428001677
evtol,VAH02,0.13033474058582503,73.30502705738887,1.0,767.2551428001677
evtol,VAH02,0.19550211087873753,64.94023840556878,1.0,767.2551428001677
evtol,VAH02,0.26066948117165006,51.15830552061702,1.0,767.2551428001677
evtol,VAH02,0.3258368514645626,43.23893841266205,1.0,767.2551428001677
evtol,VAH02,0.39100422175747507,43.23893841266205,1.0,767.2551428001677
