,corr_with_next_observed_delta_flight_5_pct,abs_corr
_filterpy_pred_var_pct2,-0.005248897133169268,0.005248897133169268
rolling_temp_span_mean_5,-0.004935465582904774,0.004935465582904774
rolling_soc_mean_5,-0.0049039683307416865,0.0049039683307416865
cap_est_span_raw,0.004770434993662916,0.004770434993662916
flag_rst_coulomb_any,-0.004165395016205028,0.004165395016205028
avg_cell_temp_max_c,-0.004074629964268465,0.004074629964268465
kalman_coulomb_gap_mean_pct,0.0038742067504369225,0.0038742067504369225
rolling_stress_index_max_5,0.0026544711272648183,0.0026544711272648183
rolling_observed_soh_std_3,-0.002229414667159733,0.002229414667159733
score_didt,-0.001102102294925194,0.001102102294925194
current_abs_mean_a,0.0009191640514522899,0.0009191640514522899
rolling_gap_days_mean_5,-0.00027740688990336054,0.00027740688990336054
