feature,coef,abs_coef
cumulative_flight_count,-2.922560163906839,2.922560163906839
latent_soh_smooth_std_pct,-1.88700892631343,1.88700892631343
cumulative_ah,-1.7670990960172817,1.7670990960172817
cumulative_event_count,-1.6710163661452173,1.6710163661452173
cumulative_efc,-1.6059596353624788,1.6059596353624788
observed_soh_pct,-1.184756499111328,1.184756499111328
prev_observed_soh_pct,-0.9380309062209407,0.9380309062209407
observed_soh_delta_1,-0.9198492052101163,0.9198492052101163
latent_filter_delta_1,-0.8264718508627816,0.8264718508627816
rolling_latent_filter_delta_std_5,-0.8254932717610908,0.8254932717610908
rolling_duration_mean_5,-0.8008943307998546,0.8008943307998546
latent_soh_filterpy_filter_pct,-0.773146684663526,0.773146684663526
latent_soh_filter_pct,-0.7731466846635247,0.7731466846635247
rolling_observed_soh_mean_3,-0.7719382964603015,0.7719382964603015
score_gap,0.7592518909985736,0.7592518909985736
rolling_current_abs_max_5,-0.7568004811852561,0.7568004811852561
prev2_observed_soh_pct,-0.7466799026675883,0.7466799026675883
_filterpy_pred_state_pct,-0.7408800390175629,0.7408800390175629
prev_latent_filter_pct,-0.7232635146770756,0.7232635146770756
rolling_latent_filter_mean_3,-0.7084354984573126,0.7084354984573126
score_current,0.6683472436300223,0.6683472436300223
rolling_soc_mean_5,0.6499095509732963,0.6499095509732963
prev2_latent_filter_pct,-0.6273501131149145,0.6273501131149145
rolling_current_abs_mean_5,0.6159397701478979,0.6159397701478979
avg_cell_temp_mean_c,0.558919968573115,0.558919968573115
observed_soh_iqr_pct,0.5220878288366941,0.5220878288366941
rolling_soc_span_mean_5,-0.4569434560365877,0.4569434560365877
observed_soh_delta_2,-0.4499246595465633,0.4499246595465633
rolling_observed_soh_std_3,0.44762219161147576,0.44762219161147576
rolling_stress_index_max_5,0.41404683683043075,0.41404683683043075
latent_filter_delta_2,-0.4113060171244191,0.4113060171244191
event_ah,-0.40645399003914323,0.40645399003914323
arrhenius_temp_proxy,-0.40096563062009677,0.40096563062009677
rolling_condition_mean_5,-0.38330905114655484,0.38330905114655484
rolling_sigma_mean_5,-0.38330905114654734,0.38330905114654734
_filterpy_pred_var_pct2,-0.3760780838865907,0.3760780838865907
coulomb_gap_abs_pct,-0.36670392174460237,0.36670392174460237
score_observation_instability,-0.3559050995160788,0.3559050995160788
event_type_other,-0.3257932417585225,0.3257932417585225
score_didt,-0.3126760732475697,0.3126760732475697
current_temp_stress_index,0.31119447526528976,0.31119447526528976
internal_resistance_proxy_ohm,-0.29077273749506477,0.29077273749506477
avg_cell_temp_span_c,0.2773768899441355,0.2773768899441355
duration_stress_index,-0.2761508279630013,0.2761508279630013
voltage_mean_v,0.2613714012424425,0.2613714012424425
battery_1,-0.23296314229713527,0.23296314229713527
battery_2,0.23296314229713416,0.23296314229713416
battery_id,0.23296314229712367,0.23296314229712367
flag_rst_coulomb_any,0.22022128776368913,0.22022128776368913
rolling_observed_delta_mean_5,-0.21805784645593615,0.21805784645593615
event_type_flight,0.21734881103144152,0.21734881103144152
flight_event_flag,0.2173488110314386,0.2173488110314386
event_duration_s,0.20230731570966043,0.20230731570966043
avg_cell_temp_min_c,-0.20210410413361807,0.20210410413361807
kalman_coulomb_gap_span_pct,-0.1922870072776484,0.1922870072776484
thermal_severity_proxy,-0.19159693247629433,0.19159693247629433
voltage_max_v,0.18796539988030767,0.18796539988030767
p95_abs_current_a,-0.1862937400059423,0.1862937400059423
rolling_temp_span_mean_5,-0.1778934616558288,0.1778934616558288
cap_est_delta_raw,-0.16815805504095907,0.16815805504095907
rolling_observed_delta_std_5,-0.1613692696468379,0.1613692696468379
voltage_sag_proxy_v,-0.16113072184593677,0.16113072184593677
avg_cell_temp_max_c,0.15895763467319984,0.15895763467319984
rolling_gap_days_mean_5,0.158091055177553,0.158091055177553
rolling_temp_mean_5,-0.15592909344807648,0.15592909344807648
storage_stress_proxy,-0.15284379595482572,0.15284379595482572
degradation_stress_proxy,-0.15000611030005911,0.15000611030005911
soc_edge_stress_proxy,0.1447284099639055,0.1447284099639055
throughput_stress_proxy,0.14124574560400646,0.14124574560400646
rolling_stress_index_mean_5,0.13444757822615058,0.13444757822615058
score_soc_edge,-0.13175925141696362,0.13175925141696362
flag_new_est_batt_cap_any,-0.13078082449123715,0.13078082449123715
soc_max_pct,-0.1287554030667225,0.1287554030667225
time_since_prev_event_days,0.12622217482883974,0.12622217482883974
prev_delta_days,0.12408072346214077,0.12408072346214077
event_efc,-0.12161446466293521,0.12161446466293521
soc_mean_pct,-0.11719513648521335,0.11719513648521335
cap_est_span_raw,-0.11372584118237328,0.11372584118237328
measurement_sigma_pct,-0.1108409471426231,0.1108409471426231
condition_multiplier,-0.11084094714262217,0.11084094714262217
n_rows,0.10472667778521301,0.10472667778521301
soc_span_pct,-0.09132794413276323,0.09132794413276323
current_rms_proxy_a,-0.09116202655293779,0.09116202655293779
observed_soh_slope_pct_per_day_1,-0.07930004925423895,0.07930004925423895
rolling_latent_filter_delta_mean_5,-0.07683256773198717,0.07683256773198717
instant_stress_index,0.07645859971101895,0.07645859971101895
delta_days,0.05963425088301407,0.05963425088301407
