plane_id,battery_id,flight_id,event_datetime,event_type,delta_observed_soh_pct,delta_latent_soh_pct,observed_soh_pct,latent_soh_smooth_pct,residual_pct,standardized_residual,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,condition_multiplier,measurement_sigma_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,p95_abs_current_a,p95_abs_dcurrent_a_per_s,soc_min_pct,soc_max_pct
166,1,5899,2024-05-01 17:00:00,charge,29.0,2.1178274116058873,100.0,81.87814182876872,18.12185817123128,20.226547565355812,0.6,0.22757060683931543,0.0,0.9,0.0,1.9693714890873952,0.0,0.75,1.7918884191853424,0.8959442095926712,0,0,1.421857445436965,3.3700000000000045,24.0,0.9993933682764916,81.0,99.0
166,1,6363,2024-06-10 19:00:00,charge,21.0,-0.013354585793948104,92.0,69.8763819511086,22.1236180488914,8.731233679219107,0.615,0.13328703889914062,0.0,2.0,2.0,1.8739418767975322,1.5,0.75,5.067695783139334,2.533847891569667,1,1,-1.794709383987693,3.029999999999987,24.6,0.5004954905359155,0.0,100.0
166,1,5036,2023-10-23 17:00:00,charge,12.0,-0.003954300865942173,93.0,87.63204514183714,5.367954858162861,4.2560642307714565,0.1325,0.13333583145233988,0.0,0.0,0.0,0.7510247117695064,1.5,0.75,2.5224971086443695,1.2612485543221847,1,1,-0.6051235588475189,1.2600000000000051,5.3,0.5007184057321783,29.0,61.0
166,1,12722,2025-12-02 17:35:00,charge,10.0,0.4206271850330623,50.0,46.5600048081425,3.4399951918574985,2.362701866743361,0.0925,0.35976596114574055,0.0,1.0,0.0,2.021691186216037,1.5,0.75,2.9119164294723556,1.4559582147361778,1,1,-0.10845593108018575,7.75,3.7,1.9901260420244347,44.0,100.0
166,1,5921,2024-05-05 02:50:00,charge,7.0,-0.13174928373112493,93.0,82.44815992706341,10.551840072936585,9.953637729478986,0.64,0.13333476141293465,0.0,1.0,0.0,1.605153901943726,0.5,0.75,2.1201977326713317,1.0600988663356659,0,1,0.2507695097185959,3.1100000000000136,25.6,0.5007135167612814,64.0,100.0
166,1,5004,2023-10-16 16:30:00,charge,6.0,0.008606323912218272,92.0,88.33192014049023,3.668079859509774,4.944116452894139,0.24,0.13323935100119338,0.0,0.6,0.0,1.1233412763626478,0.0,0.75,1.4838161254727684,0.7419080627363842,0,0,2.141706381813202,1.3900000000000148,9.6,0.500277654098109,91.0,96.0
166,1,5298,2023-12-08 16:44:00,other,6.0,0.13846278673734957,80.0,79.87404379971692,0.12595620028308474,0.11217990610532061,0.605,0.5586100225447929,0.0,0.9,0.0,2.2756936152279272,0.5,0.25,2.2456107275545443,1.1228053637772721,0,1,-1.3784680761396362,4.110000000000014,72.6,4.477784591383741,28.0,99.0
166,1,5363,2023-12-15 17:05:00,charge,6.0,0.21897636652842323,83.0,81.15905621591192,1.8409437840880827,0.6119457197924129,0.615,0.13331775286705028,0.0,0.6,3.0,2.318881228728512,1.5,0.75,6.016689796319112,3.008344898159556,1,1,3.8694061436425513,3.0900000000000034,24.6,0.5006358074759709,28.0,96.0
166,1,4974,2023-10-10 17:54:00,charge,5.0,-0.0011307488228737839,88.0,87.23510441200929,0.7648955879907078,0.2593598898090344,0.31,0.1332967725775225,0.0,0.8,3.0,2.0083716790823414,1.5,0.75,5.898333690331972,2.949166845165986,1,1,0.6418583954116949,3.760000000000005,12.4,0.5005399574817065,36.0,98.0
166,1,5368,2023-12-16 21:15:00,charge,5.0,0.010214173641614366,87.0,81.45271173933116,5.547288260668836,1.8957340373633573,0.5575,0.1332859422369677,0.0,1.0,3.0,1.369293273577862,1.5,0.75,5.852390843162966,2.926195421581483,1,1,0.22146636788929533,2.6500000000000057,22.3,0.500490480671041,28.0,100.0
166,1,5030,2023-10-23 21:45:00,charge,4.0,-0.005416966912520138,84.0,87.59568671643872,-3.5956867164387205,-1.214764152107297,0.615,0.13336439971136854,0.0,0.9,3.0,1.6852606888080595,1.5,0.75,5.9199750177038855,2.9599875088519427,1,1,0.3513034440402514,3.230000000000018,24.6,0.5008489389517637,28.0,99.0
166,1,5379,2023-12-19 18:30:00,other,4.0,0.5627451908176084,87.0,82.08323816811364,4.916761831886362,4.3786775070986765,0.62,0.6388118946759113,0.0,1.0,0.0,2.12756217498404,0.5,0.25,2.2457748139319906,1.1228874069659953,0,1,-1.7628108749201714,3.5500000000000114,74.4,5.992772717932703,28.0,100.0
166,1,5784,2024-04-08 16:14:00,flight,4.0,0.17408792816706864,70.0,69.32573037505018,0.6742696249498152,0.6116165797312021,0.58,0.6540997837241912,0.0,0.9,0.0,2.1952845657999567,0.5,0.0,2.2048768699048296,1.1024384349524148,0,1,-0.9764228289997824,4.740000000000009,69.6,6.325939954164846,44.0,99.0
