model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,736,736,4.3119063244062685,6.814439635297819,0.439378915133234,4.3119063244062685,6.814439635297819,-0.18032821996583315
ridge_raw_only,train,736,736,3.888803917133908,5.367746664841695,0.6521490838657917,3.888803917133908,5.367746664841695,0.2676367982988901
ridge_raw_plus_latent,train,736,736,3.4174592930691903,4.516888477122121,0.7536866983186346,3.4174592930691903,4.516888477122121,0.48141347377869903
ridge_raw_only_no_latent,train,736,736,3.888803917133908,5.367746664841695,0.6521490838657917,3.888803917133908,5.367746664841695,0.2676367982988901
elastic_with_latent,train,736,736,3.5541366263079603,4.780516986309676,0.7240954507916009,3.5541366263079603,4.780516986309676,0.4191122413367323
elastic_no_latent,train,736,736,3.6162632026798587,4.8864440625089705,0.711732957079763,3.6162632026798587,4.8864440625089705,0.39308432231777457
ridge_with_latent,train,736,736,2.5204282948207974,3.3137339260222225,0.8674302619377909,2.5204282948207974,3.3137339260222225,0.7208884803440972
ridge_no_latent,train,736,736,2.9922878334724707,3.9491423219227153,0.8117154430255477,2.9922878334724707,3.9491423219227153,0.6035868397038143
gbdt_with_latent,train,736,736,0.08927779444756917,0.12071584078869362,0.9998240709096475,0.08927779444756917,0.12071584078869362,0.9996295999639305
gbdt_no_latent,train,736,736,0.09411068756318863,0.12811275024979918,0.9998018501084792,0.09411068756318863,0.12811275024979918,0.9995828164243935
random_forest_with_latent,train,736,736,0.27829468616150804,0.4380265438955957,0.9976836190317501,0.27829468616150804,0.4380265438955957,0.9951231056076548
random_forest_no_latent,train,736,736,0.3335096574816059,0.5217162334385983,0.9967139222835867,0.3335096574816059,0.5217162334385983,0.993081511975945
gam_spline_with_latent,train,736,736,0.7049223884675757,0.9321952256208896,0.9895088552650178,0.7049223884675757,0.9321952256208896,0.9779120077273077
gam_spline_no_latent,train,736,736,0.7182596458945446,0.9668547715613033,0.9887142189698777,0.7182596458945446,0.9668547715613033,0.976238985307921
lstm_sequence_with_latent,train,736,736,10.517794390957174,12.98046456576972,-1.0341810392886344,10.517794390957174,12.98046456576972,-3.282752379465732
gru_sequence_with_latent,train,736,736,10.03518064604151,12.601037830000209,-0.9169984455688649,10.03518064604151,12.601037830000209,-3.0360368598575
lstm_sequence_no_latent,train,736,736,10.125536203148233,12.471328118000866,-0.8777360365525833,10.125536203148233,12.471328118000866,-2.953374022877739
gru_sequence_no_latent,train,736,736,10.185540165296329,12.455618464999581,-0.8730083921239797,10.185540165296329,12.455618464999581,-2.9434204690716577
physics_hybrid_with_latent,train,736,736,3.951350213598436,6.337860143278283,0.5150528260007488,3.951350213598436,6.337860143278283,-0.021004828600104775
physics_hybrid_no_latent,train,736,736,4.068341940545018,6.556951218550726,0.48094541064442764,4.068341940545018,6.556951218550726,-0.09281437330306486
physics_informed_with_latent,train,736,736,3.791515555847924,5.499704215520975,0.6348361343875288,3.791515555847924,5.499704215520975,0.23118621983930032
physics_informed_no_latent,train,736,736,3.902964593114127,5.704157617090412,0.6071812902677567,3.902964593114127,5.704157617090412,0.17296187934543428
naive_zero_delta,valid,111,111,0.9650045471949236,0.9955988226822075,0.5273414429077261,0.9650045471949236,0.9955988226822075,-15.524899655585894
ridge_raw_only,valid,111,111,1.1451333061540034,1.3162918907730188,0.1738038105228744,1.1451333061540034,1.3162918907730188,-27.885141127936002
ridge_raw_plus_latent,valid,111,111,2.4234943774239057,2.707197897080011,-2.494771489846007,2.4234943774239057,2.707197897080011,-121.18280473791019
ridge_raw_only_no_latent,valid,111,111,1.1451333061540034,1.3162918907730188,0.1738038105228744,1.1451333061540034,1.3162918907730188,-27.885141127936002
elastic_with_latent,valid,111,111,0.6154576999859286,0.7896395226841714,0.7026715062619463,0.6154576999859286,0.7896395226841714,-9.395080021387702
elastic_no_latent,valid,111,111,0.5648685724130301,0.7306991647791408,0.7454014077685973,0.5648685724130301,0.7306991647791408,-7.901174274638198
ridge_with_latent,valid,111,111,2.540978955185255,2.8116218546073273,-2.7695768088107355,2.540978955185255,2.8116218546073273,-130.79043852042284
ridge_no_latent,valid,111,111,2.4854413828679247,2.690688939600256,-2.4522780194727387,2.4854413828679247,2.690688939600256,-119.69716500199658
gbdt_with_latent,valid,111,111,1.6623114177704719,2.161366856944953,-1.2275925217713088,1.6623114177704719,2.161366856944953,-76.88019986829119
gbdt_no_latent,valid,111,111,1.6858916259259131,2.21226995261904,-1.3337536894894546,1.6858916259259131,2.21226995261904,-80.59176420482703
random_forest_with_latent,valid,111,111,1.8024614989516305,2.2566217157499993,-1.4282662419650585,1.8024614989516305,2.2566217157499993,-83.89607430863788
random_forest_no_latent,valid,111,111,1.356886186099053,1.7319714283885768,-0.4304089631934531,1.356886186099053,1.7319714283885768,-49.00938675189986
