plane_id,battery_id,flight_id,event_datetime,event_type,delta_observed_soh_pct,delta_latent_soh_pct,observed_soh_pct,latent_soh_smooth_pct,residual_pct,standardized_residual,score_current,score_didt,score_dtemp,score_soc_edge,score_observation_instability,score_gap,score_switch,score_event_type,condition_multiplier,measurement_sigma_pct,flag_new_est_batt_cap_any,flag_rst_coulomb_any,kalman_coulomb_gap_mean_pct,kalman_coulomb_gap_span_pct,p95_abs_current_a,p95_abs_dcurrent_a_per_s,soc_min_pct,soc_max_pct
166,1,5899,2024-05-01 17:00:00,charge,29.0,2.5691263484961127,100.0,82.8921677899731,17.1078322100269,20.822704081160857,0.6,0.22757060683931543,0.0,0.9,0.0,1.9693714890873952,0.0,0.75,1.825766949527308,0.8215951272872886,0,0,1.421857445436965,3.3700000000000045,24.0,0.9993933682764916,81.0,99.0
166,1,6363,2024-06-10 19:00:00,charge,21.0,-0.009964595300701262,92.0,70.02367741269948,21.976322587300515,12.690151311723245,0.615,0.13328703889914062,0.0,2.0,2.0,1.8739418767975322,1.5,0.75,3.8483601350842918,1.7317620607879314,1,1,-1.794709383987693,3.029999999999987,24.6,0.5004954905359155,0.0,100.0
166,1,5036,2023-10-23 17:00:00,charge,12.0,-0.004186833409065116,93.0,87.74655826849536,5.253441731504637,5.68116988145657,0.1325,0.13333583145233988,0.0,0.0,0.0,0.7510247117695064,1.5,0.75,2.0549139002169863,0.9247112550976438,1,1,-0.6051235588475189,1.2600000000000051,5.3,0.5007184057321783,29.0,61.0
166,1,12722,2025-12-02 17:35:00,charge,10.0,0.7862771276501306,50.0,46.30782769319787,3.692172306802128,3.3466487985918767,0.0925,0.35976596114574055,0.0,1.0,0.0,2.021691186216037,1.5,0.75,2.4516547275296428,1.1032446273883392,1,1,-0.10845593108018575,7.75,3.7,1.9901260420244347,44.0,100.0
166,1,5921,2024-05-05 02:50:00,charge,7.0,-0.16188795555029856,93.0,83.49031113727156,9.509688862728439,10.548575771311091,0.64,0.13333476141293465,0.0,1.0,0.0,1.605153901943726,0.5,0.75,2.003364470741979,0.9015140118338906,0,1,0.2507695097185959,3.1100000000000136,25.6,0.5007135167612814,64.0,100.0
166,1,5004,2023-10-16 16:30:00,charge,6.0,0.012166553180932738,92.0,88.48371292077039,3.5162870792296133,5.290512651534734,0.24,0.13323935100119338,0.0,0.6,0.0,1.1233412763626478,0.0,0.75,1.476978093022828,0.6646401418602726,0,0,2.141706381813202,1.3900000000000148,9.6,0.500277654098109,91.0,96.0
166,1,5298,2023-12-08 16:44:00,other,6.0,0.19444459527335312,80.0,79.34894854039725,0.6510514596027548,0.6662461675745902,0.605,0.5586100225447929,0.0,0.9,0.0,2.2756936152279272,0.5,0.25,2.1715412286817837,0.9771935529068027,0,1,-1.3784680761396362,4.110000000000014,72.6,4.477784591383741,28.0,99.0
166,1,5363,2023-12-15 17:05:00,charge,6.0,0.2968910239569311,83.0,81.08038925465169,1.919610745348308,0.9700833780372418,0.615,0.13331775286705028,0.0,0.6,3.0,2.318881228728512,1.5,0.75,4.397355683962465,1.9788100577831091,1,1,3.8694061436425513,3.0900000000000034,24.6,0.5006358074759709,28.0,96.0
166,1,4974,2023-10-10 17:54:00,charge,5.0,-0.0010888790840795082,88.0,86.92211630911343,1.0778836908865657,0.563798498347346,0.31,0.1332967725775225,0.0,0.8,3.0,2.0083716790823414,1.5,0.75,4.248498528960849,1.911824338032382,1,1,0.6418583954116949,3.760000000000005,12.4,0.5005399574817065,36.0,98.0
166,1,5368,2023-12-16 21:15:00,charge,5.0,0.01380313909228903,87.0,81.47612462683534,5.523875373164657,2.9038070826925364,0.5575,0.1332859422369677,0.0,1.0,3.0,1.369293273577862,1.5,0.75,4.227305140274814,1.9022873131236664,1,1,0.22146636788929533,2.6500000000000057,22.3,0.500490480671041,28.0,100.0
166,1,5030,2023-10-23 21:45:00,charge,4.0,-0.0051186261746067885,84.0,87.70531589690415,-3.7053158969041533,-1.914605530236323,0.615,0.13336439971136854,0.0,0.9,3.0,1.6852606888080595,1.5,0.75,4.300643237689454,1.9352894569602543,1,1,0.3513034440402514,3.230000000000018,24.6,0.5008489389517637,28.0,99.0
166,1,5379,2023-12-19 18:30:00,other,4.0,0.7321792188628535,87.0,82.29795750298568,4.702042497014318,4.799241859629176,0.62,0.6388118946759113,0.0,1.0,0.0,2.12756217498404,0.5,0.25,2.177215408665786,0.9797469338996038,0,1,-1.7628108749201714,3.5500000000000114,74.4,5.992772717932703,28.0,100.0
166,1,5784,2024-04-08 16:14:00,flight,4.0,0.18388117230661294,70.0,68.83049116684226,1.1695088331577352,1.211283786314874,0.58,0.6540997837241912,0.0,0.9,0.0,2.1952845657999567,0.5,0.0,2.145581859091039,0.9655118365909676,0,1,-0.9764228289997824,4.740000000000009,69.6,6.325939954164846,44.0,99.0
166,1,5796,2024-04-10 15:30:00,charge,4.0,0.013394843662396738,71.0,69.24043491889414,1.7595650811058619,0.9394520669957834,0.67,0.1332863808999232,0.0,0.9,3.0,0.8966643987962901,1.5,0.75,4.162154474984239,1.8729695137429074,1,1,-0.25832199398142086,1.690000000000012,26.8,0.5004924846062413,37.0,99.0
166,1,6265,2024-06-03 09:55:00,charge,4.0,-0.0012926711583247652,72.0,70.40360330769516,1.596396692304836,1.2472541981763081,0.655,0.13353150192879135,0.0,1.0,1.0,0.2832678306704085,1.5,0.75,2.84428644161628,1.279928898727326,1,1,0.016339153352001277,0.5600000000000165,26.2,0.5016126847819646,50.0,100.0
166,1,6377,2024-06-11 15:56:00,flight,4.0,0.018049852752142215,72.0,69.96511732538656,2.034882674613442,2.1333323788508674,0.6408333333333334,0.7730725249602813,0.0,0.9,0.0,1.8105530159254084,0.5,0.0,2.119670401091819,0.9538516804913186,0,1,-1.6027650796270319,2.980000000000004,76.9,9.523771474358274,32.0,99.0
166,1,4977,2023-10-11 12:30:00,charge,3.0,-0.0024769434250799804,86.0,86.85003645219517,-0.8500364521951695,-0.4353748651629039,0.6,0.13328539391268424,0.0,0.8,3.0,1.95199622961637,1.5,0.75,4.338720594401445,1.9524242674806502,1,1,1.0849811480818172,3.470000000000013,24.0,0.500487975775954,35.0,98.0
166,1,5012,2023-10-17 10:50:00,charge,3.0,0.2584122902265875,95.0,88.79829007478602,6.201709925213976,8.264487047153333,0.0725,0.13316892393665483,0.0,0.8,0.0,2.2694938476887314,0.0,0.75,1.66756600052191,0.7504047002348595,0,0,-4.147469238443632,2.8800000000000097,2.9,0.4999560038819297,92.0,98.0
166,1,5040,2023-10-24 15:15:00,charge,3.0,-0.0017845429783847067,89.0,87.63694002887998,1.3630599711200233,0.7117797096809195,0.65,0.13327028938031746,0.0,1.0,3.0,1.3487184373777494,1.5,0.75,4.25556125982063,1.9150025669192836,1,1,-1.2185921868887275,2.210000000000008,26.0,0.5004189757908362,29.0,100.0
166,1,5361,2023-12-14 10:05:00,charge,3.0,1.2744292338266092,77.0,80.6592771405043,-3.659277140504301,-2.323966241193288,0.615,0.13321579389148877,0.0,0.2,2.0,1.0275940773851153,1.5,0.75,3.499072763949895,1.5745827437774527,1,1,-1.4379703869255482,1.480000000000011,24.6,0.500170057819577,28.0,92.0
166,1,5369,2023-12-14 16:20:00,other,3.0,0.06358242536229852,80.0,80.7228595658666,-0.7228595658665995,-0.7424057419571644,0.6133333333333333,0.6146953038701977,0.0,1.0,0.0,2.101873552822003,0.5,0.25,2.1637152031986164,0.9736718414393775,0,1,-1.5593677641099855,3.5800000000000125,73.6,5.497734937360109,28.0,100.0
166,1,5829,2024-04-16 20:55:00,charge,3.0,0.010442276709781595,74.0,71.24467881091296,2.7553211890870415,1.5107137572205473,0.6775,0.13332214174785106,0.0,1.0,3.0,0.2877657384987977,1.5,0.75,4.0530086831367225,1.8238539074115252,1,1,0.4888286924939467,0.38000000000001677,27.1,0.5006558591747371,33.0,100.0
166,1,5838,2024-04-20 20:40:00,charge,3.0,0.005236264430550364,78.0,72.60203373773356,5.397966262266436,2.8443081571206275,0.49749999999999994,0.13393101755267448,0.0,1.0,3.0,1.4237772834574267,1.5,0.75,4.217363211079654,1.8978134449858444,1,1,0.01888641728708919,2.8400000000000176,19.9,0.5034402590127237,48.0,100.0
166,1,6263,2024-06-03 21:20:00,flight,3.0,0.0015824446300598538,71.0,70.39852077026522,0.6014792297347782,0.6728944094288763,0.75,0.7723380724433043,0.0,0.9,0.0,0.9539515028581985,0.5,0.0,1.986374818682466,0.8938686684071097,0,1,-0.6197575142909832,1.6600000000000037,90.0,9.50026600930083,50.0,99.0
166,1,4592,2023-05-17 18:18:00,other,2.0,0.000155721388495067,98.0,96.86216385792866,1.137836142071336,1.381407643153625,0.5691666666666666,0.6652207309736439,0.0,0.4,0.0,0.7494187021959031,0.5,0.25,1.8303972565159248,0.8236787654321661,0,1,0.14709351097952142,1.4399999999999977,68.3,6.578228320180248,29.0,94.0
166,1,4615,2023-05-31 14:10:00,other,2.0,-0.07488119600614596,97.0,96.75784953863544,0.24215046136455953,0.5089012070793341,0.0,0.0,0.0,0.0,0.0,0.16200000000000045,0.0,0.25,1.0574,0.47583,0,0,-0.8100000000000023,0.0,0.0,0.0,62.0,62.0
166,1,4861,2023-09-04 11:45:00,charge,2.0,-0.003886841983614886,93.0,93.82005143810996,-0.8200514381099566,-0.519649524982446,0.6849999999999999,0.1334847365318885,0.0,1.0,2.0,0.5436786454068232,1.5,0.75,3.506856913214337,1.5780856109464516,1,1,-0.24339322703405758,0.9900000000000233,27.4,0.5013989029396859,31.0,100.0
166,1,4928,2023-09-28 13:45:00,charge,2.0,-0.00899254747781697,92.0,89.12954224591388,2.870457754086118,1.6575358815633676,0.615,0.13328703889914062,0.0,2.0,2.0,1.8739418767975322,1.5,0.75,3.8483601350842918,1.7317620607879314,1,1,-1.794709383987693,3.029999999999987,24.6,0.5004954905359155,0.0,100.0
166,1,4939,2023-09-30 23:30:00,charge,2.0,-0.008120768339523465,88.0,88.52577073441125,-0.5257707344112532,-0.3218735640818932,0.67,0.1333770274874462,0.0,1.0,2.0,1.185442748091611,1.5,0.75,3.629932806490184,1.633469762920583,1,1,-1.1272137404580151,1.920000000000016,26.8,0.5009066410202838,44.0,100.0
166,1,5001,2023-10-16 15:29:00,other,2.0,0.021937719039712533,86.0,88.45949049044299,-2.459490490442988,-3.5901380505611744,0.08,0.4116829412008461,0.0,0.0,0.0,0.5822685499058388,0.5,0.25,1.5223744452813792,0.6850685003766207,0,1,-0.33634274952919097,1.0300000000000011,9.6,2.5021531032583586,87.0,90.0
166,1,5038,2023-10-24 12:59:00,charge,2.0,-0.0032832067281276522,86.0,87.64165527839513,-1.6416552783951346,-0.9989173965876768,0.6125,0.1332574354417218,0.0,0.9,2.0,1.4469361629881217,1.5,0.75,3.652076591458055,1.6434344661561249,1,1,0.15968081494057723,2.8300000000000125,24.5,0.5003602593868067,23.0,99.0
166,1,5108,2023-11-06 16:00:00,charge,2.0,-0.03432421668713914,82.0,83.74291219901649,-1.7429121990164873,-1.0347574944667237,0.5925,0.13346213599517426,0.0,0.9,2.0,1.9364950490267219,1.5,0.75,3.743039543804138,1.6843677947118623,1,1,0.7574752451335556,3.5700000000000216,23.7,0.5012955984766173,40.0,99.0
166,1,5358,2023-12-07 19:26:00,other,2.0,0.006105125969625647,74.0,79.15450394512389,-5.154503945123892,-6.216436824133936,0.5972499999999991,0.6154610104171584,0.0,0.2,0.0,0.9235238141618815,0.5,0.25,1.8426075154366655,0.8291733819464995,0,1,0.6926190708093889,1.5700000000000074,71.66999999999989,5.512900196820788,29.0,92.0
166,1,5792,2024-04-10 11:10:00,charge,2.0,0.2015890468138366,66.0,69.1861151040802,-3.1861151040802014,-2.3647005687456986,0.49749999999999994,0.13329175475518676,0.0,1.0,2.0,2.058484043051016,0.0,0.75,2.9941447472990004,1.3473651362845502,0,0,-1.1674202152550304,3.65000000000002,19.9,0.5005170340989096,44.0,100.0
166,1,5878,2024-04-25 12:10:00,charge,2.0,0.02983048046664294,72.0,74.80533814478943,-2.805338144789431,-1.6774794420513506,0.6599999999999999,0.13329910338966666,0.0,1.0,2.0,1.6350785545501743,1.5,0.75,3.716340486757452,1.6723532190408534,1,1,-1.67539277275085,2.6000000000000085,26.4,0.5005506056659456,28.0,100.0
166,2,5899,2024-05-01 17:00:00,charge,25.0,2.352841043650855,100.0,85.22253253759648,14.777467462403521,18.187967523789766,0.5775,0.2274867121087496,0.0,0.9,0.0,1.907637904042736,0.0,0.75,1.8055242588357348,0.8124859164760807,0,0,1.4881895202136477,3.220000000000013,23.1,0.9988827496564915,81.0,99.0
166,2,6363,2024-06-10 19:00:00,charge,21.0,-0.009425029302704502,95.0,73.02024564237499,21.979754357625012,15.485385859159013,0.61,0.13334721884885292,0.0,1.0,1.0,1.9117819106234946,1.5,0.75,3.1541931868369124,1.4193869340766105,1,1,-1.783909553117474,3.1099999999999994,24.4,0.5007704353169121,46.0,100.0
166,2,5036,2023-10-23 17:00:00,charge,10.0,-0.003714291057264063,93.0,89.73691708650229,3.263082913497712,3.4761936963515647,0.1325,0.1333424441338337,0.0,0.0,0.0,0.9063826686947534,1.5,0.75,2.0859871447724094,0.9386942151475842,1,1,-0.6569133434737562,1.5500000000000043,5.3,0.5007486191853575,30.0,62.0
166,2,12722,2025-12-02 17:35:00,charge,10.0,1.0663015193152177,53.0,49.85986533674108,3.1401346632589195,3.5941441253546467,0.1325,0.3018306859838212,0.0,0.6,0.0,2.1734009277667328,0.5,0.75,1.941512857049302,0.873680785672186,0,1,0.8670046388336646,7.250000000000007,5.3,1.5066076267830424,45.0,96.0
166,2,5004,2023-10-16 16:30:00,charge,6.0,0.00915186958866343,94.0,90.69153213747893,3.30846786252107,4.857477598592583,0.24500000000000002,0.1333491947181721,0.0,0.6,0.0,1.2974324842508964,0.0,0.75,1.5135737955297224,0.6811082079883751,0,0,2.5371624212544512,1.5800000000000125,9.8,0.500779463346395,91.0,96.0
166,2,5298,2023-12-08 16:44:00,other,6.0,0.20324205602743461,82.0,81.63183497387004,0.36816502612995805,0.37934950344211815,0.5916666666666667,0.5309775713300419,0.0,0.9,0.0,2.2593801966292135,0.5,0.25,2.1567037654916867,0.9705166944712591,0,1,-1.2969009831460672,4.790000000000006,71.0,4.0358036686194145,29.0,99.0
166,2,5363,2023-12-15 17:05:00,charge,6.0,0.2921740285300558,86.0,83.45521751873491,2.544782481265088,1.2823220791221113,0.61,0.13321601299022545,0.0,0.6,3.0,2.3911040230386646,1.5,0.75,4.410024807855289,1.9845111635348802,1,1,3.780520115193298,3.2700000000000102,24.4,0.5001710585098778,29.0,96.0
166,2,5368,2023-12-16 21:15:00,charge,6.0,0.013805238123694608,90.0,83.83594335411617,6.164056645883832,3.225523030261833,0.5525,0.13322310664896128,0.0,1.0,3.0,1.4752123845095435,1.5,0.75,4.2467232535641495,1.9110254641038673,1,1,0.20106192254767075,2.8700000000000188,22.1,0.5002034577588338,30.0,100.0
166,2,5784,2024-04-08 16:14:00,flight,6.0,0.36437073364230343,72.0,70.35405382109163,1.6459461789083747,1.7111525960738239,0.5666666666666667,0.6386523243035453,0.0,0.9,0.0,2.1977210110813354,0.5,0.0,2.1375406166254867,0.961893277481469,0,1,-0.9886050554066776,4.680000000000014,68.0,5.9893763450777,45.0,99.0
166,2,5921,2024-05-05 02:50:00,charge,6.0,-0.14903853011178114,95.0,85.90384201148085,9.096157988519153,10.263423470976322,0.6125,0.13323661136838477,0.0,1.0,0.0,1.4840168262257039,0.5,0.75,1.9694875180872369,0.8862693831392566,0,1,0.19508413112851739,2.8900000000000006,24.5,0.500265140524083,65.0,100.0
166,2,4974,2023-10-10 17:54:00,charge,5.0,-0.002254334196976515,92.0,89.9247172584374,2.075282741562603,1.0873996412751055,0.3075,0.13331720427762514,0.0,0.8,3.0,1.9755850657056278,1.5,0.75,4.241071314210532,1.9084820913947396,1,1,0.5779253285281063,3.720000000000013,12.3,0.5006333011269221,37.0,98.0
166,2,5038,2023-10-24 12:59:00,charge,4.0,0.0018981487397411456,89.0,89.69951537068783,-0.6995153706878341,-0.3655567400516785,0.61,0.13325359893240393,0.0,0.9,3.0,1.4527294779740008,1.5,0.75,4.252359295327901,1.9135616828975555,1,1,0.33864738986997867,2.7700000000000102,24.4,0.5003427347731508,24.0,99.0
166,2,5361,2023-12-14 10:05:00,charge,4.0,1.3642191594238113,80.0,83.0343739717966,-3.0343739717965974,-1.9149727107032097,0.6125,0.13315009775986011,0.0,0.2,2.0,1.1428214834474129,1.5,0.75,3.521226821129448,1.5845520695082516,1,1,-1.4391074172370442,1.710000000000008,24.5,0.49987003379092587,29.0,92.0
166,2,5379,2023-12-19 18:30:00,other,4.0,0.7079725212467167,90.0,84.6331019982176,5.366898001782403,5.376187492346494,0.6066666666666667,0.6210742940203982,0.0,1.0,0.0,2.3789027372262863,0.5,0.25,2.2183824542836903,0.9982721044276607,0,1,-1.9445136861313865,3.980000000000018,72.8,5.625160669898343,29.0,100.0
166,2,5796,2024-04-10 15:30:00,charge,4.0,0.018772987953028064,74.0,71.09339877476692,2.906601225233075,1.5466197960155443,0.65,0.13325675033485357,0.0,1.0,3.0,0.9523177863544284,1.5,0.75,4.176277744854599,1.8793249851845697,1,1,-0.36158893177209406,1.7600000000000193,26.0,0.5003571299037843,38.0,100.0
166,2,6265,2024-06-03 09:55:00,charge,4.0,0.0010332228865337356,75.0,73.34743927792262,1.6525607220773821,1.2909782584870162,0.635,0.133736560737512,0.0,1.0,1.0,0.3197357931148129,1.5,0.75,2.844631298807341,1.2800840844633035,1,1,-0.023678965574040492,0.6300000000000097,25.4,0.5025504435010939,51.0,100.0
166,2,5369,2023-12-14 16:20:00,other,3.0,0.06709497677576337,83.0,83.10146894857236,-0.10146894857236077,-0.10283975516670855,0.6010833333333327,0.5890621878620103,0.0,1.0,0.0,2.299781546811403,0.5,0.25,2.1926010229944497,0.9866704603475024,0,1,-1.7239077340569877,3.910000000000011,72.12999999999992,5.009929681086858,29.0,100.0
166,2,5829,2024-04-16 20:55:00,charge,3.0,0.01256302436416945,77.0,73.82949532729408,3.170504672705917,1.7422185331384399,0.655,0.13312884270979208,0.0,1.0,3.0,0.2824370724620214,1.5,0.75,4.0440196251698515,1.8198088313264331,1,1,0.36218536231006715,0.4200000000000159,26.2,0.4997729781263022,34.0,100.0
166,2,5838,2024-04-20 20:40:00,charge,3.0,0.0064412688973618515,81.0,75.46940350724775,5.530596492752252,2.9109184605564793,0.4925,0.13485076693298872,0.0,1.0,3.0,1.455105506877928,1.5,0.75,4.222108793108833,1.899948956898975,1,1,-0.0005275343896123714,2.910000000000011,19.7,0.5076560886793959,49.0,100.0
166,2,6263,2024-06-03 21:20:00,flight,3.0,0.0027855412345729746,74.0,73.35031036274027,0.6496896372597263,0.7370692045866691,0.7225,0.7393080946517749,0.0,0.9,0.0,0.90537857274572,0.5,0.0,1.9587777382120877,0.8814499821954395,0,1,-0.6018928637285634,1.5700000000000145,86.7,8.49570966661734,51.0,99.0
166,2,6377,2024-06-11 15:56:00,flight,3.0,0.015941962772743068,74.0,72.95894503824965,1.0410549617503477,1.1029054615485931,0.623416666666667,0.7406423641934604,0.0,0.9,0.0,1.771222295568947,0.5,0.0,2.0976008834954882,0.9439203975729697,0,1,-1.5811114778447073,2.910000000000011,74.81000000000003,8.534361720461348,33.0,99.0
166,2,4590,2023-05-17 16:47:00,other,2.0,-0.0001502438593519173,97.0,97.0382719509893,-0.03827195098929792,-0.048207654562327666,0.5525,0.6834379669978318,0.0,0.2,0.0,0.5249142284569217,0.5,0.25,1.7642173374408423,0.7938978018483791,0,1,0.49957114228456967,0.8500000000000156,66.3,7.010412239143754,30.0,92.0
166,2,4615,2023-05-31 14:10:00,other,2.0,-0.16758673186124895,97.0,96.82807794134284,0.17192205865715948,0.3628195814227277,0.0,0.0,0.0,0.0,0.0,0.13999999999999915,0.0,0.25,1.0529999999999997,0.4738499999999999,0,0,-0.6999999999999957,0.0,0.0,0.0,62.0,62.0
166,2,4861,2023-09-04 11:45:00,charge,2.0,-0.0017133357210212807,96.0,95.93311375485247,0.06688624514752917,0.04275862060885183,0.665,0.13312515045012882,0.0,1.0,2.0,0.4256779073128458,1.5,0.75,3.4761668690751018,1.564275091083796,1,1,-0.2283895365642162,0.7600000000000051,26.6,0.4997561190219652,32.0,100.0
