epoch,train_loss,train_data_loss,train_step_loss,train_residual_loss,train_monotonic_loss,train_initial_loss,valid_mae,calendar_weight,cycle_weight,thermal_weight,resistance_weight,history_weight,health_gain,valid_mean_residual_abs
1,48.22625732421875,1.4908242225646973,46.55878448486328,0.31479892134666443,1.019924589229504e-09,0.07700163125991821,1.1763395310201488,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.018159929662942886,0.04858734831213951,0.5603843331336975
2,43.94113540649414,1.1072733402252197,42.66944122314453,0.3140888214111328,1.7229556323328232e-11,0.029516059905290604,1.5989885797341397,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.01814195141196251,0.04853995144367218,0.559567928314209
3,41.057621002197266,1.2612862586975098,39.55773162841797,0.31339171528816223,0.0,0.3276234269142151,1.6976599988088763,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.018123995512723923,0.04849257320165634,0.558836042881012
4,39.055747985839844,1.6513760089874268,37.141326904296875,0.31268760561943054,0.0,0.42680448293685913,1.5092827103581985,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.01810605451464653,0.0484452061355114,0.5581696629524231
5,37.598548889160156,2.1303884983062744,35.247520446777344,0.31196728348731995,0.0,0.25861474871635437,1.1612899825261347,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.01808813028037548,0.04839783161878586,0.5575554370880127
6,36.59867477416992,2.6885907649993896,33.7350959777832,0.31124648451805115,0.0,0.07745660841464996,0.8593174153496544,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.01807023212313652,0.04835043102502823,0.5569859147071838
7,35.97704315185547,3.3244874477386475,32.49459457397461,0.3105448782444,0.0,0.010755852796137333,0.7399721757189166,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.018052352592349052,0.04830300807952881,0.5564498901367188
8,35.595760345458984,4.005916595458984,31.43357276916504,0.30987870693206787,0.0,0.005323221907019615,0.7232161578721381,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.018034501001238823,0.048255544155836105,0.5559320449829102
9,35.363243103027344,4.685671806335449,30.514509201049805,0.3092500865459442,0.0,0.03375052660703659,0.7408246090028278,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.018016664311289787,0.04820804297924042,0.555422306060791
10,35.239994049072266,5.311960697174072,29.73988151550293,0.30865222215652466,0.0,0.13529813289642334,0.7669364916227008,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.01799885369837284,0.04816050082445145,0.5549172759056091
11,35.16115188598633,5.828335762023926,29.108163833618164,0.30807408690452576,0.0,0.28246164321899414,0.8006287668306482,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.017981061711907387,0.048112936317920685,0.5544195175170898
12,35.02946090698242,6.190689563751221,28.59446144104004,0.3075076937675476,0.0,0.36221837997436523,0.8318679810157205,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.017963295802474022,0.04806534945964813,0.5539308190345764
13,34.79452133178711,6.393142223358154,28.17003631591797,0.30694907903671265,3.5536371480009155e-13,0.31147295236587524,0.8640324879571368,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.017945554107427597,0.04801776632666588,0.553450882434845
14,34.48216247558594,6.4635138511657715,27.820295333862305,0.30639854073524475,1.0172230245630853e-11,0.18061502277851105,0.9003654684445279,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.01792783848941326,0.047970205545425415,0.552978515625
15,34.147464752197266,6.441274166107178,27.537151336669922,0.3058589696884155,4.1936749212156954e-11,0.064430370926857,0.9236458444030997,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.017910150811076164,0.04792267829179764,0.5525121092796326
16,33.82236862182617,6.360185146331787,27.306861877441406,0.3053337037563324,1.0904499525565825e-10,0.010622547939419746,0.9298070314393868,0.017892487347126007,0.01789247803390026,0.01789247803390026,0.01789247803390026,0.017892487347126007,0.04787519946694374,0.5520527958869934
17,33.50764083862305,6.242212772369385,27.112958908081055,0.3048255443572998,2.4483531868568775e-10,0.00023013987811282277,0.9248024427349322,0.01787484996020794,0.017874833196401596,0.017874833196401596,0.017874833196401596,0.01787484996020794,0.04782779887318611,0.5516037940979004
18,33.201019287109375,6.099279403686523,26.949562072753906,0.30433332920074463,4.871842929077275e-10,2.4664041120558977e-05,0.9145995645148418,0.01785723678767681,0.017857220023870468,0.017857220023870468,0.017857220023870468,0.01785723678767681,0.047780487686395645,0.5511691570281982
19,32.911712646484375,5.935144424438477,26.82445526123047,0.3038525879383087,9.155254887538433e-10,0.0007500019855797291,0.9043798185926619,0.017839651554822922,0.01783963479101658,0.01783963479101658,0.01783963479101658,0.017839651554822922,0.04773329198360443,0.5507514476776123
20,32.648193359375,5.747140407562256,26.748390197753906,0.30337706208229065,1.7354930825774773e-09,0.0039033317007124424,0.900011643479246,0.017822090536355972,0.01782207377254963,0.01782207377254963,0.01782207377254963,0.017822090536355972,0.04768621549010277,0.550349771976471
